gruppo,ttm,vol,c,smt,ac,cross,Svol,Sc,Ssenstiment,Sac,Scross,starsvol,starsc,starsmt,starsac,starscross
1,10,.2036719,-.0011358,-.0088556,-1.284354,.3340931,1.15e-18,.863278,6.72e-07,5.10e-14,.0001645,3,0,3,3,3
2,10,.1074575,.0402231,-.0212585,-1.262394,.0950243,1.75e-07,.0041339,.0103852,1.00e-09,.3475559,3,3,2,3,0
3,10,-.0859105,.2052922,-.0190712,-.8617281,.0445684,.0001533,5.96e-31,9.96e-07,1.79e-28,.2241549,3,3,3,3,0
1,20,.1664367,.0016122,-.0074879,-.799477,.2220543,3.78e-16,.8072513,5.72e-07,1.62e-11,.0014319,3,0,3,3,3
2,20,.1044929,.0173918,-.0212408,-.9621261,.1370835,7.61e-14,.061052,.0000943,5.40e-12,.0400361,3,1,3,3,2
3,20,-.0577813,.1533853,-.0141111,-.5545154,.0349075,.0037616,1.98e-27,1.63e-06,4.64e-24,.2081439,3,3,3,3,0
1,30,.170066,-.0036374,-.0059654,-.6339848,.1802289,2.02e-19,.535073,6.41e-06,2.73e-09,.00251,3,0,3,3,3
2,30,.0843129,.0148065,-.0189625,-.7474958,.0927832,4.38e-11,.0829097,.0001009,5.12e-11,.2218429,3,1,3,3,0
3,30,-.0437379,.1253411,-.01197,-.3906831,.0387844,.0096432,3.93e-27,1.20e-06,5.54e-21,.1002177,3,3,3,3,0
1,60,.1845403,-.0176523,-.0048738,-.3720277,.1510678,6.18e-23,.0015302,4.57e-06,2.74e-06,.0011571,3,3,3,3,3
2,60,.0794025,-.009585,-.0144901,-.4424445,.1323384,1.55e-11,.1938208,8.49e-09,9.11e-18,1.10e-06,3,0,3,3,3
3,60,-.0186888,.0827434,-.0079048,-.2055263,.0264102,.0901664,1.39e-26,7.08e-06,8.32e-14,.0973938,1,3,3,3,1
1,90,.1905976,-.0266696,-.0037971,-.2528609,.124325,1.56e-26,3.10e-07,.0000234,.000183,.0011719,3,3,3,3,3
2,90,.0624603,-.0080137,-.0128666,-.3407122,.1246682,6.94e-10,.2154766,1.63e-11,2.48e-18,8.11e-09,3,0,3,3,3
3,90,-.0056164,.0600915,-.0059331,-.1284375,.0210606,.5177266,2.03e-22,.0000268,2.45e-10,.0955629,0,3,3,3,1
1,120,.1751177,-.0257253,-.0034665,-.1826089,.1025655,8.54e-30,4.35e-09,.0000139,.0028111,.002442,3,3,3,3,3
2,120,.0286222,.0089739,-.0129915,-.2812243,.1127744,.0034337,.1911985,5.56e-16,7.06e-18,3.95e-10,3,0,3,3,3
3,120,-.0063486,.0501684,-.0047877,-.0819901,.0176751,.432402,1.12e-19,.0000887,6.92e-07,.104823,0,3,3,3,0
1,150,.1633184,-.0245904,-.0035069,-.1465039,.1006787,2.30e-31,8.95e-11,1.70e-06,.005865,.0011045,3,3,3,3,3
2,150,-.0041583,.0284717,-.0122773,-.2730131,.1006458,.6441305,.0000245,1.84e-23,9.64e-20,6.97e-12,0,3,3,3,3
3,150,.0043451,.0381596,-.0038411,-.0584573,.0121014,.5841599,5.26e-14,.00024,.0000286,.203535,0,3,3,3,0
1,180,.1383251,-.0184338,-.0031182,-.1035565,.080498,1.07e-26,5.78e-08,4.80e-06,.034089,.0063088,3,3,3,2,3
2,180,-.010407,.0285329,-.011249,-.2325637,.0917444,.3412355,.000198,3.25e-26,1.36e-17,3.44e-12,0,3,3,3,3
3,180,.0099018,.029747,-.0031143,-.036562,.0090759,.2318402,3.22e-09,.0006279,.0034973,.2791798,0,3,3,3,0
