gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,.0914277,-.2522141,.0599815,-.000092,-14.90674,.0467339,.012468,8.96e-08,.70471,.2006081,2,2,3,0,0
2,10,.2178812,-.163657,.0303542,-.0006869,52.19612,.0000578,.209317,.0234584,.4194818,.4026635,3,0,2,0,0
3,10,.2232191,-.0128708,.0429215,-.0004523,-27.86745,3.18e-09,.664331,1.04e-06,.3546581,.0994333,3,0,3,0,1
1,20,.1082264,-.2410364,.0534691,-.0001005,-8.03042,.0048744,.0097114,1.22e-07,.6476672,.2987132,3,3,3,0,0
2,20,.2010322,-.1779668,.0319748,-.0007483,31.85131,1.14e-06,.1665264,.005437,.2417678,.4486954,3,0,3,0,0
3,20,.2431564,-.0049591,.0311316,-.00027,-9.95955,3.33e-13,.8713967,.000118,.4856286,.4434381,3,0,3,0,0
1,30,.1179964,-.2277055,.0472168,-.0001624,-2.509747,.0000285,.0066906,6.75e-09,.3933928,.5446033,3,3,3,0,0
2,30,.1961227,-.1351863,.0258752,-.0006475,15.55673,1.30e-10,.2588959,.007132,.1752612,.5713369,3,0,3,0,0
3,30,.2204693,-.0358354,.0332793,-.0004468,-.7958464,6.39e-17,.274326,8.84e-07,.1103537,.9381079,3,0,3,0,0
1,60,.078242,-.1897625,.043125,-.0003232,-.2846749,.0000552,.00008,7.49e-16,.0005884,.8414592,3,3,3,3,0
2,60,.1899433,-.031623,.0112815,-.0003374,12.93747,2.71e-17,.7482369,.0649946,.2855221,.4153666,3,0,1,0,0
3,60,.2221434,-.036958,.0211899,-.0003084,4.445749,1.68e-30,.0963481,5.79e-06,.048777,.5035869,3,1,3,2,0
1,90,.0864143,-.1341684,.0328256,-.0002251,-1.703529,1.31e-08,.0015107,2.08e-15,.0002975,.1576193,3,3,3,3,0
2,90,.1528412,-.0478841,.0219893,-.0000445,-34.97686,2.66e-14,.6554659,.0003931,.8436543,.1262207,3,0,3,0,0
3,90,.2015548,-.0775073,.0193349,-.0002095,8.787061,1.64e-36,.0022469,1.96e-06,.0689538,.2300751,3,3,3,1,0
1,120,.0719407,-.1310067,.0302376,-.0002046,-1.726595,3.03e-10,.0009176,5.76e-19,5.67e-06,.0571314,3,3,3,3,1
2,120,.1279246,.1406919,.0089113,-.0001153,-8.565003,5.93e-14,.2233235,.1140975,.4842744,.6285729,3,0,0,0,0
3,120,.1744302,-.1605328,.0237254,-.0002275,10.70038,2.22e-37,6.71e-07,4.24e-10,.0272787,.1040018,3,3,3,2,0
1,150,.0512102,-.1236452,.0299037,-.0001794,-1.468284,9.95e-08,.0009031,1.37e-23,8.71e-07,.0221345,3,3,3,3,2
2,150,.1119205,.3501787,-.0040282,-.0001231,7.573841,5.62e-13,.0043764,.4663098,.434732,.5555622,3,3,0,0,0
3,150,.1526965,-.1870377,.0245662,-.0002614,10.05973,4.97e-37,3.08e-08,8.26e-14,.0069686,.0669721,3,3,3,3,1
1,180,.041194,-.121312,.0289356,-.0001467,-1.898913,1.93e-06,.0004643,9.03e-27,1.57e-06,.0064829,3,3,3,3,3
2,180,.0863659,.5743864,-.0126705,-.0001535,26.12463,4.50e-11,.0000107,.0538584,.3261434,.0159397,3,3,1,0,2
3,180,.1274826,-.2323534,.027519,-.0002519,13.86026,1.00e-28,6.10e-10,5.55e-15,.0081404,.0214093,3,3,3,3,2
