gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,.3081369,-.2825938,.0386328,-.0012671,-.9432322,3.20e-08,.0044259,.0022211,.0333271,1.69e-06,3,3,3,2,3
2,10,.3581469,.2707279,.0163758,-.0012666,-1.657659,3.79e-13,.0344648,.3137695,.4500585,1.13e-09,3,2,0,0,3
3,10,.226929,-.0015961,.0461598,-.0021049,-.3346498,2.70e-07,.967477,.0000941,.0288358,.2331339,3,0,3,2,0
1,20,.3303771,-.2549094,.0183138,-.0009741,-.6649328,1.16e-17,.0002889,.0327138,.0083724,6.16e-08,3,3,2,3,3
2,20,.3420427,.2439645,-.003326,-.0024199,-1.317332,9.39e-22,.0174427,.7878981,.0377121,1.24e-09,3,2,0,2,3
3,20,.2531854,.037403,.0424759,-.0015969,-.6312916,3.15e-13,.332714,6.37e-06,.0178553,.0012123,3,0,3,2,3
1,30,.2989482,-.2098254,.0113134,-.00077,-.359578,1.28e-21,.0002148,.0974815,.0034854,.0000712,3,3,1,3,3
2,30,.2899097,.3552899,-.0094831,-.0028008,-1.064654,1.83e-25,.0006075,.395277,.0026187,2.67e-10,3,3,0,3,3
3,30,.2671949,.0350412,.0260867,-.001638,-.4048972,3.29e-20,.3884433,.0017554,.0008302,.0099324,3,0,3,3,3
1,60,.0214446,-.3453434,.048614,-.0005883,.0309816,.00629,1.51e-12,2.74e-25,.0001011,.609088,3,3,3,3,0
2,60,.2405836,.541683,-.0373545,-.0037353,-.5821888,1.85e-25,1.05e-07,.0000179,1.84e-08,5.27e-11,3,3,3,3,3
3,60,.2791488,.0997302,-.0023002,-.0010432,-.2331787,6.56e-34,.0060133,.7214592,.0009443,.0125469,3,3,0,3,2
1,90,.014331,-.3256415,.0401614,-.0006375,.0546056,.0111086,3.03e-15,2.19e-29,9.67e-11,.1923295,2,3,3,3,0
2,90,.2328031,.7543917,-.06655,-.0018977,-.3072164,1.55e-21,3.12e-12,3.39e-15,.0005896,2.27e-08,3,3,3,3,3
3,90,.2700197,.1078956,-.0157943,-.0009733,-.1056346,0,.0012814,.0015322,8.35e-06,.1071415,3,3,3,3,0
1,120,.0090784,-.3333615,.0366765,-.0005408,.0343727,.0138838,1.99e-17,1.15e-33,5.92e-11,.3019095,2,3,3,3,0
2,120,.2349516,.8475899,-.0817565,-.0015324,-.1691018,3.81e-13,1.30e-11,1.37e-16,.0068211,.0001206,3,3,3,3,3
3,120,.2344799,.0334092,-.0121383,-.0009277,-.0128024,3.39e-37,.292588,.0052024,2.99e-07,.822942,3,0,3,3,0
1,150,.0074602,-.318832,.0327885,-.0005408,.0375619,.0177641,1.36e-16,1.92e-33,2.60e-13,.1799926,2,3,3,3,0
2,150,.1647383,1.044756,-.0733551,-.0019784,-.1130444,.0017331,1.67e-13,1.33e-06,.0011366,.0046406,3,3,3,3,3
3,150,.2084538,-.0034547,-.0077778,-.0008417,-.0300152,0,.9214561,.0417978,1.37e-07,.5825236,3,0,2,3,0
1,180,.0069061,-.3090026,.0291864,-.0005564,.0464858,.0200792,7.45e-17,6.69e-34,5.03e-16,.0596236,2,3,3,3,1
2,180,.1229219,1.21271,-.0689147,-.0023379,-.1072075,.0195338,1.51e-20,.000047,8.97e-09,.0036916,2,3,3,3,3
3,180,.1883358,-.0720031,-.0040651,-.0006239,-.0206547,6.99e-39,.0656963,.2235797,5.19e-06,.6550603,3,1,0,3,0
