gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,.0959302,-.1803429,.0513655,-.0007531,5.307375,1.47e-08,.018145,1.37e-10,.0143135,.1603608,3,2,3,2,0
2,10,.1190935,.1807588,.0332649,.0020527,-11.55639,1.60e-08,.1342317,.005551,.0337193,.1729547,3,0,3,2,0
3,10,.0188248,-.0565956,.0764712,-.00026,-27.78195,.2793438,.1755678,1.23e-13,.655489,.078856,0,0,3,0,1
1,20,.0807611,-.1342734,.0448855,-.000416,2.048483,3.72e-10,.0158343,1.47e-12,.0918421,.3134359,3,2,3,1,0
2,20,.0700748,-.0005964,.0505965,.0010262,-2.908886,2.28e-07,.9952327,1.06e-08,.0669159,.37249,3,0,3,1,0
3,20,.0430327,-.051792,.060794,.0006571,-26.6743,.0008068,.038226,7.22e-16,.0287544,.0062559,3,2,3,2,3
1,30,.0628069,-.0942514,.043112,-.0003494,1.100623,1.76e-08,.0513038,5.62e-15,.1095101,.5799341,3,1,3,0,0
2,30,.0647837,-.0645398,.0516161,.0005056,-4.913134,1.02e-10,.5640596,9.08e-11,.2561034,.0682807,3,0,3,0,1
3,30,.0611823,-.0873107,.0501909,.0005053,-19.60653,6.50e-08,.0024728,5.61e-14,.0425431,.0126715,3,3,3,2,2
1,60,.0378853,-.0582344,.0397297,-.0002566,.6109203,4.23e-08,.0548735,1.31e-28,.0635558,.5205575,3,1,3,1,0
2,60,.0838925,-.2620628,.0401482,.0005674,-4.186656,3.03e-19,.0011772,1.77e-15,.022483,.0104846,3,3,3,2,2
3,60,.1079629,.0037863,.0143295,.0003367,-10.09493,5.20e-25,.8742785,.0014779,.0272603,.0450469,3,0,3,2,2
1,90,.0287598,.0132572,.0326724,-.0002532,.5110212,1.77e-09,.5383964,1.15e-36,.0084837,.4780867,3,0,3,3,0
2,90,.1035801,-.393885,.027325,.0001132,2.348697,4.57e-35,2.86e-07,5.44e-11,.5249652,.1407028,3,3,3,0,0
3,90,.0974833,-.0079318,.0119529,.0001194,-4.306899,4.64e-30,.7414385,.0012641,.348898,.1677198,3,0,3,0,0
1,120,.0150394,.0722075,.0303414,-.0001456,-.0725839,.0000112,.0003521,0,.0290529,.8917759,3,3,3,2,0
2,120,.1097635,-.3521576,.0143538,-.0000851,2.432472,8.81e-39,9.08e-08,.0000397,.581176,.0270356,3,3,3,0,2
3,120,.0871707,-.0465503,.0146783,4.61e-06,-5.230117,2.50e-30,.1040798,.0000207,.9679351,.0640822,3,0,3,0,1
1,150,.007729,.1017216,.0287459,-.0000489,-.5355979,.0070329,6.29e-06,0,.3203235,.2726747,3,3,3,0,0
2,150,.1118774,-.1229595,-.0045519,-.0002662,1.688459,0,.0196465,.1438902,.050127,.0260623,3,2,0,1,2
3,150,.0851518,-.0687995,.0128692,.0000228,-4.352606,1.08e-31,.0252876,.000041,.8171695,.0671073,3,2,3,0,1
1,180,.0060978,.1157606,.0266422,.0000365,-.6685432,.0328913,4.35e-06,0,.416739,.1586915,2,3,3,0,0
2,180,.1092434,.1934945,-.0219107,.0000901,.4732726,0,.0001823,5.36e-11,.3915716,.5009759,3,3,3,0,0
3,180,.0826568,-.073098,.0106764,.0000526,-3.713775,3.04e-35,.0385257,.0001745,.5300908,.0457657,3,2,3,0,2
