gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,.0560532,-.4022473,.0342871,-.0018699,-.3620141,3.18e-06,2.88e-06,.0000179,.0012476,.0149254,3,3,3,3,2
2,10,.3675334,.1132907,-.0852208,-.000544,-2.320188,3.74e-13,.5781019,.0000208,.7792136,1.21e-08,3,0,3,0,3
3,10,.0281177,-.0662166,.0299292,-.0072316,.3468764,.3182539,.0189328,.0067599,9.32e-13,.1127005,0,2,3,3,0
1,20,.0599155,-.2632948,.0201451,-.0013268,-.340975,1.61e-09,.0000177,.0003748,.0002289,.0018902,3,3,3,3,3
2,20,.298214,.0970957,-.088653,.0012476,-1.313026,1.77e-21,.552636,1.82e-11,.294923,1.17e-06,3,0,3,0,3
3,20,.0581659,-.0354373,.0112939,-.0069211,.2282258,.0110326,.2343266,.1635146,1.53e-21,.2120965,2,0,0,3,0
1,30,.0683318,-.2721868,.0130125,-.0009404,-.3219147,2.68e-10,4.34e-06,.0183538,.0023714,.0007936,3,3,2,3,3
2,30,.280988,.2002368,-.0956245,-.0001429,-.9307558,4.14e-20,.1159647,1.23e-11,.891809,.0000109,3,0,3,0,3
3,30,.0993751,-.0098701,-.0051072,-.0059333,-.0033407,1.98e-07,.7667671,.4400072,1.48e-23,.9810704,3,0,0,3,0
1,60,.0672553,-.4409262,.0186548,-.0010647,-.2899721,1.40e-13,5.00e-18,1.32e-06,.0000883,8.15e-06,3,3,3,3,3
2,60,.2041735,.1849614,-.0722023,-.0011309,-.517447,3.27e-29,.0141004,7.23e-23,.0215768,2.53e-06,3,2,3,2,3
3,60,.158128,.0534666,-.0362497,-.0038195,-.1888845,5.80e-19,.0977174,3.22e-08,8.95e-19,.0207448,3,1,3,3,2
1,90,.0548756,-.4877735,.0200577,-.0007454,-.2248866,9.99e-15,2.16e-22,7.26e-11,.0010154,.0000124,3,3,3,3,3
2,90,.1820854,.289545,-.0762129,-.0007507,-.2391526,8.52e-34,.0000225,5.78e-36,.0456496,.000507,3,3,3,2,3
3,90,.2090687,.1195624,-.063135,-.0025608,-.3268085,4.36e-33,.0001321,3.01e-23,1.17e-18,1.73e-09,3,3,3,3,3
1,120,.0454502,-.4892847,.0198796,-.000623,-.1512034,1.25e-14,1.97e-23,2.74e-12,.0019388,.0004608,3,3,3,3,3
2,120,.1694724,.4421616,-.0859743,.0007237,-.119115,7.84e-33,4.02e-08,1.40e-35,.0517066,.0379763,3,3,3,1,2
3,120,.2009814,.0991565,-.0602052,-.0016634,-.323378,5.27e-36,.0006029,9.88e-28,6.45e-13,5.83e-12,3,3,3,3,3
1,150,.0383185,-.4861605,.0197342,-.0005589,-.0902818,4.11e-13,2.74e-21,5.95e-13,.0025099,.0169559,3,3,3,3,2
2,150,.1528509,.616915,-.0861021,.0008547,-.2398123,2.00e-18,9.12e-10,2.23e-25,.0365352,.003174,3,3,3,2,3
3,150,.2051749,.1039172,-.0646647,-.0009742,-.2843398,0,.0000108,9.28e-37,3.31e-08,2.19e-14,3,3,3,3,3
1,180,.0346803,-.4613067,.0181232,-.0004751,-.0799167,6.47e-12,1.84e-18,2.56e-11,.0068606,.0261384,3,3,3,3,2
2,180,.1289782,.8778839,-.088682,.0008752,-.1922869,6.72e-10,4.07e-14,4.76e-15,.0737048,.0147357,3,3,3,1,2
3,180,.1916233,.0729463,-.0584191,-.0008594,-.2724624,0,.0014376,1.05e-38,7.16e-10,4.75e-14,3,3,3,3,3
