gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,.1957438,.3496003,.0013879,-.0018114,-.0829047,2.76e-19,9.09e-06,.8097911,.006989,.5934956,3,3,0,3,0
2,10,.2213951,-.0212621,.0212369,.0143758,-3.723552,.0009069,.8597522,.2920397,.0003768,3.43e-07,3,0,0,3,3
3,10,.1525525,.0346161,.0469006,.0001069,-1.098863,3.76e-14,.256341,5.53e-10,.9041168,2.37e-08,3,0,3,0,3
1,20,.1302193,.2370284,.0183825,-.0012061,-.0871884,1.86e-22,.0000457,.0000194,.0036761,.2826879,3,3,3,3,0
2,20,.2106625,.0599032,-.0028899,.0112812,-2.31023,.0000458,.5009585,.8448529,.0000581,.0000249,3,0,0,3,3
3,20,.1542642,.0269152,.0367929,-.0004697,-.7796273,3.05e-20,.4183405,4.55e-09,.4288722,2.32e-08,3,0,3,0,3
1,30,.0923455,.1636785,.0270746,-.0010398,-.0814984,7.15e-23,.0008172,4.47e-13,.0010669,.1414528,3,3,3,3,0
2,30,.1500861,.0961161,-.0038133,.0118982,-1.332119,.0000582,.2716569,.7536873,5.19e-08,.0036726,3,0,0,3,3
3,30,.1466653,.0185753,.0310019,-.0005914,-.5387743,2.79e-22,.5163037,6.82e-09,.2013102,6.33e-07,3,0,3,0,3
1,60,.0565571,-.025565,.0354625,-.0004268,-.1105372,4.73e-23,.4641525,3.17e-29,.0248579,.000658,3,0,3,2,3
2,60,.0356353,.3031249,-.0001318,.010737,-.333851,.2438992,.0016867,.9874781,7.18e-11,.4007241,0,3,0,3,0
3,60,.1286054,.0233781,.0204419,.0000209,-.2910447,3.66e-24,.2622954,3.11e-07,.9440637,.000037,3,0,3,0,3
1,90,.0464553,-.1052851,.0337623,-.0000963,-.1074693,9.04e-24,.0003022,2.27e-38,.5050108,.0000203,3,3,3,0,3
2,90,-.0380244,.4349461,.0055275,.0078221,.1022957,.1636509,6.18e-06,.3904456,4.03e-10,.7338089,0,3,0,3,0
3,90,.1153835,.0359355,.0135465,.0000893,-.1689096,1.21e-27,.0770457,.0000115,.6612502,.0013773,3,1,3,0,3
1,120,.04022,-.142845,.0317177,.000044,-.1114316,3.24e-20,1.76e-06,0,.7125275,2.58e-07,3,3,3,0,3
2,120,-.1049613,.5166963,.0169689,.004815,.3564601,.0024151,1.93e-08,.0187568,6.03e-08,.1764477,3,3,2,3,0
3,120,.0962965,.0084912,.0149439,.0000582,-.1130074,2.02e-26,.6836266,1.33e-08,.7160786,.009097,3,0,3,0,3
1,150,.0411453,-.1433636,.0284055,.0001219,-.130936,3.75e-21,3.02e-06,0,.2186012,9.71e-11,3,3,3,0,3
2,150,-.1884614,.4392454,.0445683,.0025849,.4555716,5.46e-08,9.33e-08,2.20e-06,.0006929,.020056,3,3,3,3,2
3,150,.0949312,-.0217967,.0137719,.0001295,-.0972786,1.05e-30,.2994717,1.75e-10,.338896,.0215352,3,0,3,0,2
1,180,.0492034,-.1751281,.0254561,.0001003,-.1500463,4.65e-26,1.95e-08,0,.2232612,3.62e-15,3,3,3,0,3
2,180,-.2089423,.3482056,.0568579,.0015024,.2732476,3.20e-09,.0000105,1.51e-07,.0175516,.0502416,3,3,3,2,1
3,180,.0885221,-.0262337,.0122292,.0001696,-.1184356,4.48e-30,.1473868,1.46e-11,.1485131,.0024613,3,0,3,0,3
