gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,.1235184,.1312554,.0390824,-.0013598,-.5863369,5.74e-06,.1926187,.0000136,.0620661,.1648859,3,0,3,1,0
2,10,.1887071,-.1501903,-.0251637,-.0080491,-1.869835,5.99e-30,.4095021,.0475538,2.97e-06,3.07e-14,3,0,2,3,3
3,10,.1780679,.0133886,.0273178,.0002523,-2.468755,6.28e-21,.543507,.0002496,.6504469,.0006868,3,0,3,0,3
1,20,.1268124,.157631,.0219931,-.0008865,-.2522291,1.67e-08,.0373524,.0017869,.0892635,.279586,3,2,3,1,0
2,20,.164008,-.0911864,-.0257308,-.0066968,-1.316484,3.81e-37,.5057838,.0080838,1.36e-08,2.12e-17,3,0,3,3,3
3,20,.1501927,.0002988,.0301096,-.0000825,-2.40546,2.33e-25,.9872984,4.65e-07,.8415968,.0000206,3,0,3,0,3
1,30,.1469755,.2111771,.0082985,-.0008155,-.1511385,4.93e-14,.0010058,.1604875,.0570512,.3704668,3,3,0,1,0
2,30,.1438083,-.0794373,-.0241913,-.0064252,-.9468294,0,.5250464,.0041168,5.66e-11,3.23e-14,3,0,3,3,3
3,30,.1387335,.0048904,.0273715,-.0003772,-2.151347,8.50e-26,.7958105,2.89e-07,.2739347,5.21e-06,3,0,3,0,3
1,60,.0678687,.0203397,.030058,-.0006413,-.1801359,1.05e-08,.5967833,5.86e-15,.0264091,.08651,3,0,3,2,1
2,60,.0922409,.1101644,-.0204641,-.0049961,-.4918523,1.51e-13,.3570979,.0047649,7.53e-07,1.68e-08,3,0,3,3,3
3,60,.1082551,-.0142893,.0276248,-.0005918,-2.016055,2.84e-23,.406595,6.15e-10,.0304612,2.43e-07,3,0,3,2,3
1,90,.0154284,-.1133772,.0408401,-.0004939,-.1747034,.0685452,.0004796,1.72e-29,.0357367,.018439,1,3,3,2,2
2,90,.0558847,.4774211,-.0253199,-.00413,-.3708258,1.50e-06,.0001401,.000742,.0000155,.0000409,3,3,3,3,3
3,90,.0942653,-.0592075,.0261819,-.0005168,-1.802019,8.54e-25,.0020315,2.78e-12,.017866,3.18e-07,3,3,3,2,3
1,120,-.003448,-.185401,.0426377,-.0004401,-.1300755,.6464643,2.36e-07,6.11e-36,.0285,.0295954,0,3,3,2,2
2,120,.0161173,.9169462,-.0331317,-.0042473,-.1213626,.2017871,1.29e-09,.0000636,6.23e-07,.249542,0,3,3,3,0
3,120,.090974,-.1343809,.0252208,-.0004134,-1.41638,1.28e-26,5.74e-08,6.89e-14,.0164976,2.39e-07,3,3,3,2,3
1,150,-.0157161,-.2361875,.0432953,-.0004475,-.1046242,.0234624,2.58e-09,0,.0047411,.0414436,2,3,3,3,2
2,150,-.0142306,1.1073,-.0298819,-.0038612,.1228117,.1320573,4.21e-13,.0005745,8.32e-08,.1105862,0,3,3,3,0
3,150,.0947256,-.1447608,.0192773,-.0003351,-1.175664,5.05e-31,7.26e-08,1.82e-11,.0209914,6.43e-07,3,3,3,2,3
1,180,-.0280756,-.2648542,.0435566,-.00052,-.0626694,.0000124,2.34e-10,0,.0000788,.110398,3,3,3,3,0
2,180,-.0134488,1.072883,-.0262636,-.0032137,.1253706,.0422599,8.40e-12,.0033803,1.94e-07,.0236068,2,3,3,3,2
3,180,.0801641,-.1625457,.0208312,-.0003077,-1.076111,1.77e-24,1.82e-06,1.66e-13,.0256087,1.39e-06,3,3,3,2,3
