gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,.2102585,.0484265,.0229993,-.0032005,-1.424889,4.60e-19,.5519522,.0005136,1.35e-07,2.07e-08,3,0,3,3,3
2,10,.4372246,.3087719,-.0813299,-.0047898,-.9751402,1.11e-08,.1585562,.0001843,.0122394,.1266443,3,0,3,2,0
3,10,-.0425671,-.0916259,.0641105,-.0035616,1.205253,.0118443,.0061016,1.38e-14,4.54e-06,.042082,2,3,3,3,2
1,20,.1743297,-.0268689,.0219252,-.0019288,-1.065109,5.81e-24,.6236447,9.29e-07,7.48e-07,6.73e-10,3,0,3,3,3
2,20,.3410083,.2488658,-.066173,-.0028903,-.1515672,1.07e-11,.1081291,.0000119,.0166343,.6087854,3,0,3,2,0
3,20,-.0200191,-.0764098,.0537718,-.0025103,.9233183,.1145201,.0159512,2.07e-14,1.36e-06,.0254877,0,2,3,3,2
1,30,.1615264,.006492,.0177476,-.0015084,-1.108865,1.40e-28,.8778213,4.79e-07,1.45e-07,1.35e-14,3,0,3,3,3
2,30,.3229729,.2624068,-.0658414,-.0017763,.112955,5.71e-12,.0445063,.0000156,.0624856,.4264469,3,2,3,1,0
3,30,-.0091426,-.0499048,.0465186,-.0021222,.7631425,.3861843,.0942332,1.77e-13,9.39e-08,.0159534,0,1,3,3,2
1,60,.1342399,-.0503463,.0153885,-.0003796,-.9453931,4.35e-32,.1512441,2.01e-09,.0247994,6.75e-17,3,0,3,2,3
2,60,.3943155,.2423071,-.0901067,-.001058,.0482889,3.87e-14,.0032526,2.11e-13,.115178,.5608796,3,3,3,0,0
3,60,-.0215196,-.0146752,.0441522,-.001668,.7348548,.0060173,.5597461,1.17e-16,6.45e-10,.0007245,3,0,3,3,3
1,90,.1174193,-.1886149,.0191708,.0001908,-.8504934,3.37e-31,3.50e-07,7.44e-17,.1378978,3.12e-17,3,3,3,0,3
2,90,.1218174,.558633,-.0342081,-.0000897,.0473827,.0567534,1.37e-06,.0233697,.8878991,.4531048,1,3,2,0,0
3,90,-.0324522,-.0306066,.0465394,-.0014287,.5959467,2.69e-06,.2389275,8.91e-22,2.75e-12,.0002189,3,0,3,3,3
1,120,.1241226,-.3350119,.0186645,.0005129,-.7545118,1.32e-31,6.32e-13,8.59e-17,4.55e-06,9.50e-17,3,3,3,3,3
2,120,-.1497324,.7980998,.0291518,-.0004244,.0413314,.0347877,1.52e-12,.1023319,.3641078,.5242192,2,3,0,0,0
3,120,-.0412933,-.0606781,.0497122,-.0012418,.4760282,3.58e-12,.017548,3.28e-28,1.66e-13,.0001328,3,2,3,3,3
1,150,.1362619,-.494667,.017917,.000542,-.6404932,2.39e-35,1.53e-18,3.63e-17,4.19e-08,4.85e-16,3,3,3,3,3
2,150,-.3333543,.7275263,.0850311,-.0005807,.0051266,6.64e-10,1.31e-16,1.35e-08,.0600435,.9160059,3,3,3,1,0
3,150,-.0383636,-.0809541,.0481338,-.0010521,.3853057,2.80e-13,.0008186,2.84e-34,2.10e-13,.0001654,3,3,3,3,3
1,180,.1396647,-.6423544,.0191284,.0003769,-.5384246,0,4.00e-24,1.63e-20,.0000382,1.82e-14,3,3,3,3,3
2,180,-.356923,.5322458,.1014452,-.0002115,.0170799,1.50e-11,6.11e-09,2.99e-09,.4105629,.6582248,3,3,3,0,0
3,180,-.0399953,-.0959465,.0477605,-.0008605,.3155927,1.61e-17,.00011,0,6.36e-13,.0003555,3,3,3,3,3
