gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,.3050164,-.3495874,.0244371,-.0009916,-.7197202,1.83e-07,.0004563,.0528225,.0053179,.2917453,3,3,1,3,0
2,10,.3832265,.0086616,-.0345807,.0022094,-6.701165,6.36e-19,.9612347,.015988,.0070298,.0240376,3,0,2,3,2
3,10,.4064073,-.0125848,-.0110436,.001184,-1.928773,5.70e-16,.7197388,.3015961,.0168757,.3069663,3,0,0,2,0
1,20,.249048,-.2708103,.0164864,-.000182,-.2448518,1.67e-08,.0005663,.0968794,.4786747,.6568446,3,3,1,0,0
2,20,.2800138,.0621653,-.0250869,.0017122,-4.145969,1.28e-18,.6562476,.0097995,.0025799,.0309708,3,0,3,3,2
3,20,.3850543,-.0250745,-.015516,.0011856,-.0870545,7.46e-24,.3792146,.0487181,.0002183,.9319606,3,0,2,3,0
1,30,.2241912,-.3140003,.0219715,-.0000521,-.4571893,1.41e-11,.000015,.0044216,.7936143,.2428717,3,3,3,0,0
2,30,.2711125,.1148008,-.029149,.0006859,-3.464232,9.09e-29,.3268339,.0004509,.1769766,.0408662,3,0,3,0,2
3,30,.3429466,-.0320483,-.0150216,.0008143,1.718437,4.59e-19,.3152791,.0953101,.0042374,.0802491,3,0,1,3,1
1,60,.1232538,-.4374316,.0480292,.000328,-.7277171,3.34e-12,2.26e-15,4.33e-19,.0039816,.0001981,3,3,3,3,3
2,60,.1819403,.0051524,-.023002,-.0006237,2.574247,6.65e-30,.9418908,.0000429,.0402826,.0367513,3,0,3,2,2
3,60,.3760712,.1112783,-.0352897,.0003266,-.2225965,3.73e-32,.000102,5.04e-06,.0414419,.7872524,3,3,3,2,0
1,90,.1144976,-.4228701,.0403631,.0002023,-.6574004,5.85e-19,5.72e-20,2.54e-22,.0063996,2.30e-06,3,3,3,3,3
2,90,.1428954,.082949,-.0242024,-.0002421,3.229048,3.89e-17,.3312467,.0000158,.3078493,.0242829,3,0,3,0,2
3,90,.4000914,.1244204,-.0532745,.0003303,-.0355771,0,2.53e-06,5.24e-15,.0067517,.9560335,3,3,3,3,0
1,120,.0916662,-.4182951,.0392965,.0002186,-.6476511,3.30e-17,4.10e-19,3.09e-23,.0007635,1.74e-07,3,3,3,3,3
2,120,.0881835,.2981529,-.0297231,-.00007,5.62559,4.43e-09,.0017828,3.54e-08,.7434471,3.29e-06,3,3,3,0,3
3,120,.3155239,.0616528,-.0324491,.000339,-.305043,1.11e-38,.0228452,2.65e-09,.0025522,.5497347,3,2,3,3,0
1,150,.0843106,-.4219237,.0355289,.0001966,-.4760952,3.91e-17,3.87e-17,3.25e-21,.0006176,7.06e-06,3,3,3,3,3
2,150,.0637994,.4014172,-.0296633,.0001789,5.925021,6.75e-06,.0001516,8.45e-07,.4002144,3.47e-08,3,3,3,0,3
3,150,.320242,.0313626,-.0348743,.0004338,-.4122481,1.90e-38,.2578946,5.43e-12,.0000203,.3790136,3,0,3,3,0
1,180,.0746948,-.4106285,.0329084,.0001786,-.4119151,2.05e-14,1.90e-15,1.73e-19,.0011404,.0000323,3,3,3,3,3
2,180,.0559293,.5647885,-.0381705,.0000519,6.333259,.000164,.0000359,1.03e-06,.8026306,1.33e-07,3,3,3,0,3
3,180,.3047081,-.0178068,-.030572,.0005566,-.9297739,7.85e-35,.5955562,1.47e-10,1.80e-08,.0206018,3,0,3,3,2
