gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,.2851208,-.0297085,.0292218,-.0002863,-64.03957,.0067771,.7157112,.0199295,.3220659,.0423232,3,0,2,0,2
2,10,.3354936,-.2445418,.0219884,-.0016178,121.1098,.0000159,.1265583,.2074106,.0000542,.1212741,3,0,0,3,0
3,10,.2545756,.0422096,.0460542,-.0010746,-68.4707,.0004452,.6332926,.0001953,.0002071,.2424316,3,0,3,3,0
1,20,.3223712,-.0289893,.0242298,-.0003691,-63.7432,.0000398,.7250758,.0151755,.1845917,.0294951,3,0,2,0,2
2,20,.2557393,-.2208034,.0302868,-.0013183,129.0693,2.87e-12,.1152001,.0056426,.0000791,.0317994,3,0,3,3,2
3,20,.2468879,.0407826,.0442427,-.0010031,-69.11352,.0015055,.6558782,.0005958,.0002331,.2126165,3,0,3,3,0
1,30,.3215726,-.0270116,.0223831,-.0003758,-56.38597,2.13e-07,.7590009,.009816,.1555282,.0407846,3,0,3,0,2
2,30,.1596741,-.2595806,.045344,-.0011307,144.1854,1.86e-14,.0290052,1.72e-07,.0000116,.0029305,3,2,3,3,3
3,30,.2107132,.0044712,.0497696,-.0008201,-79.66022,.0218247,.9574968,.0002868,.000781,.1218273,2,0,3,3,0
1,60,.2333582,.0134836,.0187675,-.0001596,-18.579,.0000554,.9000045,.0436315,.5163202,.4427786,3,0,2,0,0
2,60,.1381058,-.3031565,.0469671,-.0006707,71.75465,9.20e-19,.0018964,1.43e-09,.0074154,.1363793,3,3,3,3,0
3,60,.1642995,.0323371,.0419439,-.0003542,-5.906398,.0181082,.5986219,7.32e-06,.015868,.859684,2,0,3,2,0
1,90,.1566203,-.0499857,.0195199,-.0000915,9.252824,.0009743,.6603219,.022399,.6354696,.630055,3,0,2,0,0
2,90,.1280062,-.1186888,.0347936,-.0005028,44.56513,1.68e-14,.2333865,7.59e-07,.0070145,.2449527,3,0,3,3,0
3,90,.1450594,.0709415,.0294105,-.0001268,32.39304,.0001256,.193595,3.00e-08,.1922744,.1741648,3,0,3,0,0
1,120,.0767488,-.1298159,.0236266,-.0001189,30.09534,.0140412,.2213125,.0008416,.4204383,.0469172,2,0,3,0,2
2,120,.1135774,-.032765,.0268966,-.0003174,54.19594,9.23e-13,.7765937,.0001626,.0273877,.0631136,3,0,3,2,1
3,120,.1296858,.0828692,.0196486,-.0000135,71.09949,.001758,.2700684,.000288,.8774202,.0015318,3,0,3,0,3
1,150,.0549369,-.1537971,.0220575,-.0001504,35.01239,.032914,.1595685,.000886,.1944766,.0090211,2,0,3,0,3
2,150,.103131,.0130792,.022529,-.0002719,52.67569,1.15e-11,.9228309,.0030075,.0619246,.0758305,3,0,3,1,1
3,150,.137408,.05775,.0137705,.0000339,76.30693,.0011063,.5383382,.0089243,.6926228,.000385,3,0,3,0,3
1,180,.0527458,-.0699699,.016184,-.0000191,35.51326,.0673387,.7342843,.1274455,.9090503,.0151953,1,0,0,0,2
2,180,.1074239,.0792969,.0143968,-.0002591,48.48496,2.17e-10,.6165975,.0904752,.0791403,.1214045,3,0,1,1,0
3,180,.1225445,.0257227,.0131235,.0000562,74.93637,.0012404,.799691,.0166899,.5193163,.0004806,3,0,2,0,3
