gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,.2689841,.0355304,.0230647,-.00023,-8.530555,.0022975,.6667914,.0111617,.1465084,.85117,3,0,2,0,0
2,10,.077096,.5582827,.0570553,-.0012757,-168.8643,.0397853,.0697791,.0072835,.0086458,.1382985,2,1,3,3,0
3,10,.1866294,-.0482091,.0541627,-.000942,-147.424,.0029634,.4777546,1.64e-06,.001372,.0262173,3,0,3,3,2
1,20,.2617011,.047405,.0225172,-.0001878,-7.635772,.0000882,.5867127,.0116561,.2203908,.8524452,3,0,2,0,0
2,20,.1123521,.5492545,.0408906,-.0007816,-165.6296,.0019361,.0424944,.0311662,.063312,.1143035,3,2,2,1,0
3,20,.1817001,-.0421594,.0512333,-.0008766,-131.6016,.006801,.5172988,7.67e-06,.0013808,.0413686,3,0,3,3,2
1,30,.2223966,.0682475,.0244527,-.0001965,-.542698,.0000256,.4756847,.0072648,.1786948,.9886317,3,0,3,0,0
2,30,.142707,.5345086,.0246174,-.000242,-153.9801,1.09e-07,.0218632,.1204992,.503054,.097228,3,2,0,0,1
3,30,.1320559,-.049943,.0525747,-.0008108,-82.37562,.040584,.4031106,1.65e-06,.0016435,.1266236,2,0,3,3,0
1,60,.1130588,-.0457809,.0391389,-.0000878,3.369803,.0049839,.7017799,.0000863,.4659302,.9165077,3,0,3,0,0
2,60,.1912618,.3327464,.0061434,.0003779,-128.5206,3.55e-11,.3000827,.5783352,.1481282,.0406101,3,0,0,0,2
3,60,.1681443,-.1585635,.0345742,-.0005091,44.66469,.0009745,.0096258,.0000438,.0061122,.1262506,3,3,3,3,0
1,90,.0515745,-.1401872,.0438245,-.0000337,2.825461,.1025597,.2238387,2.68e-06,.7468753,.9141956,0,0,3,0,0
2,90,.1884897,.2501541,-.0048286,.0003079,-51.978,.0000197,.5927631,.6552052,.225347,.3132907,3,0,0,0,0
3,90,.0670218,-.0011341,.0317395,-.0005206,76.38222,.1169716,.9857094,8.01e-06,.000186,.0018025,0,0,3,3,3
1,120,.0086647,-.245429,.0468418,.0000292,-1.200081,.7400975,.0338162,4.22e-08,.7544862,.955938,0,2,3,0,0
2,120,.2133609,.0483075,-.0150522,.000197,5.176259,.000063,.9250851,.1612108,.3862478,.9259514,3,0,0,0,0
3,120,.0544378,.1756746,.0130417,-.0004209,96.54204,.1234427,.016901,.0340176,.000497,.0000629,0,2,2,3,3
1,150,-.0068249,-.2746474,.0429762,.000118,7.864507,.7852828,.0360238,9.72e-07,.2013746,.7019472,0,2,3,0,0
2,150,.2240561,-.0853453,-.0187961,-.0000341,35.14194,.0000918,.8616522,.068438,.8756543,.4525641,3,0,1,0,0
3,150,.0745802,.3471295,-.0084073,-.0002989,113.6777,.0464184,.0000723,.2052787,.008474,8.70e-06,2,3,0,3,3
1,180,-.0259334,-.2845064,.0411603,.0001201,19.41995,.3888119,.1100187,.0002821,.2386471,.4150888,0,0,3,0,0
2,180,.2580245,-.3728674,-.0200303,-.000048,34.52916,.0001429,.4928536,.0687619,.8393964,.4556142,3,0,1,0,0
3,180,.091022,.4055904,-.0201858,-.0002162,128.5979,.0208514,.0000455,.006144,.052841,8.78e-07,2,3,3,1,3
