gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,.2746617,-.3680033,.0710724,-.0012274,-8.129765,9.52e-08,.0012675,5.85e-09,.0024301,.0004822,3,3,3,3,3
2,10,.1911193,.0006446,-.012388,-.0048352,1.59527,9.19e-06,.9968836,.3314134,.0005184,.732567,3,0,0,3,0
3,10,.1452147,.1120764,.014218,-.0025677,5.201648,.0055998,.0258575,.3250349,2.76e-06,.2039344,3,2,0,3,0
1,20,.2469498,-.2468537,.0460977,-.0009096,-5.162863,4.23e-09,.0049171,2.51e-06,.0028036,.0007715,3,3,3,3,3
2,20,.2032893,-.0314106,-.0258577,-.0045839,2.678109,6.93e-20,.7789824,.0081749,4.97e-06,.3476332,3,0,3,3,0
3,20,.1404964,.0814238,.0246201,-.0028305,.3751074,.0023864,.080841,.0663651,2.62e-10,.9047337,3,1,1,3,0
1,30,.1888393,-.1335517,.0465098,-.0003611,-6.518069,2.00e-08,.0880764,3.92e-08,.1403327,8.23e-08,3,1,3,0,3
2,30,.1420648,.1568591,-.0198207,-.0034326,2.917603,1.29e-12,.1741993,.0266851,.0000316,.172747,3,0,2,3,0
3,30,.1392933,.0904815,.0245724,-.0023099,-1.254181,.0008699,.0163607,.0412097,9.73e-10,.5597293,3,2,2,3,0
1,60,.1655429,-.1796732,.0343683,1.00e-05,-3.366092,1.27e-16,.0017387,4.87e-11,.9377404,9.50e-07,3,3,3,0,3
2,60,.1445827,.0103625,-.0160067,-.0018935,.9531961,1.35e-27,.9182906,.0086045,.000642,.5818081,3,0,3,3,0
3,60,.2788841,.0489575,-.0111484,-.0006064,-4.619638,2.63e-21,.0979998,.0828074,.0048895,.0000102,3,1,1,3,3
1,90,.1173358,-.4068538,.0413242,.0001433,-1.454235,2.79e-15,1.71e-12,9.18e-20,.1700616,.004205,3,3,3,0,3
2,90,.138036,.2276651,-.0259835,-.0022506,-.914167,8.54e-24,.0429064,.0000195,.0022014,.5313407,3,2,3,3,0
3,90,.2740557,-.0432057,-.017371,-.0000676,-2.9641,1.71e-27,.1649536,.0006348,.6694322,.0001125,3,0,3,0,3
1,120,.1018663,-.5461192,.0410354,.0001202,-.3901665,5.46e-13,1.55e-18,5.98e-21,.1974621,.3658049,3,3,3,0,0
2,120,.0689245,.6941176,-.0390142,-.001546,2.580259,3.21e-07,1.40e-06,1.14e-08,.0007843,.0339683,3,3,3,3,2
3,120,.2366156,-.1170306,-.0120202,-.0001187,-1.823182,1.73e-23,.0036105,.0135235,.4207535,.0020763,3,3,2,0,3
1,150,.1134404,-.7031705,.0398949,.0000848,-.1195908,2.14e-16,1.42e-23,2.83e-20,.328182,.7391958,3,3,3,0,0
2,150,.044104,.8642054,-.0445107,-.0014152,4.254606,.0000158,1.53e-08,1.10e-09,.000419,.0001507,3,3,3,3,3
3,150,.1909796,-.1664739,-.0024168,-.0000645,-1.859568,8.35e-16,.0003395,.6635217,.6521211,.0039635,3,3,0,0,3
1,180,.1376586,-.8527893,.0359068,.000108,.0326441,1.23e-22,7.20e-28,1.02e-18,.1771995,.9174531,3,3,3,0,0
2,180,.0510828,1.031358,-.05446,-.0011139,3.504095,8.95e-09,1.26e-10,6.23e-12,.0044507,.0004518,3,3,3,3,3
3,180,.1522795,-.2240119,.006536,.0000739,-2.209818,6.92e-10,.0000498,.276557,.5764094,.0011841,3,3,0,0,3
