gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,.184701,-.2455883,.0464368,-.0002566,-5.988669,.0000285,.0207142,.0001192,.6015252,.0363239,3,2,3,0,2
2,10,.2282949,.1610738,-.0636896,-.0027675,-5.852131,.0000235,.4225155,.0003078,.1101593,.0065056,3,0,3,0,3
3,10,.2139061,.0268526,.0175928,-.0012936,-7.514541,2.85e-20,.2642464,.0160631,.000156,.0051068,3,0,2,3,3
1,20,.215677,-.1943548,.0204986,-.0001122,-3.165284,.0000407,.0226463,.112392,.7921486,.117016,3,2,0,0,0
2,20,.1632522,.1195618,-.0416198,-.0008558,-2.868055,3.99e-15,.2480765,.0001063,.4509262,.0056767,3,0,3,0,3
3,20,.1718596,.0174284,.0198516,-.0010166,-5.413467,3.21e-21,.3743774,.0009013,.000013,.0045584,3,0,3,3,3
1,30,.1450479,-.1040088,.0243225,-.0006631,-1.779445,.0002885,.1317175,.0160337,.0530139,.3024317,3,0,2,1,0
2,30,.150426,.1504471,-.0372117,-.0005519,-4.077878,2.25e-09,.3653814,.0027597,.6473337,.0002575,3,0,3,0,3
3,30,.1513501,.0352345,.0169121,-.0008823,-4.965514,5.69e-17,.2030414,.0102831,.0002413,.0079082,3,0,2,3,3
1,60,.1917771,-.2755069,.0138842,-.0007802,-1.53622,1.08e-08,2.59e-07,.0475104,3.77e-07,.0776406,3,3,2,3,1
2,60,.0845732,.2379226,-.0183907,-.0016607,-2.056685,1.81e-13,.0577016,.0065495,.0233189,.0016205,3,1,3,2,3
3,60,.1125891,.0096624,.0208143,-.0010231,-5.110292,2.81e-14,.7343099,.0003499,1.41e-08,.0000303,3,0,3,3,3
1,90,.1685253,-.3070753,.0107345,-.0006692,-.670988,1.87e-15,5.99e-13,.0189786,3.11e-10,.240553,3,3,2,3,0
2,90,.0610311,.3475786,-.0184855,-.0005823,-.9406003,2.25e-07,.0095735,.0045026,.2418272,.1796876,3,3,3,0,0
3,90,.1177805,-.0063015,.0113491,-.0007832,-3.894441,5.10e-17,.8498127,.0409235,3.82e-08,.0000458,3,0,2,3,3
1,120,.1497543,-.3594872,.0094705,-.0003505,.2829295,9.21e-19,1.18e-16,.0152473,5.44e-06,.6085554,3,3,2,3,0
2,120,.0207221,.6844875,-.0250849,-.000306,1.321012,.0214968,8.17e-06,.0008129,.4586912,.0466505,2,3,3,0,2
3,120,.1205475,-.0099139,.0042008,-.0006549,-3.110352,2.35e-21,.7529777,.3765226,6.84e-08,.0002491,3,0,0,3,3
1,150,.1411465,-.4273196,.0093247,-.0001939,.8122953,2.17e-21,6.04e-16,.0222365,.0037815,.1762717,3,3,2,3,0
2,150,.0073449,.8381415,-.027265,-.0003613,1.991113,.288668,2.58e-06,.0009475,.335423,.0002114,0,3,3,0,3
3,150,.1271566,-.0082238,-.0020198,-.0006409,-3.378359,3.94e-26,.7623309,.6129798,8.38e-10,.0000162,3,0,0,3,3
1,180,.1248196,-.4625436,.0104869,-.0001226,1.05777,7.49e-24,3.98e-14,.0100223,.0459074,.0784661,3,3,2,2,1
2,180,.0125121,1.030316,-.0375483,-.0002996,1.794113,.0517857,1.16e-06,.0000935,.4251533,.0000656,1,3,3,0,3
3,180,.1193312,-.0349929,-.0019348,-.0005592,-2.974514,2.04e-27,.2142005,.5678683,8.72e-09,.0001087,3,0,0,3,3
