gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,.014235,.0735377,-.0536881,-.0035181,124.8338,.4880215,.9330528,.291464,.0794655,.0464784,0,0,0,1,2
2,10,.0094609,-.6836814,.0785231,.000696,-433.0981,.7518819,.0535803,.0477812,.4893312,.0322518,0,1,2,0,2
3,10,.0679554,.333426,-.016918,.0004655,830.0547,.0131641,.2973806,.5360993,.5311224,5.28e-10,2,0,0,0,3
1,20,.0261943,-.1852256,-.0541619,-.0039666,58.07665,.2468757,.822233,.2952557,.012736,.2985215,0,0,0,2,0
2,20,.0174178,-.741206,.0742015,.0008797,-282.8494,.6606413,.0166922,.0891546,.3110675,.0783248,0,2,1,0,1
3,20,.0575413,.3461226,-.0104023,.0003518,623.1749,.0730462,.2385089,.7166286,.6281012,.000097,1,0,0,0,3
1,30,.0583341,-.2083658,-.0968904,-.0038145,-28.63911,.0100779,.7842585,.0465536,.0031054,.51653,2,0,2,3,0
2,30,.020859,-.8184735,.0731532,.0010337,-102.7847,.5635526,.006575,.0762377,.1767865,.5032066,0,3,1,0,0
3,30,.0293099,.4209141,.0043259,.0002601,191.6091,.4361546,.1233859,.884064,.7024533,.3039487,0,0,0,0,0
1,60,.0734261,3.890562,-.3423955,-.0032538,-18.27094,.007004,.0145393,.0007183,.0127389,.730661,3,2,3,2,0
2,60,.0280734,-.7874228,.04713,.0003646,25.55872,.3982468,.1133549,.213701,.5593418,.8501268,0,0,0,0,0
3,60,.0658393,.9674689,-.0617349,-.0007654,-238.7592,.1060821,.0095344,.0817153,.1729493,.474542,0,3,1,0,0
1,90,-.0246179,2.850951,-.1200169,-.0026681,36.95395,.4807139,.0915039,.2064738,.0082995,.5412323,0,1,0,3,0
2,90,.0293536,.1079058,-.0112347,.000487,-25.13428,.4331034,.859235,.7598218,.3494725,.8104731,0,0,0,0,0
3,90,.0729928,1.246333,-.0846899,-.0002651,-83.0498,.065487,.0432873,.0640662,.5997444,.8840479,1,2,1,0,0
1,120,-.1299431,2.527525,.0545359,-.0015483,21.23681,.8363594,.2226711,.948568,.0752094,.6134763,0,0,0,1,0
2,120,.0079976,.1167408,.0034989,.0002656,-79.19987,.694451,.869029,.9189692,.5775598,.482025,0,0,0,0,0
3,120,.0879003,.9703585,-.0760415,.0001097,-381.0361,.0085575,.1890728,.1168912,.7984148,.2499314,3,0,0,0,0
1,150,.2682712,1.108545,-.3731491,-.001037,33.21003,.49699,.5129145,.4428748,.1334154,.2366422,0,0,0,0,0
2,150,.0195242,.0967558,-.0057694,-.0001873,-85.37959,.1435648,.8886164,.8477853,.6196396,.36057,0,0,0,0,0
3,150,.0796964,1.247888,-.0855683,.0000787,-218.6255,.0115136,.0722152,.068504,.8132257,.159696,2,1,1,0,0
1,180,-.1027048,-.072045,.131052,-.0007179,39.29101,.7916434,.9727396,.7868459,.3140801,.0679181,0,0,0,0,1
2,180,.0233754,-.0108207,-.0039796,-.0003364,-113.1804,.0577784,.9869638,.8758231,.3416302,.2239498,1,0,0,0,0
3,180,.0648362,1.587356,-.0911611,.0000943,-45.00179,.1026392,.1022583,.146313,.7798994,.2536661,0,0,0,0,0
