gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,.189875,.1730297,.0252647,-.0004472,-.2552433,5.83e-12,.0186081,.0000822,.286533,.1060037,3,2,3,0,0
2,10,.3345675,.1333937,-.0165906,-.0067664,-2.362675,3.75e-17,.1580521,.1814529,.0004875,.0000133,3,0,0,3,3
3,10,.1149474,-.004094,.0577922,-.0045291,-.7136354,.0000104,.9561735,9.71e-07,.0005431,.0088121,3,0,3,3,3
1,20,.147971,.0706529,.0300493,.000374,-.1299791,1.24e-15,.1958647,2.97e-10,.1310006,.2177819,3,0,3,0,0
2,20,.3391961,.1826924,-.0479326,-.0046739,-.7667817,1.27e-31,.0065774,1.12e-07,.0011407,.034227,3,3,3,3,2
3,20,.0967709,-.0355884,.0513661,-.003073,-.3789939,.0000269,.5425088,5.29e-07,.003453,.0571508,3,0,3,3,1
1,30,.1249355,.0498309,.0310102,.0005954,-.1158585,1.42e-20,.2919108,9.13e-16,.003429,.1672134,3,0,3,3,0
2,30,.3055494,.2749763,-.0534666,-.0043374,-.292951,1.62e-33,.0006634,1.15e-10,.0002637,.2543643,3,3,3,3,0
3,30,.0665406,-.0613977,.0549684,-.0024881,-.2669584,.0002418,.2200219,5.16e-10,.0031856,.0487555,3,0,3,3,2
1,60,.0838579,-.025345,.0320246,.0010011,-.055703,2.06e-25,.3363385,9.90e-33,4.16e-14,.2467267,3,0,3,3,0
2,60,.2845711,.1599038,-.0491753,-.0026295,-.3209105,9.56e-32,.0179171,1.92e-13,.0000333,.025248,3,2,3,3,2
3,60,.0696592,.0168235,.0332653,-.0012101,-.0601682,6.20e-06,.7149375,6.59e-06,.0406076,.4756728,3,0,3,2,0
1,90,.0718702,-.1039949,.0295887,.0011974,.0054626,3.04e-28,.0000186,1.61e-38,1.61e-25,.8832363,3,3,3,3,0
2,90,.2949632,.1454723,-.0572499,-.0013815,-.4904963,2.34e-26,.0411506,3.03e-17,.0062267,.0002995,3,2,3,3,3
3,90,.0768394,.030514,.0212679,-.0002471,.0239998,2.88e-07,.5346997,.0016436,.6180338,.714943,3,0,3,0,0
1,120,.0604274,-.1684291,.0292953,.0011609,.0321517,7.20e-24,3.16e-09,1.35e-37,7.54e-28,.299469,3,3,3,3,0
2,120,.2111319,.4398205,-.0513011,-.0011594,-.3258728,2.91e-14,1.75e-06,3.94e-12,.0345944,.0003929,3,3,3,2,3
3,120,.0602967,-.0216869,.0244536,-.0002734,.0625702,.0000141,.7247479,.0004652,.504403,.2479585,3,0,3,0,0
1,150,.0558238,-.2431159,.0296487,.0010384,.0445698,1.59e-22,7.91e-13,1.20e-38,8.55e-28,.1013011,3,3,3,3,0
2,150,.0954009,.6538658,-.0296422,-.0016022,-.0568802,.0003564,2.75e-11,.0002365,.0010934,.4563845,3,3,3,3,0
3,150,.0558311,-.0697777,.0257104,-.0002815,.0687501,.0000125,.2794626,.0000554,.4068372,.1303955,3,0,3,0,0
1,180,.0600751,-.3486233,.0298073,.0008532,.0487009,6.74e-25,2.57e-18,0,5.92e-24,.0365895,3,3,3,3,2
2,180,.0866573,.7536322,-.0337838,-.0015203,-.002981,.0005933,4.92e-16,.000328,.0004762,.9671041,3,3,3,3,0
3,180,.0458723,-.1268046,.0284048,-.0002497,.0646864,.0002826,.0495475,2.90e-06,.4023129,.1094576,3,2,3,0,0
