gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,.1802052,.0853825,.0312643,-.0004081,-2.79718,.0018728,.4688804,.0376594,.3977259,.0691694,3,0,2,0,1
2,10,.3196294,.0843893,-.0418245,-.0038099,-10.93291,2.87e-20,.4487282,.0004752,.0229889,4.02e-06,3,0,3,2,3
3,10,.2794254,-.1146694,.0068785,-.0012292,-.6676794,1.42e-14,.0134515,.481187,.0550011,.7040375,3,2,0,1,0
1,20,.1705071,.1132602,.0200074,-.0005325,-1.74623,.0000341,.2043795,.07264,.127361,.0578993,3,0,1,0,1
2,20,.2885683,.1122395,-.0408324,-.0042282,-5.663322,9.47e-34,.1366874,1.69e-07,.0000165,2.86e-07,3,0,3,3,3
3,20,.2711931,-.0846585,.0056949,-.0004838,.1007546,3.59e-24,.0019208,.3644975,.2416514,.9371209,3,3,0,0,0
1,30,.1112726,.1186983,.0256529,-.0002821,-.8884438,.0003705,.0730704,.0021833,.2543397,.1896239,3,1,3,0,0
2,30,.2357193,.1059429,-.0279767,-.0049364,-2.06964,3.66e-28,.2340843,.0001578,2.17e-06,.0192057,3,0,3,3,2
3,30,.2452731,-.1025897,.0099506,-.0003044,.3796838,8.41e-28,.0001635,.0670325,.2996478,.6468406,3,3,1,0,0
1,60,.0293889,.0846065,.0369156,-.0006578,-.0540427,.1608563,.0843788,4.95e-10,.0000733,.8989707,0,1,3,3,0
2,60,.16523,-.0035709,-.008509,-.0027282,-1.494383,4.13e-18,.971218,.1721668,.0011562,.0196324,3,0,0,3,2
3,60,.1901078,-.0667322,.0094777,.0001454,.7044607,1.47e-25,.0113526,.0439164,.4262364,.2007581,3,2,2,0,0
1,90,-.0124203,.0205599,.0433417,-.0007738,-.5680822,.3727631,.592925,5.53e-22,1.53e-10,.1038289,0,0,3,3,0
2,90,.120179,.0654093,-.003635,-.0024218,-1.51502,1.47e-17,.518655,.458227,.0006231,.000833,3,0,0,3,3
3,90,.1536594,-.0743398,.0116937,.0001915,.0031288,9.53e-27,.0104328,.0021017,.1712915,.9937331,3,2,3,0,0
1,120,-.0457657,-.0776471,.0505037,-.0007219,-1.018575,.0000199,.0427332,4.97e-36,1.28e-12,.0049712,3,2,3,3,3
2,120,.0933542,.1862248,-.004783,-.0018846,-1.897811,1.12e-13,.0933119,.2830295,.0034887,7.41e-10,3,1,0,3,3
3,120,.1224621,-.1058429,.0169523,.0002106,-.522429,3.06e-25,.000421,4.64e-07,.0576786,.2539584,3,3,3,1,0
1,150,-.0602527,-.1819209,.0542096,-.0006285,-.8660201,2.46e-09,.0000112,0,7.97e-13,.0051934,3,3,3,3,3
2,150,.0618538,.4242274,-.008479,-.001489,-1.788039,6.50e-06,.0008238,.0809486,.0211932,.0000132,3,3,1,2,3
3,150,.1009297,-.1049409,.0183207,.000191,-.468987,2.72e-21,.0003859,1.14e-09,.0591373,.224425,3,3,3,1,0
1,180,-.054483,-.2799399,.0540847,-.0005582,-.8521336,7.17e-08,6.92e-10,0,1.82e-12,.0035353,3,3,3,3,3
2,180,.0465008,.5972884,-.0132633,-.001295,-1.567562,.0002158,1.31e-06,.0242022,.0265304,.0000402,3,3,2,2,3
3,180,.0918399,-.1111039,.0169059,.000212,-.2784338,1.94e-17,.0004398,2.95e-09,.0192845,.4164506,3,3,3,2,0
