gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,.0320724,-.0860629,.0033956,-.0001015,.4993341,.7737162,.2007798,.6343444,.859201,.7626262,0,0,0,0,0
2,10,.0488829,-.0902166,.0172624,-.0013427,-4.622503,.6973693,.2606324,.0833758,.4216364,.159264,0,0,1,0,0
3,10,-.0112607,-.0156013,.001694,.000132,-.1059083,.9201245,.650012,.7648449,.8904887,.9280413,0,0,0,0,0
1,20,.0672488,-.0429778,.0026317,.0000167,-.0052853,.6714266,.3774771,.5388874,.9622266,.9958072,0,0,0,0,0
2,20,.1486837,-.0965903,.0101757,.0000184,-1.854278,.1758392,.1487844,.1031177,.9841413,.3474228,0,0,0,0,0
3,20,.1883741,-.0023214,.0012967,.0001419,-.3636906,.0819469,.9338101,.6893865,.8220317,.5010528,1,0,0,0,0
1,30,.0709382,-.0309772,.0023048,4.15e-06,-.0975794,.6434432,.4390677,.3995835,.9858379,.887286,0,0,0,0,0
2,30,.1825068,-.0809373,.0084377,-.0002974,-1.408237,.1239562,.1610196,.0537446,.5827639,.2672875,0,0,1,0,0
3,30,.1990221,.0009521,.0013613,-.000041,-.3396113,.1954143,.9732901,.6449154,.9271373,.5203752,0,0,0,0,0
1,60,-.1223617,-.0019928,-.0008326,-.0000201,.2458042,.5578241,.9321277,.5837476,.8667942,.4185435,0,0,0,0,0
2,60,.006455,-.0400494,.0033688,-.000292,-.385228,.9576136,.3170473,.2322078,.314754,.6373515,0,0,0,0,0
3,60,.2272163,.0032672,.0002795,3.39e-06,-.1408673,.0272025,.8887221,.894407,.9863569,.6154215,2,0,0,0,0
1,90,-.1014188,-.0009863,-.000221,-.0000199,.0847901,.6334659,.9574398,.8418182,.8123404,.6983653,0,0,0,0,0
2,90,.0342844,-.0377219,.0031565,-.0002697,-.3678274,.7994803,.3519312,.2740263,.2268002,.5533065,0,0,0,0,0
3,90,.1523786,-.0101064,.000996,-.0000654,-.0107173,.1774734,.5735278,.4613975,.5611694,.9358315,0,0,0,0,0
1,120,-.172916,.0003374,.0000116,-7.93e-06,.0077417,.434699,.983916,.9893479,.9115561,.9661306,0,0,0,0,0
2,120,-.0367023,-.0133815,.0015188,-.0001682,-.3036996,.8182135,.7478517,.5714501,.3427364,.5089355,0,0,0,0,0
3,120,.0074753,.0071096,-.0003745,.0000223,-.0359135,.9721231,.7392301,.8075387,.8397,.862954,0,0,0,0,0
1,150,-.0966412,.0059848,-.000123,-.0000149,-.017054,.6415925,.7046021,.8672357,.825045,.919682,0,0,0,0,0
2,150,-.0057214,.0011758,.0002674,-.0001108,-.1283747,.97104,.9792638,.9222181,.4390456,.738893,0,0,0,0,0
3,150,.0397729,.0125115,-.0006051,.0000227,-.0525994,.7115127,.4521256,.5649456,.7848166,.7005998,0,0,0,0,0
1,180,-.1223105,.0100058,-.0002509,-6.23e-06,-.0284913,.5541481,.4844667,.7016244,.9251322,.8521628,0,0,0,0,0
2,180,.1794688,-.0135731,.000918,-.0000795,-.1083288,.3056645,.7650881,.7211919,.519519,.7446551,0,0,0,0,0
3,180,-.1178583,-.0046308,.000295,9.16e-06,-.005562,.3923647,.7829778,.766961,.9230353,.9629836,0,0,0,0,0
