gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,.1322434,-.0092911,.0570163,.0000629,-41.13977,.1592562,.9639266,.0000776,.848523,.0001745,0,0,3,0,3
2,10,.1361956,-.6572842,.0242527,-.005969,67.13468,.3606489,.1543345,.7270562,.0472044,.5509604,0,0,0,2,0
3,10,-.1538037,-.0295459,.096967,-.0005141,-13.88805,.0070233,.4986924,3.72e-07,.5648307,.1132493,3,0,3,0,0
1,20,.0421499,.1018113,.0603293,8.08e-06,-32.35843,.2737077,.3552316,3.34e-08,.978852,.0001989,0,0,3,0,3
2,20,.1717021,-.6922142,.0128878,-.0035439,96.07466,.231418,.0822538,.8460639,.1183286,.2996034,0,1,0,0,0
3,20,-.1040595,-.0408251,.090226,-.001065,-15.34985,.1019807,.4241622,.0000334,.181492,.0643181,0,0,3,0,1
1,30,.0323925,-.050666,.0621663,-.0000563,-24.49185,.2692381,.6163204,2.21e-10,.8376657,.0000848,0,0,3,0,3
2,30,.2403975,-.1732581,-.0265228,-.0048956,67.28323,.0120475,.6501787,.5749629,.0019031,.3828093,2,0,0,3,0
3,30,-.0109006,-.0127365,.0681886,-.0012149,-17.92541,.8625124,.8325627,.0010516,.0727245,.011924,0,0,3,1,2
1,60,.0428613,-.006587,.0390767,-.0000817,-6.672497,.0242071,.9236222,4.21e-09,.5792736,.0072167,2,0,3,0,3
2,60,.2071758,-.5266849,-.0002293,-.0018301,-4.550728,1.71e-06,.1863549,.9928132,.0546798,.8562115,3,0,0,1,0
3,60,.2054621,.096471,-.0124141,-.0002408,-4.284443,9.97e-09,.0163854,.2776724,.3947462,.2355191,3,2,0,0,0
1,90,.0061832,.0158292,.0375181,-.0001375,-.7778026,.6092358,.7562029,1.65e-15,.1120981,.5703349,0,0,3,0,0
2,90,.1668955,-.0485567,-.0191865,-.0003682,-10.15789,4.29e-13,.7772038,.0802775,.2778621,.4328483,3,0,1,0,0
3,90,.1417482,.0098396,.0027613,-.0004042,-1.303223,7.66e-09,.7922618,.7096356,.0100369,.5350581,3,0,0,2,0
1,120,.0067566,-.0612247,.0340474,-.0001469,2.360726,.2164317,.1727208,1.57e-24,.001009,.0544998,0,0,3,3,1
2,120,.1209161,.3474167,-.0330699,-.0000996,.3487131,1.10e-13,.0128332,3.12e-06,.6535006,.9703339,3,2,3,0,0
3,120,.1398701,-.0317164,-.0016506,-.0002462,.4317418,2.39e-09,.3156911,.7922111,.0527018,.7731541,3,0,0,1,0
1,150,.0012861,-.2004557,.0375462,-.0001233,3.44868,.7166525,.00003,1.62e-31,.0009583,.0019247,0,3,3,3,3
2,150,.0879215,.496058,-.0322035,.0002718,-3.462388,2.48e-08,.0012749,.0004368,.275304,.7983066,3,3,3,0,0
3,150,.1275725,-.0532538,-.00268,-.0001746,.7270719,5.55e-08,.050567,.660016,.0916507,.5933059,3,1,0,1,0
1,180,.0018747,-.2962851,.0383197,-.0000968,3.789199,.5232306,4.25e-08,1.16e-32,.0084781,.0017565,0,3,3,3,3
2,180,.094742,.4917968,-.0334522,.0001636,-18.6057,7.95e-09,.0040128,.0016819,.4353624,.2374007,3,3,3,0,0
3,180,.0528313,-.0686837,.0148137,-.0001813,-.4962876,.0093327,.0218433,.0066245,.0736022,.6951666,3,2,3,1,0
