gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,-.0603881,-.1469022,.0132303,.0000879,-8.069372,.7144754,.2306509,.122902,.7772681,.3958116,0,0,0,0,0
2,10,1.615392,-.6143307,.0438476,-.0000367,-6.72962,.0473207,.2841479,.2708719,.9789961,.8837693,2,0,0,0,0
3,10,-.4019088,-.0810815,.007632,-.0002026,-2.148436,.0519359,.2020213,.3226307,.7934912,.6223569,1,0,0,0,0
1,20,-.1432305,-.168478,.0128653,.0000496,-5.389195,.5479477,.139502,.084347,.8486053,.4035087,0,0,1,0,0
2,20,1.096999,-.3505464,.0213794,-.0001309,4.167221,.2975873,.4465939,.5571362,.8976583,.8984972,0,0,0,0,0
3,20,-.3195706,-.0511786,.0079826,.0001862,-8.554948,.3010572,.2881669,.149254,.7472922,.0002203,0,0,0,0,3
1,30,-.231223,-.1285323,.0118512,.0001225,-7.052501,.5148302,.1071546,.066528,.5214098,.3375805,0,0,1,0,0
2,30,.5667167,-.2553959,.0093246,-.0000239,21.33934,.6352011,.5544946,.7912672,.9673461,.4159915,0,0,0,0,0
3,30,-.1942628,-.0305825,.0036333,.0001322,-1.430925,.60595,.5771765,.4911867,.7557302,.5331357,0,0,0,0,0
1,60,.7466671,-.0667629,.0066668,.0000596,-4.770138,.3835316,.1789692,.1417318,.6007903,.3619032,0,0,0,0,0
2,60,-.551707,-.3646458,.0191775,.0000129,2.466315,.5230787,.0851094,.1294115,.968502,.7558728,0,1,0,0,0
3,60,-.3379282,.0140238,-.0016762,-.0000866,1.080496,.048033,.6558731,.5190824,.6337709,.3805353,2,0,0,0,0
1,90,.7799932,.0188958,.0011635,.0000634,-2.843141,.3820726,.609406,.6895242,.4184632,.4050122,0,0,0,0,0
2,90,-.8190334,-.1685059,.0082958,6.18e-06,.8286657,.2847401,.3683645,.431103,.9745967,.883162,0,0,0,0,0
3,90,-.7531103,-.0126259,.0010488,-.0000482,-.4398449,.3365636,.7561198,.6950189,.8053892,.7140796,0,0,0,0,0
1,120,.6694081,.0344971,-.0006467,.000011,-1.333122,.3684457,.3370022,.7410631,.841316,.5162453,0,0,0,0,0
2,120,-.39696,-.1220504,.0044786,8.30e-06,5.628118,.4863548,.532227,.6642383,.9550704,.2053578,0,0,0,0,0
3,120,-.0204802,.0009511,.0003851,.0000495,-.7457795,.9199163,.9689587,.826041,.582349,.3929665,0,0,0,0,0
1,150,-.0906622,.0226591,-.0007347,.0000246,-.0914704,.7112662,.4743743,.6613868,.5602425,.9190766,0,0,0,0,0
2,150,.127323,.0098449,-.0027758,-.0000599,7.333206,.7799654,.9682669,.8244895,.6362064,.2149827,0,0,0,0,0
3,150,.1216618,.0357673,-.0017273,.0000421,-.9844743,.6325006,.1784861,.3416736,.6797383,.1028418,0,0,0,0,0
1,180,-.4097932,.0061611,-.0000738,.0000353,.032696,.0127703,.8472921,.9600672,.3527594,.9616956,2,0,0,0,0
2,180,.0429557,-.0026288,-.0018707,-.0000731,6.963902,.9105447,.9922963,.886774,.5258633,.3311194,0,0,0,0,0
3,180,-.3606396,.0079579,-.000186,.0000329,-.4630891,.3448975,.7451341,.9033046,.7257561,.2204119,0,0,0,0,0
