gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,.0688065,.0924277,.0529972,-.000751,-5.775562,.1800652,.3697188,4.69e-06,.3082628,.0011581,0,0,3,0,3
2,10,.2770712,.0516306,-.0014497,-.0060177,-2.819382,7.26e-10,.7435753,.9198207,.0001233,.3088607,3,0,0,3,0
3,10,.0228213,-.0991961,.0597677,-.0020697,-4.142796,.7862124,.0166317,.0003368,.0677232,.1353077,0,2,3,1,0
1,20,.1072566,.1065611,.0400097,-.0008016,-6.501878,.0129587,.2292261,.0000605,.1339944,.0000281,2,0,3,0,3
2,20,.2286536,-.1523737,.0248351,-.0062491,-7.579049,3.14e-19,.152926,.0059995,2.96e-08,.0050139,3,0,3,3,3
3,20,-.0614506,-.0583752,.0747856,-.0010411,-11.20971,.3660052,.2058247,3.36e-07,.1297376,.0010191,0,0,3,0,3
1,30,.1422643,.0707758,.0291172,-.0011156,-6.095555,.0000208,.3419352,.0001706,.0147681,2.12e-06,3,0,3,2,3
2,30,.1685745,-.0652222,.029482,-.006832,-6.387933,1.59e-14,.5311278,.0003084,4.16e-11,.0056245,3,0,3,3,3
3,30,.0241283,.0377223,.0503489,-.0005712,-11.66294,.6894832,.4983785,.0004404,.2301712,.0002231,0,0,3,0,3
1,60,.0996139,-.0426977,.0272588,-.0007656,-2.880312,.0000744,.4786139,4.40e-06,.019833,.0006878,3,0,3,2,3
2,60,.2200167,-.1697551,.0019335,-.0029268,-4.168859,2.61e-20,.109092,.742534,6.01e-07,.0003677,3,0,0,3,3
3,60,.435735,.1592532,-.0488749,-.0002878,-7.709644,1.57e-21,.0001653,2.77e-07,.2142638,.0000281,3,3,3,0,3
1,90,-.0556843,-.3395709,.0551207,-.0002851,-1.900578,.0046029,1.72e-07,1.75e-21,.3130369,.0004565,3,3,3,0,3
2,90,.2347546,-.3404876,-.0061348,-.000611,-2.113457,1.59e-31,.0020846,.2292024,.1304691,3.55e-06,3,3,0,0,3
3,90,.3517593,.074165,-.0388875,-.0001073,-4.445407,1.19e-19,.0644616,1.18e-06,.568979,.0000143,3,1,3,0,3
1,120,-.0882891,-.5824994,.0641019,-.0000846,-1.643187,3.33e-06,1.26e-12,3.12e-26,.7407949,.0012456,3,3,3,0,3
2,120,.1887309,-.0864041,-.0141617,-.0002361,-2.192172,5.34e-24,.4731642,.0103486,.5617312,7.84e-08,3,0,2,0,3
3,120,.3487974,.0368695,-.0413391,-.0000793,-4.308347,3.68e-19,.396668,2.02e-08,.6516985,.0000159,3,0,3,0,3
1,150,-.1106924,-.851379,.0735627,.000016,-1.490614,1.01e-08,1.19e-18,3.95e-31,.9448873,.0018223,3,3,3,0,3
2,150,.1968175,.0568111,-.0294248,-.0003937,-1.9091,9.41e-21,.6210098,3.09e-07,.2872817,5.14e-06,3,0,3,0,3
3,150,.3650012,.0114435,-.0487038,.0000241,-3.252759,4.84e-22,.8203693,3.55e-11,.8890364,.0000797,3,0,3,0,3
1,180,-.1319361,-1.07077,.0804928,.0000948,-1.491175,1.17e-10,3.35e-24,2.22e-35,.6578426,.0004289,3,3,3,0,3
2,180,.1693439,.5302424,-.0507962,-.0002397,-1.362576,1.17e-19,.0000118,3.16e-12,.4886141,.0001412,3,3,3,0,3
3,180,.3103593,.0088305,-.0434364,.0000212,-2.572328,8.86e-16,.8731682,5.25e-08,.8989049,.0001914,3,0,3,0,3
