gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,.1620144,-.2878031,.0725135,-.0003966,-5.08179,.0013031,.0220224,9.30e-08,.3742755,.0045638,3,2,3,0,3
2,10,.2884731,.0473311,-.0182264,.0008857,-6.070509,5.88e-07,.7630789,.2788872,.3198956,.0086167,3,0,0,0,3
3,10,.0171599,-.0105977,.0827453,-.0029043,-10.18795,.6827424,.7492056,1.51e-11,5.44e-06,.0000211,0,0,3,3,3
1,20,.1307396,-.2034022,.061976,.0001443,-5.288255,.0001953,.0496051,8.04e-09,.6494477,2.89e-06,3,2,3,0,3
2,20,.2027068,.1071812,-.0081607,.0007942,-4.66598,5.09e-12,.3291712,.387884,.1897258,.0011984,3,0,0,0,3
3,20,.0780586,.0071847,.0616928,-.0017173,-8.788083,.0068673,.8275708,1.16e-10,.0001202,8.63e-09,3,0,3,3,3
1,30,.0867288,-.1969882,.0598496,.0002217,-4.201408,.0025906,.0512591,1.64e-09,.4087709,.0001139,3,1,3,0,3
2,30,.1645358,.2175018,-.0061557,.0009908,-3.01156,2.16e-15,.0413826,.5128744,.071431,.0058315,3,2,0,1,3
3,30,.1196661,.0309896,.0354337,-.0011681,-5.533523,.0000186,.4578622,.000069,.0004294,1.13e-07,3,0,3,3,3
1,60,.013284,-.2772668,.0629498,.0000193,-3.167944,.3782205,6.12e-08,1.18e-31,.8901163,4.76e-08,0,3,3,0,3
2,60,.1625885,.0758904,-.0112119,.0001816,-1.026706,1.62e-14,.5616713,.1098978,.6575447,.0784452,3,0,0,0,1
3,60,.107799,.0049369,.0251737,-.0010327,-1.666472,2.03e-09,.8609639,.0000195,2.00e-06,.0293606,3,0,3,3,2
1,90,-.0244922,-.3684843,.0625047,-.0000477,-1.94391,.0282943,3.17e-15,0,.6444005,1.15e-06,2,3,3,0,3
2,90,.1579941,-.0035649,-.0175261,-.0004945,-.308047,2.70e-16,.9778294,.0014705,.1520812,.3609864,3,0,3,0,0
3,90,.0570851,-.0486545,.0294834,-.0012059,-.3179536,.0000749,.1417793,2.89e-08,1.92e-10,.5809367,3,0,3,3,0
1,120,-.0457651,-.4170547,.062274,.0000692,-1.560761,5.40e-06,7.68e-16,0,.3968194,1.70e-06,3,3,3,0,3
2,120,.1381655,.2499756,-.0278176,-.0001274,-.1554267,1.33e-17,.0857106,3.05e-06,.6002487,.472506,3,1,3,0,0
3,120,.0378901,-.0483781,.0284122,-.0012107,-.1240156,.004045,.1932074,2.91e-08,6.12e-12,.8200483,3,0,3,3,0
1,150,-.0532116,-.4725048,.0614778,.0001171,-1.370427,2.00e-07,2.35e-15,0,.115958,2.91e-06,3,3,3,0,3
2,150,.1289899,.4543993,-.0369449,-.0001516,-.5534654,9.63e-19,.00054,7.56e-10,.4914179,.0042897,3,3,3,0,3
3,150,.0346719,-.0239105,.0231014,-.0011144,.1119917,.0087557,.541446,1.27e-06,2.89e-11,.8259106,3,0,3,3,0
1,180,-.059809,-.46815,.0585882,.0000888,-1.247499,3.40e-08,3.40e-14,0,.1873908,3.82e-06,3,3,3,0,3
2,180,.1088148,.797587,-.0492562,-.0000812,-.4084392,3.31e-14,8.97e-10,6.99e-12,.7056603,.0230552,3,3,3,0,2
3,180,.0337923,.0109605,.0168384,-.0010313,.3749621,.015685,.7917606,.0002427,1.68e-10,.448063,2,0,3,3,0
