gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,.3184803,-.1634738,.0522841,.0010503,39.45476,.0892689,.2770627,.0107501,.0713436,.3398827,1,0,2,1,0
2,10,.2797043,.4068154,.0426086,-.0000829,141.7622,.0000901,.0019433,.0008072,.7467316,.0439086,3,3,3,0,2
3,10,.0976546,.4447684,.0532495,.0001989,11.57975,.0118403,.0001087,1.53e-08,.2161463,.8068033,2,3,3,0,0
1,20,.2630625,-.1696818,.0611876,.0011775,29.53872,.0693565,.3264202,.0039367,.0847277,.5464537,1,0,3,1,0
2,20,.2179408,.4174187,.0464879,-.0002124,161.5152,.0009889,.0032766,.0003845,.4069196,.0262352,3,3,3,0,2
3,20,.0370127,.4477208,.0600404,.0001404,19.41968,.3276104,.0000559,1.27e-10,.3560181,.6778557,0,3,3,0,0
1,30,.1825418,-.2596315,.0780878,.0010316,23.05564,.1167762,.2801223,.0006888,.1295907,.6519015,0,0,3,0,0
2,30,.1999594,.4161416,.0486774,-.0001989,132.0913,.0000125,.0034479,.0000158,.3924425,.038798,3,3,3,0,2
3,30,-.0324284,.4624897,.0666421,.0000862,24.69539,.3739945,.0000126,1.46e-13,.5477076,.5849724,0,3,3,0,0
1,60,.0974192,-.5025392,.0969681,.0010089,26.25025,.2401781,.5095792,.0102917,.1597265,.5496622,0,0,2,0,0
2,60,.1472314,.3548484,.0566692,-.0001594,88.64656,8.93e-09,.1376957,2.65e-07,.3204169,.0262789,3,0,3,0,2
3,60,-.1184482,.7226813,.0574519,5.26e-06,28.69166,.0000528,1.46e-09,2.36e-12,.9630148,.3947101,3,3,3,0,0
1,90,.0003931,.4700597,.0564383,.0011613,30.54071,.9970607,.6969154,.2285197,.1126273,.495319,0,0,0,0,0
2,90,.0897549,.5320507,.055948,.0000694,57.23239,.0000399,.0291021,4.40e-09,.5995401,.0601979,3,2,3,0,1
3,90,-.2059568,.8044603,.0635925,-.0000403,37.97791,7.76e-14,6.07e-11,4.01e-18,.6682381,.1410035,3,3,3,0,0
1,120,-.0920269,1.684711,.0109737,.0012898,47.41199,.5218559,.3840491,.8788858,.0810773,.3024778,0,0,0,1,0
2,120,.1296185,-.1326068,.0761358,-5.60e-06,27.05488,1.77e-07,.632654,2.70e-14,.9646268,.2648003,3,0,3,0,0
3,120,-.2821461,.7222738,.0781723,-.0001436,41.06844,1.03e-22,4.46e-09,3.29e-28,.0762042,.0505211,3,3,3,1,1
1,150,.0506867,2.625255,-.0381068,.0016534,44.95087,.7359474,.2699435,.6581414,.0157295,.3440853,0,0,0,2,0
2,150,.1487756,-.2814676,.075708,.0000263,7.994063,6.18e-08,.3237091,3.61e-16,.831666,.699271,3,0,3,0,0
3,150,-.3172479,.471955,.0955261,-.0001298,31.6585,1.89e-27,.0000315,0,.052395,.06069,3,3,3,1,1
1,180,.144821,1.335353,.0064471,.0016802,34.09977,.2325388,.5449818,.9281864,.0044861,.4260059,0,0,0,3,0
2,180,.1229187,-.0717139,.0685184,.0000758,9.289352,.0003781,.833906,2.55e-14,.5668491,.7138484,3,0,3,0,0
3,180,-.3463728,.2752241,.1072761,-.0001657,25.00459,2.93e-33,.004127,0,.002645,.0773709,3,3,3,3,1
