gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,.3490193,-.4455503,.0630998,-.0018336,-4.14709,1.02e-06,.0002586,.0000111,.0039579,.0123536,3,3,3,3,2
2,10,.2041341,.2380574,-.0136108,-.0045902,-.0725323,2.26e-10,.1595051,.3010562,.0012371,.9749196,3,0,0,3,0
3,10,.3829281,.0022387,.0049222,.0010913,-3.990574,2.14e-12,.9745787,.6877723,.046277,.0663359,3,0,0,2,1
1,20,.3191079,-.2944793,.0403651,-.0019208,-2.356798,2.86e-09,.0018395,.0002271,.0001315,.0497073,3,3,3,3,2
2,20,.1864158,.2159358,-.0143307,-.0030775,.4059606,1.36e-14,.0923984,.1397627,.0020862,.8007175,3,1,0,3,0
3,20,.3216111,-.0343915,.0069108,.0001343,-.6236939,5.69e-15,.5524281,.4483646,.7231099,.6061494,3,0,0,0,0
1,30,.2679453,-.2498946,.0340618,-.0014488,-2.008951,8.02e-11,.0012979,.0000366,.000383,.0147863,3,3,3,3,2
2,30,.19015,.2209454,-.011951,-.0034493,-.0150488,2.67e-19,.1052112,.1794609,.0001077,.9925494,3,0,0,3,0
3,30,.3309972,-.0598215,.0025813,.0004826,-.3909513,3.12e-18,.2194735,.7542353,.1021546,.6385486,3,0,0,0,0
1,60,.159317,-.3819165,.0404351,-.0007104,.2274127,4.85e-09,1.17e-09,4.86e-12,.0017382,.5632696,3,3,3,3,0
2,60,.1705295,.3330652,-.0220118,-.0019952,.4088418,4.30e-22,.0007104,.0000847,.0012633,.6647106,3,3,3,3,0
3,60,.3142015,-.1051601,-.0043053,.0002433,1.872968,9.34e-24,.0001088,.5014037,.1420318,.0000885,3,3,0,0,3
1,90,.0980267,-.4051783,.0442728,-.0004148,.1848284,8.77e-07,7.33e-13,2.96e-20,.0108348,.5234835,3,3,3,2,0
2,90,.1329443,.4961976,-.0233614,-.0018942,.0376988,6.17e-17,1.10e-06,.0000166,.0009073,.9597093,3,3,3,3,0
3,90,.3260043,-.1220069,-.0160982,.0004786,1.315446,1.27e-30,.0001015,.0029123,.000077,.0025872,3,3,3,3,3
1,120,.0766442,-.5334577,.0476648,-.0003353,.1675336,4.25e-06,3.58e-16,9.98e-26,.0118581,.5179594,3,3,3,2,0
2,120,.0849497,.7798487,-.0320099,-.0012178,1.095701,8.60e-09,9.66e-10,4.08e-07,.0318573,.2347279,3,3,3,2,0
3,120,.3008287,-.1358201,-.0157764,.0006065,.9206383,3.38e-29,.0000109,.0017421,2.64e-07,.0521585,3,3,3,3,1
1,150,.0734957,-.7033393,.0505605,-.0003189,.0947238,8.15e-06,7.90e-19,6.67e-26,.0103904,.7090694,3,3,3,2,0
2,150,.0337208,.9796683,-.0359685,-.0005213,2.644026,.0173281,3.58e-11,8.76e-08,.2890161,.0079088,2,3,3,0,3
3,150,.2771893,-.1409426,-.0162141,.0007282,.978892,4.02e-23,7.78e-06,.0037658,6.26e-09,.0199538,3,3,3,3,2
1,180,.0847605,-.8655836,.0506418,-.0004043,.0779535,1.62e-09,1.64e-22,3.53e-27,.0002489,.7475814,3,3,3,3,0
2,180,.0204372,1.076334,-.0385772,-.0002014,2.829196,.0993173,6.18e-12,1.24e-07,.6374995,.0018793,1,3,3,0,3
3,180,.2275962,-.176183,-.0068657,.0006397,.4519748,6.14e-16,2.65e-06,.2191934,7.09e-07,.2241601,3,3,0,3,0
