gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,.2303357,-.102256,.0627525,-.0003174,-20.94143,.0007225,.3951559,.0000118,.3243016,.0225536,3,0,3,0,2
2,10,.2746643,-.1265435,-.0128046,-.0010381,139.6501,.0000267,.4816992,.6664954,.4588116,.1141906,3,0,0,0,0
3,10,.0524297,.0113541,.1267306,-.0029063,-136.7737,.5095248,.8097973,2.71e-08,.0002673,.0107634,0,0,3,3,2
1,20,.138497,-.1563761,.0552843,-.0004802,-7.346963,.0016146,.1008303,1.69e-08,.0467927,.206627,3,0,3,2,0
2,20,.2207602,-.0922252,-.0171117,-.0013966,152.2453,7.80e-06,.5486892,.4232492,.1809357,.0114248,3,0,0,0,2
3,20,.0109324,.0213478,.0966415,-.0019579,-62.65674,.874346,.6673186,8.12e-07,.0003408,.0772392,0,0,3,3,1
1,30,.1493342,-.1109907,.0369631,-.0002415,-5.201098,.0002172,.1514223,.0000147,.2306873,.2475235,3,0,3,0,0
2,30,.1571338,-.030242,-.0093473,-.0006352,131.8735,1.68e-06,.8484452,.5697322,.3737065,.0016408,3,0,0,0,3
3,30,.1322459,.0616932,.0449992,-.0010826,-14.54291,.0041569,.1795912,.0015556,.002681,.5266788,3,0,3,3,0
1,60,.1304249,-.0949634,.0251867,.0001978,.7319632,1.68e-06,.0948381,.0000257,.0676692,.6653214,3,1,3,1,0
2,60,.1405805,-.0763235,.0088862,-.0016781,70.57851,7.88e-12,.6723419,.517395,.0022728,.0062543,3,0,0,3,3
3,60,.2071017,.0354245,.013763,.0000431,.28315,3.73e-11,.3543534,.0800195,.8013061,.9807339,3,0,1,0,0
1,90,.0734287,-.1943741,.0308351,.000386,3.04315,.0001918,.0000464,2.01e-10,3.92e-06,.0488255,3,3,3,3,2
2,90,.1376999,-.0465295,.0020637,-.0022026,66.98522,1.79e-10,.803447,.8688975,.0000344,.0015602,3,0,0,3,3
3,90,.2643067,-.0007691,-.0047879,.0002929,-8.295716,2.19e-10,.984464,.6049911,.0434886,.3538796,3,0,0,2,0
1,120,.0368946,-.3006485,.0354865,.0003827,4.517514,.0315322,9.46e-10,1.20e-14,1.02e-07,.0050707,2,3,3,3,3
2,120,.1224999,.24741,-.0189608,-.0018465,78.90618,9.59e-10,.1723071,.1298719,.0003191,.0001019,3,0,0,3,3
3,120,.3030001,-.0111616,-.0221589,.0003906,-1.590076,6.83e-13,.7854597,.0165276,.0016744,.8288906,3,0,2,3,0
1,150,.004115,-.4120922,.0414979,.0003847,5.654164,.8036044,5.73e-13,2.71e-18,9.15e-09,.0009107,0,3,3,3,3
2,150,.1081668,.5293842,-.0337318,-.0015947,76.22934,1.91e-06,.0016448,.0138524,.0008361,.000228,3,3,2,3,3
3,150,.178062,-.0569151,.0007387,.0003647,8.073059,.0000135,.1997981,.9388446,.0018563,.2533581,3,0,0,3,0
1,180,-.004702,-.4953902,.0425961,.0003863,5.673432,.7576144,9.15e-16,1.80e-20,3.41e-10,.0002933,0,3,3,3,3
2,180,.1276594,.8839224,-.0583507,-.0015977,67.50534,1.79e-07,2.80e-06,.000381,.0004629,.0007495,3,3,3,3,3
3,180,.0837249,-.0861007,.0159078,.0003604,17.71165,.0732791,.0476103,.14807,.0007527,.0094873,1,2,0,3,3
