gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,.2162503,-.0662664,.0720567,-.0002537,-28.31742,3.80e-06,.5604659,2.18e-08,.5222642,4.93e-09,3,0,3,0,3
2,10,.2224749,.0246021,.0271948,-.0011104,-45.23174,1.30e-06,.8527837,.0924525,.256584,.0010585,3,0,1,0,3
3,10,.0967532,.0654901,.0644024,-.0001293,-19.59588,.1126345,.173448,.0000517,.8527984,.0005266,0,0,3,0,3
1,20,.1958017,.0368916,.0452939,-.0000398,-23.92569,1.47e-06,.6836472,.0000188,.8861117,3.02e-11,3,0,3,0,3
2,20,.1876889,.0407279,.0284281,-.0015919,-38.91107,4.52e-16,.7228062,.0009643,.0149941,.0000277,3,0,3,2,3
3,20,.2190406,.09195,.0254684,-.0008518,-16.67953,4.79e-07,.0424226,.0355197,.0828151,.000078,3,2,2,1,3
1,30,.1641588,.0380476,.037335,-.0001658,-19.33657,4.54e-08,.6117463,1.91e-06,.4434211,2.92e-08,3,0,3,0,3
2,30,.1452712,.1504674,.0241724,-.0022508,-23.95527,1.67e-09,.2458624,.0042163,.0003006,.0002729,3,0,3,3,3
3,30,.2040358,.0909003,.0206545,-.0010351,-11.29349,5.06e-07,.0187686,.0787182,.0060773,.0013777,3,2,1,3,3
1,60,.1610773,.0234517,.0174656,-.0003046,-6.860384,1.66e-18,.6188926,.0000443,.0104347,3.54e-08,3,0,3,2,3
2,60,.160918,.0037457,.0034557,-.0016651,-4.571361,4.50e-30,.9659297,.4965647,4.92e-07,.1044421,3,0,0,3,0
3,60,.3620925,.058911,-.0344458,-.0008236,-4.001237,1.90e-26,.0215239,.0000112,.0000521,.1343817,3,2,3,3,0
1,90,.1290877,-.0610857,.0170974,-.0002771,-2.602854,3.06e-21,.1136194,9.29e-08,.0018334,.001851,3,0,3,3,3
2,90,.1458781,-.0043947,-.0026133,-.0008209,1.876651,5.91e-24,.9647266,.6207072,.0069739,.377672,3,0,0,3,0
3,90,.2614606,-.0103198,-.0183936,-.0005121,-.09405,1.40e-23,.6915057,.0033863,.0008525,.9640355,3,0,3,3,0
1,120,.1152034,-.1739938,.0185399,-.0002236,-1.112494,3.04e-19,.0000649,1.41e-08,.0055299,.1133262,3,3,3,3,0
2,120,.1064933,.3677942,-.0129671,-.0010618,.5527306,1.20e-17,.0029625,.025958,.0015723,.8320346,3,3,2,3,0
3,120,.241915,-.0546667,-.0173918,-.0004557,.1168071,2.64e-23,.0838931,.0041909,.0025597,.9540227,3,1,3,3,0
1,150,.1145712,-.3776395,.0220627,-.0001259,-.0980064,3.27e-20,3.31e-12,8.03e-10,.0741434,.8844976,3,3,3,1,0
2,150,.0924846,.6742578,-.027494,-.0010272,-.5091289,1.28e-18,1.20e-07,8.22e-06,.0000276,.8244985,3,3,3,3,0
3,150,.2797083,-.0714581,-.0313218,-.000333,.7004465,9.76e-26,.0295963,7.54e-07,.0137438,.7176025,3,2,3,2,0
1,180,.1145501,-.5103961,.023275,-.0000866,-.1144609,3.28e-23,5.49e-18,2.42e-12,.143375,.8501873,3,3,3,0,0
2,180,.0844368,1.056102,-.048121,-.0008483,2.129724,3.24e-18,4.27e-15,1.15e-11,.0000386,.3201024,3,3,3,3,0
3,180,.2539136,-.1031415,-.0286503,-.0002242,1.465635,2.72e-19,.0056613,.000015,.046856,.3837499,3,3,3,2,0
