gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,.1849101,-.211414,.0647293,-.0022842,-.9554985,.0001859,.0592946,.0000133,2.57e-08,.2207844,3,1,3,3,0
2,10,.4187223,.209963,-.0085092,-.0001516,-3.412554,8.23e-14,.0715349,.5242243,.916131,.0000745,3,1,0,0,3
3,10,.2065068,-.0423115,.0290244,.0036515,.5858698,3.06e-07,.318231,.0110338,.0003814,.4765379,3,0,2,3,0
1,20,.1663864,-.1979848,.0541136,-.0021502,-1.143922,9.49e-08,.0204996,3.01e-07,1.14e-12,.0255011,3,2,3,3,2
2,20,.3278966,.1627105,.0065004,-.0007752,-2.508888,9.69e-17,.0620259,.4529718,.4199363,4.73e-06,3,1,0,0,3
3,20,.16805,-.0339218,.0476524,.0013236,.0658344,2.97e-08,.3346474,1.04e-07,.0414577,.8834636,3,0,3,2,0
1,30,.1640301,-.2741762,.0484157,-.0018699,-.7113693,1.08e-09,.000838,7.67e-08,3.76e-14,.0820182,3,3,3,3,1
2,30,.2173494,.2517267,.0133323,-.0012643,-1.175225,1.72e-19,.0036667,.0359756,.0902228,.0071624,3,3,2,1,3
3,30,.1542334,-.0104101,.054304,.0014439,-.3725643,8.37e-11,.7275937,1.85e-13,.0016849,.2371962,3,0,3,3,0
1,60,.0074101,-.4009609,.0689845,-.001044,-.086302,.0693585,4.52e-11,4.93e-29,4.98e-13,.7413747,1,3,3,3,0
2,60,.1691952,.338919,.0011115,-.0013214,-.626116,8.61e-18,2.71e-06,.8119788,.0043887,.0366673,3,3,0,3,2
3,60,.1025283,.0238029,.0495662,.0001428,.091413,2.94e-15,.3085038,9.83e-21,.6046494,.6029851,3,0,3,0,0
1,90,.0039368,-.5119821,.0655429,-.0007001,-.085558,.1018757,1.57e-21,0,1.88e-11,.6632097,0,3,3,3,0
2,90,.1368322,.3517945,-.0107362,-.0003386,.0867206,8.19e-20,1.34e-06,.0054374,.2875114,.7185123,3,3,3,0,0
3,90,.0873997,.0330577,.0403495,-.0000692,.2240747,1.35e-15,.1602813,3.09e-20,.74577,.0925928,3,0,3,0,1
1,120,-.0000557,-.5785703,.0620176,-.0005425,-.0997197,.9784655,2.56e-27,0,2.28e-09,.5310618,0,3,3,3,0
2,120,.1005563,.4712695,-.0172484,.0000693,.4063202,2.53e-11,9.54e-08,3.07e-06,.8373234,.0769231,3,3,3,0,1
3,120,.0678391,.0094944,.0383663,-.0000974,.2467812,3.79e-12,.6842946,4.08e-22,.6048466,.0258132,3,0,3,0,2
1,150,-.0009234,-.6097925,.0585825,-.0004306,-.0463434,.6332698,7.63e-29,0,2.43e-08,.7139665,0,3,3,3,0
2,150,.0478998,.7330751,-.0207118,-.0002425,.5747734,.0044721,7.46e-12,1.36e-07,.4868972,.0253094,3,3,3,0,2
3,150,.039171,-.0069966,.0414885,-.0002873,.2436094,2.39e-06,.7767026,8.86e-27,.0673606,.0108358,3,0,3,1,2
1,180,-.0031306,-.5813391,.0526814,-.0003497,.0767549,.1171936,6.30e-28,0,2.53e-07,.477103,0,3,3,3,0
2,180,.0311771,.8738124,-.024327,-.000201,.5741127,.0787343,1.64e-15,9.29e-07,.5616916,.0142377,1,3,3,0,2
3,180,.0209316,-.050585,.0436687,-.0003561,.2299739,.0033589,.0596531,4.40e-30,.0104572,.0050467,3,1,3,2,3
