gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,.038286,-.7553089,.0350421,.0008275,0,.8828143,.4843954,.600576,.6441898,,0,0,0,0,0
2,10,-.146743,-.5659027,.0405334,-.0002796,-1300.502,.4913219,.2234577,.2161527,.7556639,.2462807,0,0,0,0,0
3,10,.1317765,-.4333903,.0285216,-.0003936,-2001.653,.3006839,.18831,.1944644,.3542744,4.25e-16,0,0,0,0,3
1,20,-.1351593,-.9988312,.0515328,.0004865,0,.7918988,.3955747,.4968461,.7772812,,0,0,0,0,0
2,20,-.0915312,-.4549287,.0316143,-.000352,-851.6733,.757071,.2894225,.285663,.6397101,.2537925,0,0,0,0,0
3,20,.2852599,-.3897848,.025906,-.0004249,-2143.827,.1657225,.200617,.1950792,.2948588,1.77e-14,0,0,0,0,3
1,30,.3499812,-1.586251,.0935792,.0004912,0,.5087367,.2534688,.3070216,.7630604,,0,0,0,0,0
2,30,-.4927363,-.3241172,.0203219,-.0005163,-183.8957,.2838922,.4554581,.4812931,.4675602,.6326369,0,0,0,0,0
3,30,.4706901,-.2793737,.018635,-.0003968,-2187.933,.1932414,.3177299,.2933947,.2817792,2.18e-11,0,0,0,0,3
1,60,-.0484112,-.9110523,.0499518,.0003676,0,.9361105,.7659469,.7630521,.7146592,,0,0,0,0,0
2,60,-.7089667,.1631279,-.0101823,-.0001686,59.45138,.438093,.7874954,.7687693,.7380593,.8353677,0,0,0,0,0
3,60,.9551189,-.3530789,.0218246,-.0002449,-1956.901,.1266055,.2087032,.2165762,.330845,4.13e-14,0,0,0,0,3
1,90,-.2256775,-.6324479,.0333934,.0004337,0,.7053896,.763078,.7251588,.5462942,,0,0,0,0,0
2,90,-.0677714,.3059817,-.014985,.0000267,-89.0443,.9447274,.6262859,.6321315,.9459271,.6772622,0,0,0,0,0
3,90,.7327927,-.3826136,.0215963,-.0000748,-1285.25,.234532,.1924244,.1834992,.6468389,2.35e-11,0,0,0,0,3
1,120,.9843378,-.9712342,.0443995,.0004784,0,.6378555,.6507972,.6122514,.542453,,0,0,0,0,0
2,120,-.7735112,.6915734,-.0307698,.0001707,28.09643,.3019157,.1749035,.1864032,.5292355,.8424401,0,0,0,0,0
3,120,1.30614,-.468731,.0234326,-.0001114,-928.51,.002941,.0968548,.1116132,.3558088,4.82e-16,3,1,0,0,3
1,150,-1.412856,-2.162773,.091209,.0000325,0,.5194381,.3518604,.2967162,.9694259,,0,0,0,0,0
2,150,.2538208,.7188281,-.0279246,.0001765,-90.31705,.730271,.1937828,.2005345,.4602915,.5111919,0,0,0,0,0
3,150,1.14208,-.5583276,.0249904,-.0000726,-411.9009,.0003588,.0230494,.0356719,.5017412,8.50e-15,3,2,2,0,3
1,180,-1.360329,-1.485042,.0612636,.0000668,0,.3362344,.5456582,.471281,.9284102,,0,0,0,0,0
2,180,.3508312,.2409984,-.0082576,.0001428,-123.5152,.638104,.636697,.6602874,.5170516,.4521655,0,0,0,0,0
3,180,.7732428,-.4815947,.0196456,-.0000644,22.53881,.0121663,.0789488,.1061702,.5393822,.4622987,2,1,0,0,0
