gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,.0810084,-.4827735,-.0299277,.0015149,-34.34851,.000526,.0851973,.3081842,.2432067,.0000477,3,1,0,0,3
2,10,-.0158046,-.9184733,.0591892,-.0104066,-.3671926,.4737374,.0015409,.0285958,.0001148,.4291705,0,3,2,3,0
3,10,.0247251,-.615785,.0851854,-.0001429,-1.997482,.0308151,9.25e-10,3.22e-13,.8122462,3.60e-06,2,3,3,0,3
1,20,.1600427,-.4915423,-.0919349,.0025647,-32.35642,.0026407,.0726242,.0037932,.1289503,.0018141,3,1,3,0,3
2,20,-.0026011,-1.053093,.0682765,-.0078043,-.554628,.9462888,.0105875,.0008638,.0017021,.0939258,0,2,3,3,1
3,20,.0251816,-.458918,.0662284,-.0002161,-2.056803,.0029221,4.84e-12,1.45e-14,.565871,4.96e-13,3,3,3,0,3
1,30,.1366933,-.180506,-.0974428,.0001306,-25.76478,.0003579,.6368993,.0052436,.9036313,.0020343,3,0,3,0,3
2,30,.0056156,-1.171524,.0259981,.0010301,.1432943,.84816,.0033089,.6171235,.8452112,.682165,0,3,0,0,0
3,30,.0497158,-.3917087,.0408187,-.0006046,-1.886268,3.73e-09,7.62e-14,2.07e-09,.031938,9.91e-17,3,3,3,2,3
1,60,.0586451,-.8775247,-.0125935,.0009078,-12.89935,1.04e-09,.0836468,.700597,.3550914,.0010751,3,1,0,0,3
2,60,-.0232469,-3.144395,.2259533,.0053544,-.6496024,.7055382,.1927861,.110935,.2192811,.1414001,0,0,0,0,0
3,60,.069569,-.2922442,.0129445,-.0006799,-1.595334,2.89e-17,4.86e-14,.0137665,.0035615,2.82e-19,3,3,2,3,3
1,90,.0325728,-1.080436,.0106756,.0006221,-8.302235,4.83e-12,.0008443,.4913159,.2887763,.001569,3,3,0,0,3
2,90,.0355062,-1.17505,.0378906,.003037,-.3439898,.5396962,.4698348,.6260681,.3224253,.0953311,0,0,0,0,1
3,90,.0781762,-.3144289,.0011051,-.000312,-1.239317,8.13e-28,1.19e-18,.7829792,.0457317,1.44e-20,3,3,0,2,3
1,120,.021591,-.540644,-.0090261,.0007516,-6.489547,3.40e-10,.0458453,.4365062,.0552347,.0019932,3,2,0,1,3
2,120,.0143506,.0143854,-.0133433,.0000323,-.1854815,.8828451,.979822,.85998,.9752657,.0296128,0,0,0,0,2
3,120,.0710463,-.3348855,.003305,.0000517,-1.199778,1.92e-27,6.64e-17,.3706982,.7007801,1.53e-21,3,3,0,0,3
1,150,.0276261,.0455779,-.0349195,.0005798,-5.766699,1.60e-12,.8804301,.0071431,.1157749,.0017454,3,0,3,0,3
2,150,.0570375,.480113,-.0706095,-.0003291,-.1948009,.6310846,.0576217,.5050467,.5896744,.0004013,0,1,0,0,3
3,150,.0727313,-.3526256,.0010942,.0003242,-1.278585,7.85e-28,2.94e-14,.7777839,.0189009,5.40e-23,3,3,0,2,3
1,180,.037971,.4400681,-.0505457,.0000895,-4.377052,2.16e-20,.1012783,5.20e-06,.7840976,.000306,3,0,3,0,3
2,180,.0546949,.2251779,-.0516951,-.0001967,-.2342872,.0634448,.5362332,.016485,.752999,3.18e-09,1,0,2,0,3
3,180,.0698361,-.3386287,.000413,.0004457,-1.329076,2.05e-25,1.05e-09,.921847,.0019584,1.12e-19,3,3,0,3,3
