gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,.1332469,-.0221426,.0491746,-.0043711,-1.680897,6.25e-09,.8077137,4.99e-08,2.34e-10,5.72e-14,3,0,3,3,3
2,10,.2531657,.2987838,-.0372275,-.007404,-2.616109,7.60e-21,.0198487,.000435,.002969,1.56e-11,3,2,3,3,3
3,10,.1060616,-.076332,.0382009,-.0059671,-.3111025,9.32e-07,.0416704,.0000187,1.34e-08,.1095475,3,2,3,3,0
1,20,.0962,-.1003712,.0504524,-.003249,-1.330841,1.27e-12,.1154214,6.73e-16,2.02e-10,2.96e-21,3,0,3,3,3
2,20,.2102581,.2711534,-.0346244,-.0071563,-1.742831,2.22e-37,.0006116,4.15e-07,1.04e-09,4.23e-14,3,3,3,3,3
3,20,.0887341,-.0812813,.0300618,-.0051772,.0079068,7.64e-08,.0044602,.0000109,9.12e-16,.9538095,3,3,3,3,0
1,30,.0708886,-.1079619,.0487872,-.0020984,-1.100231,8.70e-12,.0343673,2.28e-21,8.63e-10,2.58e-21,3,2,3,3,3
2,30,.192126,.3048133,-.0410141,-.0058764,-1.16714,0,5.92e-06,1.21e-11,4.94e-11,8.27e-12,3,3,3,3,3
3,30,.0955475,-.0782613,.020657,-.0040547,.0327226,5.56e-10,.0081916,.000846,1.70e-16,.7927189,3,3,3,3,0
1,60,.0399906,-.1657045,.0472257,-.0009183,-.8529325,2.34e-10,.000018,2.71e-34,6.61e-08,4.80e-25,3,3,3,3,3
2,60,.1740419,.2339458,-.0434054,-.0041645,-.7180718,5.13e-35,.0000353,2.33e-17,1.02e-06,5.56e-11,3,3,3,3,3
3,60,.1141538,.0252698,-.0025103,-.0033741,-.1278031,3.64e-19,.3554502,.6170915,1.19e-20,.1180565,3,0,0,3,0
1,90,.0225558,-.0749908,.0389479,-.000601,-.6707149,.0000141,.0283893,5.96e-35,5.92e-07,3.11e-27,3,2,3,3,3
2,90,.1503944,.2818567,-.0422152,-.0032056,-.6206975,1.12e-29,.0002191,7.54e-13,.0001283,3.78e-09,3,3,3,3,3
3,90,.1102713,.0665554,-.0104304,-.0024821,-.1555651,2.87e-24,.0260625,.0197043,2.05e-19,.0085502,3,2,2,3,3
1,120,.0149952,.0271521,.0315146,-.0004658,-.5930699,.001308,.4488903,2.24e-30,2.94e-06,2.79e-27,3,0,3,3,3
2,120,.1291063,.5124981,-.0523323,-.0024941,-.2911148,2.58e-22,6.99e-07,1.75e-15,.0051881,.0007338,3,3,3,3,3
3,120,.1034864,.0586005,-.0100122,-.0019671,-.1970866,7.48e-27,.0374498,.0085241,1.99e-19,.0000658,3,2,3,3,3
1,150,.0033833,.1634581,.0254404,-.0003226,-.5130804,.4247998,.0000318,1.56e-25,.000155,1.60e-25,0,3,3,3,3
2,150,.1046455,.7332447,-.0573053,-.0023762,-.0906334,1.38e-14,1.42e-08,1.10e-14,.0049966,.2546137,3,3,3,3,0
3,150,.107922,.0539074,-.0131165,-.0014287,-.2304204,1.94e-29,.0226204,.0002704,2.48e-16,7.54e-08,3,2,3,3,3
1,180,-.0082835,.2823429,.0214268,-.0001728,-.4410204,.0565951,1.37e-11,4.54e-23,.0188399,2.03e-23,1,3,3,2,3
2,180,.1089225,.9390966,-.0675204,-.0022082,-.2482699,1.73e-16,3.76e-12,2.77e-16,.0023205,.0007876,3,3,3,3,3
3,180,.1050838,.0451135,-.0146282,-.0010391,-.2042587,1.67e-35,.0275455,7.63e-07,1.10e-12,9.80e-09,3,2,3,3,3
