gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,.287184,.1099131,.0396843,.0006766,.7098187,8.36e-06,.1759774,.0000968,.0253024,.4417112,3,0,3,2,0
2,10,.2617566,.0098296,.0999772,.0016357,-1.180302,.000109,.9304489,1.17e-08,.2146137,.4122985,3,0,3,0,0
3,10,-.1852423,-.0092876,.0170756,.0030263,3.968508,.0297045,.8682437,.2794245,.044908,.0000372,2,0,0,2,3
1,20,.146505,.1803781,.0358237,.0005132,1.73768,.0001539,.0090905,5.97e-06,.0675682,.0105144,3,3,3,1,2
2,20,.2019661,.109271,.0952537,.0005083,-.7167644,1.54e-09,.2569348,2.77e-15,.4859355,.3684876,3,0,3,0,0
3,20,-.2031864,-.0568391,.03597,.002255,4.020255,.0002216,.231018,.0007615,.0162186,1.19e-10,3,0,3,2,3
1,30,.1055638,.1921231,.0335169,.0001134,2.32812,.0002622,.0020189,4.51e-07,.5596058,.0000133,3,3,3,0,3
2,30,.156379,.2273684,.0946824,-.000315,-.7367188,1.52e-10,.0020904,7.29e-23,.5780501,.196731,3,3,3,0,0
3,30,-.2375377,-.1187119,.0615837,.0017367,3.672499,1.08e-08,.0096092,6.38e-12,.011898,2.83e-15,3,3,3,2,3
1,60,.0237935,-.0000925,.0622624,-.0003984,1.868016,.162502,.9981738,2.50e-33,.0017397,5.34e-10,0,0,3,3,3
2,60,.0935118,.4197653,.0758808,-.0002585,-.4335617,1.68e-10,1.66e-11,2.07e-29,.4392197,.1119164,3,3,3,0,0
3,60,-.2565782,-.1723928,.0935652,.001281,2.66258,7.42e-19,.000029,2.44e-30,.0020361,1.20e-22,3,3,3,3,3
1,90,.0028979,-.1090146,.0773514,-.0003715,.7418833,.6791775,.0007473,0,.0000792,8.25e-06,0,3,3,3,3
2,90,.0689072,.4394979,.0658426,-.0001347,-.3706237,1.39e-09,1.99e-13,1.59e-31,.5633867,.0679361,3,3,3,0,1
3,90,-.2382999,-.1818079,.0995978,.0009351,1.933406,2.90e-28,8.03e-06,0,.0028854,1.17e-23,3,3,3,3,3
1,120,-.0037569,-.1742877,.0788241,-.0003191,.2969152,.6361889,1.70e-07,0,.0000327,.0188463,0,3,3,3,2
2,120,.0786192,.4631276,.0513092,1.98e-08,-.3487533,1.13e-15,3.72e-16,3.26e-29,.9999049,.0230987,3,3,3,0,2
3,120,-.2265432,-.164887,.0973823,.0008698,1.509793,1.46e-37,.0000411,0,.0003877,2.53e-25,3,3,3,3,3
1,150,-.0068503,-.2124256,.076544,-.000271,.0803295,.3724556,1.47e-09,0,.0000315,.437631,0,3,3,3,0
2,150,.0806327,.5043303,.0401493,.0001827,-.2911501,8.93e-16,9.12e-19,1.83e-24,.2114372,.0208206,3,3,3,0,2
3,150,-.2223512,-.1606585,.0945804,.0007935,1.280543,0,.0000157,0,.0000356,1.31e-26,3,3,3,3,3
1,180,-.0033856,-.2445453,.0722291,-.0002276,-.0225556,.5768958,3.29e-12,0,.0000856,.8016568,0,3,3,3,0
2,180,.0799321,.5822777,.0317904,.0002213,-.3672074,1.23e-15,9.83e-23,1.13e-16,.0878441,.0011658,3,3,3,1,3
3,180,-.214137,-.1172954,.0917821,.0005227,.9588045,0,.001098,0,.0005731,2.17e-23,3,3,3,3,3
