gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,.2209984,-.3031825,.043262,-.0001452,1.067427,.0015374,.0005625,4.63e-09,.776109,.0055277,3,3,3,0,3
2,10,.15904,-.3990447,.0690501,-.0004675,2.491994,.0094556,.0083829,1.17e-06,.7352288,.0003006,3,3,3,0,3
3,10,.3032189,.004234,.1004878,.0057193,-2.929559,.0060087,.9525136,4.63e-16,.0009085,3.22e-06,3,0,3,3,3
1,20,.0234442,-.2972999,.0356233,-.0005457,2.002265,.6576777,.0000652,2.32e-08,.1750704,4.32e-11,0,3,3,0,3
2,20,.0480802,-.1744412,.0629301,.00045,3.223928,.333192,.3120431,8.97e-07,.6839071,2.03e-07,0,0,3,0,3
3,20,.2159037,-.0768578,.095689,.0043136,-1.868971,.0068985,.2038641,3.30e-19,.0003695,.0000221,3,0,3,3,3
1,30,-.0154895,-.2899394,.0341418,-.0003055,2.079246,.723614,.0000351,2.27e-07,.3275236,3.09e-15,0,3,3,0,3
2,30,-.0118649,-.0409563,.062771,.0005378,3.335179,.7791491,.7651538,9.58e-11,.5354398,1.36e-09,0,0,3,0,3
3,30,.1162319,-.1979114,.1119005,.0035976,-1.331388,.0744338,.0008492,3.15e-27,.0001404,.0001081,1,3,3,3,3
1,60,.0136046,-.533585,.0537042,-.0001863,1.691896,.5761735,1.03e-15,2.63e-23,.3536531,6.63e-23,0,3,3,0,3
2,60,-.0088476,.2614509,.0661609,.0000602,1.833544,.6308341,.0012928,8.10e-27,.8911017,5.92e-12,0,3,3,0,3
3,60,-.0998746,-.237626,.1273911,.0023619,-.4747756,.0481285,8.60e-07,0,.0001367,.0327536,2,3,3,3,2
1,90,-.0419238,-.6225368,.0716791,-.000349,1.441596,.0835275,9.69e-14,7.43e-30,.1037941,2.55e-24,1,3,3,0,3
2,90,.0135513,.2943526,.0728416,-.000112,.8313071,.4074197,.0001129,1.61e-36,.7578774,2.41e-06,0,3,3,0,3
3,90,-.1776344,-.2717278,.1382816,.0019608,-.4308148,2.72e-06,3.87e-08,0,.0000673,.007105,3,3,3,3,3
1,120,-.0367402,-.7044529,.0806769,-.0002352,1.08002,.0096611,1.22e-13,4.86e-30,.212679,1.05e-17,3,3,3,0,3
2,120,.0642449,.2291412,.0706331,.0000472,.2794281,6.12e-06,.0029378,1.20e-36,.8699996,.0429985,3,3,3,0,2
3,120,-.2588099,-.2653558,.1414232,.0017965,-.3103117,5.46e-15,2.57e-07,0,6.56e-06,.014489,3,3,3,3,2
1,150,-.03496,-.7622898,.0875966,.000043,.6757653,.0156618,1.50e-19,0,.7147696,1.80e-14,2,3,3,0,3
2,150,.0644334,.2300263,.0668383,-.0000792,.1644351,1.07e-08,.0010115,0,.7445524,.1217772,3,3,3,0,0
3,150,-.3597841,-.2589903,.1406913,.0014811,.0602203,3.94e-29,1.39e-06,0,3.76e-06,.548611,3,3,3,3,0
1,180,-.047026,-.6493266,.0825368,.000134,.5343407,.0016109,1.17e-14,0,.2325442,4.92e-11,3,3,3,0,3
2,180,.0545511,.3346348,.0602074,-.0001579,.05285,1.73e-08,6.05e-07,5.11e-36,.4693044,.5575245,3,3,3,0,0
3,180,-.4028493,-.2117951,.1376846,.00104,.1380963,0,.000055,0,.0000503,.0710644,3,3,3,3,1
