gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,-.0849237,.113299,-.0974596,.0030322,-10.82874,1.24e-06,.336266,3.79e-15,5.70e-07,.0000516,3,0,3,3,3
2,10,-.1660592,-.1212664,-.1247961,.0028778,4.05814,.000084,.367764,3.83e-09,.1255363,.0056097,3,0,3,0,3
3,10,-.0831677,.0777012,-.1511163,-.001888,2.649561,.0020004,.0651092,5.73e-20,.0017283,1.79e-10,3,1,3,3,3
1,20,-.0527657,.0219957,-.0933393,.0027272,-13.41557,.0004365,.8350844,3.71e-18,4.18e-07,2.35e-08,3,0,3,3,3
2,20,-.1078822,-.1351247,-.1282465,-.0004466,4.483669,9.42e-07,.2428597,1.50e-17,.7447994,2.00e-06,3,0,3,0,3
3,20,.0214552,.0449242,-.1917253,-.0024767,1.841764,.328227,.4977638,4.01e-22,1.69e-06,5.45e-10,0,0,3,3,3
1,30,-.0184234,-.0574824,-.0952542,.0023311,-13.91055,.1367134,.5733492,9.80e-21,5.96e-07,4.73e-11,0,0,3,3,3
2,30,-.0777411,-.1808956,-.12775,.0002732,5.288443,2.31e-06,.1907478,5.28e-25,.8072998,.0001385,3,0,3,0,3
3,30,.0435133,.0596757,-.2035378,-.0019625,1.865172,.0379044,.2538061,1.87e-30,8.61e-07,2.33e-09,2,0,3,3,3
1,60,.023379,-.2330483,-.0988367,.0013746,-9.512373,.0106776,.0081127,1.53e-28,.0000274,1.86e-10,2,3,3,3,3
2,60,-.0333591,-.4801844,-.0876798,-.000894,1.750023,.000011,.0032407,9.49e-17,.6162702,.0427809,3,3,3,0,2
3,60,.0459761,.0036304,-.1599434,-.0016505,1.045054,.0116438,.9400088,4.10e-24,1.23e-06,1.52e-08,2,0,3,3,3
1,90,.0194824,-.198765,-.0948934,.0008118,-6.112337,.0142307,.0112589,1.08e-32,.0020804,1.99e-08,2,2,3,3,3
2,90,-.0418625,-.5012754,-.070573,-.0001715,1.649693,1.75e-10,.0037421,1.51e-12,.8797473,.0077276,3,3,3,0,3
3,90,.0299795,.0425349,-.1374594,-.0007899,.8274696,.0023842,.2470239,0,.000011,3.09e-15,3,0,3,3,3
1,120,.0000657,-.0696243,-.0905282,.0006657,-3.180477,.9921038,.4343624,1.92e-29,.0010468,.0000167,0,0,3,3,3
2,120,-.0504601,-.5970384,-.0478966,.0001311,1.287392,3.54e-19,4.38e-07,3.87e-12,.7711331,.0000962,3,3,3,0,3
3,120,.0298368,.079285,-.1255467,-.0004533,.6095502,3.01e-06,.0242174,0,.0015856,1.03e-12,3,2,3,3,3
1,150,-.0078244,-.0216007,-.0821872,.0005984,-2.436051,.2333588,.8217014,1.99e-25,.001038,.0001124,0,0,3,3,3
2,150,-.0486733,-.6840329,-.0363165,.0000938,1.1872,2.31e-13,1.03e-08,1.74e-08,.7820668,6.33e-06,3,3,3,0,3
3,150,.034055,.08922,-.1159782,-.0001334,.3907838,.0000718,.0371976,0,.3526138,.0000702,3,2,3,0,3
1,180,.0036177,-.1633149,-.0730429,.0004057,-2.605924,.6063384,.1272196,1.70e-21,.0272608,.0001495,0,0,3,2,3
2,180,-.052893,-.8356615,-.0201267,-.0000305,1.277754,7.07e-12,8.40e-10,.0087435,.9464311,.0002377,3,3,3,0,3
3,180,.0409783,.0725178,-.1093675,.0001551,.2062795,8.95e-06,.1113473,2.65e-38,.2519738,.0321593,3,0,3,0,2
