gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,.0902506,.0027486,.0942123,-.0001921,6.36791,4.96e-06,.9852291,1.42e-08,.7760598,.0000362,3,0,3,0,3
2,10,.0753477,.4121277,.1802362,-.0007521,-3.578398,3.07e-09,.0001343,3.96e-20,.3485596,.0000838,3,3,3,0,3
3,10,.0777164,-.0780905,.1956204,.0026139,-4.435269,.0001404,.0973907,1.48e-30,.0003529,3.95e-09,3,1,3,3,3
1,20,.0485451,.1354408,.086589,1.14e-06,6.185075,.0000572,.2129469,1.30e-13,.9981579,3.12e-08,3,0,3,0,3
2,20,.0514085,.2520722,.1781587,-.0010538,-3.444083,5.03e-06,.0052457,2.07e-28,.0744613,5.25e-09,3,3,3,1,3
3,20,-.0065207,-.1114653,.1943489,.0029294,-2.197074,.6758095,.0282515,0,8.16e-08,.0000102,0,2,3,3,3
1,30,.0090912,.1487088,.0942459,-.0000656,5.497232,.3500614,.0864051,3.83e-22,.8667098,5.13e-11,0,1,3,0,3
2,30,.031739,.294454,.1529902,-.0007928,-2.50015,.0025501,.0002183,2.39e-25,.1457348,2.49e-06,3,3,3,0,3
3,30,-.0428622,-.1557856,.1820699,.0033033,-.8423439,.0013963,.0026454,0,1.36e-12,.0379544,3,3,3,3,2
1,60,-.0005295,.1222606,.09236,-.0002488,3.015463,.9292453,.037827,4.93e-37,.2560599,3.48e-10,0,2,3,0,3
2,60,.0312444,.3172523,.1185379,-.0012371,-2.024064,1.01e-06,.0000314,1.75e-32,.0004168,4.90e-10,3,3,3,3,3
3,60,-.0518686,-.1754477,.1544597,.0026097,-.2167894,1.71e-07,.0001734,0,1.36e-15,.3978157,3,3,3,3,0
1,90,.0027217,.0867024,.0820702,.0000767,2.096236,.6420163,.0635653,0,.6406984,7.70e-11,0,1,3,0,3
2,90,.0297039,.3933261,.0906109,-.0010569,-1.42041,1.02e-08,1.82e-07,1.41e-29,.0185253,5.96e-09,3,3,3,2,3
3,90,-.0397532,-.1882622,.1340614,.0019269,-.2111849,7.17e-09,.0000659,0,3.61e-17,.2421244,3,3,3,3,0
1,120,.0094706,.0428578,.0738333,.0000808,1.378995,.033036,.3184738,0,.529852,7.67e-10,2,0,3,0,3
2,120,.0355075,.469684,.0628826,-.0008421,-1.022656,2.40e-17,7.19e-11,8.25e-25,.0111115,4.04e-09,3,3,3,2,3
3,120,-.0421148,-.2079964,.1188702,.0015892,.0830882,2.18e-13,.0000196,0,3.06e-19,.5309603,3,3,3,3,0
1,150,.0130155,.0173762,.0667605,.0000488,.8464128,.0003977,.6693547,0,.6542045,3.42e-06,3,0,3,0,3
2,150,.0355262,.5016764,.048276,-.000734,-.8608974,8.22e-15,4.45e-10,2.53e-19,.000825,1.46e-09,3,3,3,3,3
3,150,-.0439963,-.200137,.1077063,.0011538,.2137886,1.90e-17,8.28e-06,0,1.85e-16,.0594445,3,3,3,3,1
1,180,.0115124,.0364522,.060802,.0001044,.5222449,.000675,.379858,0,.3086244,.0010646,3,0,3,0,3
2,180,.0384853,.6298786,.0296886,-.0004616,-.7219956,7.46e-14,1.62e-12,4.97e-08,.0054666,4.30e-09,3,3,3,3,3
3,180,-.0475275,-.2075073,.1017209,.0007536,.2799106,1.18e-22,4.83e-06,0,3.32e-11,.0031379,3,3,3,3,3
