gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,.1874368,-.3275932,.0251736,-.00406,-1.405264,3.95e-16,.0012451,.0051324,.0006022,9.02e-15,3,3,3,3,3
2,10,.1108163,-.149172,.0481157,-.0161496,-1.263828,2.80e-07,.4087472,.0060487,.0005776,4.18e-09,3,0,3,3,3
3,10,-.0922679,-.1017383,.2166667,-.0154989,-.8702176,.0000505,.0093706,4.31e-29,2.15e-14,8.75e-30,3,3,3,3,3
1,20,.1545537,-.2811235,.0234517,-.0042104,-.8999965,1.80e-15,.001107,.0020721,.0000256,1.41e-12,3,3,3,3,3
2,20,.1068216,-.0592109,.0192473,-.0138897,-.9449309,6.12e-13,.6767049,.1277581,.0000102,4.25e-10,3,0,0,3,3
3,20,-.0682243,-.130786,.1689443,-.0111533,-.5558395,.0007159,.000353,6.11e-26,5.74e-14,7.24e-24,3,3,3,3,3
1,30,.1595296,-.3430429,.0212501,-.0031337,-.7405064,1.60e-18,.0000319,.0010647,.0004289,1.04e-10,3,3,3,3,3
2,30,.0847845,.0306701,.011738,-.0139239,-.7260064,2.25e-10,.8167508,.2791021,3.49e-07,7.31e-10,3,0,0,3,3
3,30,-.0542492,-.1347256,.1411258,-.0086182,-.3953764,.001676,.0001385,2.35e-25,1.32e-12,2.81e-20,3,3,3,3,3
1,60,.1766334,-.1628432,-.0053131,-.0028346,-.4316729,5.92e-22,.0329819,.3356311,.000127,1.69e-06,3,2,0,3,3
2,60,.0801272,.1090944,-.0185728,-.0071597,-.3971598,3.25e-11,.2217657,.0289139,.0000148,2.83e-11,3,0,2,3,3
3,60,-.0287906,-.1269723,.0974348,-.0054602,-.2071259,.0144929,.0013789,1.22e-21,3.17e-10,3.09e-13,2,3,3,3,3
1,90,.1832118,.0689639,-.0270117,-.0023387,-.2851054,1.75e-25,.3381172,1.95e-07,.0002131,.0001188,3,0,3,3,3
2,90,.0584042,.1896196,-.0184126,-.0059545,-.2908222,1.11e-08,.0254435,.0258313,.000013,1.18e-11,3,2,2,3,3
3,90,-.0085517,-.0626803,.0659858,-.0041512,-.1359096,.3342989,.1411669,8.92e-17,2.10e-09,9.07e-11,0,0,3,3,3
1,120,.1629179,.2962445,-.034785,-.0022805,-.200875,1.67e-27,.0002961,1.62e-12,.0000259,.0018143,3,3,3,3,3
2,120,.0206749,.3694321,-.0093005,-.0065358,-.2147927,.0548161,.0001591,.2507248,9.90e-09,1.97e-09,1,3,0,3,3
3,120,-.0070865,-.0451572,.0534549,-.0033368,-.0900888,.3729747,.345773,1.97e-15,2.23e-08,1.58e-07,0,0,3,3,3
1,150,.1389197,.5736309,-.0404935,-.0021704,-.1620163,1.06e-26,3.62e-10,1.38e-17,5.21e-06,.0029344,3,3,3,3,3
2,150,-.0160887,.5520061,.0030795,-.0061725,-.1921566,.0938398,9.30e-07,.6949113,1.14e-13,1.68e-09,1,3,0,3,3
3,150,.0044346,-.0079811,.0384638,-.0028805,-.0635392,.5748396,.8719428,1.36e-10,1.61e-08,.0000134,0,0,3,3,3
1,180,.1000343,.8178327,-.0377826,-.0018552,-.1247422,2.85e-18,1.64e-15,6.09e-19,.0000126,.0086499,3,3,3,3,3
2,180,-.023679,.5846869,.0035087,-.0056054,-.1496666,.0561071,1.17e-06,.695403,1.05e-15,2.38e-07,1,3,0,3,3
3,180,.0101492,-.0017556,.0296009,-.0023979,-.0402223,.2231554,.9712917,1.14e-07,6.28e-08,.001874,0,0,3,3,3
