gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,.0903146,.0229715,.0436824,.0000418,-14.09692,.0373017,.5438199,7.09e-07,.8700408,.2170107,2,0,3,0,0
2,10,.1461881,.2613845,.0058725,-.0004809,49.19682,.0012129,.0009972,.6823052,.5667868,.4288921,3,3,0,0,0
3,10,.225075,.062417,.0372663,-.0003793,-29.70608,1.97e-09,.0181754,5.83e-06,.4358034,.0861373,3,2,3,0,1
1,20,.1078695,.0719642,.0351514,.0000333,-7.346235,.004209,.0614461,3.05e-06,.8870164,.3310476,3,1,3,0,0
2,20,.1299941,.3174084,-.0015062,-.0004328,32.7401,.0009886,.0000104,.8975874,.486883,.4409443,3,3,0,0,0
3,20,.2452093,.1188068,.0217703,-.0001414,-11.96935,1.32e-13,.000064,.0035674,.7101238,.3673703,3,3,3,0,0
1,30,.1225654,.0824536,.0284572,-.0000443,-1.749196,.0000128,.0267419,1.09e-07,.8285812,.6689163,3,2,3,0,0
2,30,.1305375,.3347484,-.0104243,-.0002757,37.56107,.0000208,2.30e-07,.2633804,.5478274,.146559,3,3,0,0,0
3,30,.2253036,.1517155,.0167405,-.0002657,.0826301,2.05e-17,7.91e-07,.0080978,.3237635,.993753,3,3,3,0,0
1,60,.0610807,.1989442,.0238626,-.0002454,1.664289,.0006964,1.53e-08,2.03e-10,.0066382,.2898413,3,3,3,3,0
2,60,.1521653,.2476819,-.0104447,-.0002296,20.55882,1.73e-13,.001609,.2403146,.4696546,.2144253,3,3,0,0,0
3,60,.2293869,.1335447,.0053057,-.0001889,3.644358,1.01e-33,9.77e-09,.1848537,.2044705,.595719,3,3,0,0,0
1,90,.0819335,.1221316,.0189545,-.0001872,-.4818505,2.02e-07,.010622,1.58e-08,.0019479,.6999615,3,2,3,3,0
2,90,.1158883,.3441643,-.0090307,.0000678,-29.40672,2.04e-11,.0006565,.3892962,.767679,.2156756,3,3,0,0,0
3,90,.218856,.1280583,-.0009492,-.0001355,6.870424,0,4.11e-08,.7914132,.2244636,.3524488,3,3,0,0,0
1,120,.0693823,.1568582,.0141944,-.0001631,-.3793401,2.40e-10,.0008589,.0001669,.0002038,.6550805,3,3,3,3,0
2,120,.1108898,.3099574,-.0109872,-.0000463,-4.666856,5.23e-10,.012112,.3083553,.78432,.7947069,3,2,0,0,0
3,120,.1997631,.1318734,-.0033919,-.0001463,8.425981,0,1.68e-07,.3705788,.1516585,.2430975,3,3,0,0,0
1,150,.0538971,.2015905,.0107863,-.0001463,-.4052778,3.35e-09,2.29e-20,4.52e-08,.0000196,.4923857,3,3,3,3,0
2,150,.1083615,.3427411,-.0177927,-.0000623,8.52519,1.25e-09,.008154,.0778964,.6937959,.4672088,3,3,1,0,0
3,150,.183236,.1395419,-.0045846,-.0001871,7.932161,3.89e-37,1.40e-07,.219028,.0526073,.1999995,3,3,0,1,0
1,180,.0450603,.2037851,.0103371,-.0001232,-.9420146,1.04e-08,4.13e-22,7.31e-09,5.35e-06,.1189341,3,3,3,3,0
2,180,.0863281,.3370244,-.0141251,-.0001571,25.02135,8.53e-07,.0196551,.1788602,.3240918,.0036662,3,2,0,0,3
3,180,.1712264,.1751614,-.008332,-.0001934,11.61028,2.73e-28,3.52e-08,.0702529,.0441106,.0937002,3,3,1,2,1
