gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,.2737636,.1719899,.0158737,-.0011868,-.9138748,1.08e-07,1.02e-06,.0671794,.0394233,2.68e-06,3,3,1,2,3
2,10,.3171195,.217097,.0193207,-.0013224,-1.665344,8.20e-14,.0002966,.1356631,.4158663,4.46e-11,3,3,0,0,3
3,10,.2538464,.1775833,.034716,-.0016751,-.5336014,7.08e-09,8.74e-08,.0013442,.0645356,.0536955,3,3,3,1,1
1,20,.3176261,.1060532,-.0007752,-.0010392,-.6510446,1.15e-19,.0012593,.8935401,.0040087,9.68e-08,3,3,0,3,3
2,20,.3094191,.1824361,-.0002606,-.0023566,-1.338118,5.38e-21,.0009741,.9816464,.0427385,2.47e-11,3,3,0,2,3
3,20,.2693779,.1993251,.0318068,-.0013217,-.7529311,1.97e-15,1.51e-10,.0000825,.0327205,.0000765,3,3,3,2,3
1,30,.2953451,.0657046,-.0042838,-.0008544,-.3421438,1.44e-25,.027864,.3535497,.0009392,.0000976,3,2,0,3,3
2,30,.2424292,.27646,-.0057384,-.0028541,-1.102851,2.26e-20,1.46e-06,.5600855,.001928,1.31e-12,3,3,0,3,3
3,30,.2835645,.1750712,.0150789,-.0015289,-.5061498,1.06e-22,1.11e-08,.0305338,.0005919,.0019809,3,3,2,3,3
1,60,.0178842,.1795173,.0205359,-.0007143,.013956,.0105071,2.02e-07,1.63e-12,2.26e-06,.7919756,2,3,3,3,0
2,60,.1733963,.5896632,-.0513093,-.0039641,-.6235191,7.67e-18,1.53e-13,3.35e-08,5.77e-10,1.59e-12,3,3,3,3,3
3,60,.3030799,.206779,-.0131238,-.0011044,-.3403349,0,4.55e-11,.0189411,.0001258,.0003381,3,3,2,3,3
1,90,.013467,.1440053,.0151146,-.0007325,.0509236,.0092904,.0090771,2.19e-06,6.10e-13,.2314343,3,3,3,3,0
2,90,.2257198,.8413461,-.1101704,-.0017105,-.3884738,6.73e-28,1.77e-19,2.36e-23,.0000684,6.04e-13,3,3,3,3,3
3,90,.3041672,.1798243,-.0288291,-.0010647,-.1591892,0,2.73e-10,6.75e-08,3.76e-07,.0182711,3,3,3,3,2
1,120,.0072181,.2246778,.0082982,-.0005044,-.012729,.0080952,.000254,.0168443,8.81e-09,.7202013,3,3,2,3,0
2,120,.2306133,.7827598,-.1098356,-.0011359,-.2755826,6.06e-16,4.19e-14,4.73e-22,.0072795,6.18e-10,3,3,3,3,3
3,120,.2835663,.1676603,-.0342984,-.000978,-.0380453,1.29e-37,8.66e-09,5.16e-09,1.87e-08,.5032493,3,3,3,3,0
1,150,.005075,.3065194,.0020031,-.00035,-.052918,.0062292,5.79e-34,.0995073,2.18e-09,.0222314,3,3,1,3,2
2,150,.0978342,.9664398,-.0845038,-.0019962,-.2372972,.0112951,1.68e-17,7.46e-13,5.49e-06,3.85e-07,2,3,3,3,3
3,150,.2671199,.1701363,-.0346199,-.000853,-.0506836,2.80e-37,2.54e-08,5.10e-10,9.20e-09,.3418614,3,3,3,3,0
1,180,.0040467,.3094657,.0005075,-.0002822,-.055727,.0075527,3.79e-37,.6293777,2.07e-08,.0059316,3,3,0,3,3
2,180,-.0245708,1.026827,-.0488774,-.0022818,-.2158264,.42163,4.18e-22,1.56e-06,5.12e-13,1.13e-06,0,3,3,3,3
3,180,.2615412,.186935,-.0390192,-.000589,-.0365404,1.06e-31,8.32e-08,1.52e-09,2.73e-06,.4183199,3,3,3,3,0
