gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,.0977586,.0238479,.0383278,-.0008335,6.074552,3.33e-09,.3414158,9.30e-13,.0071306,.1153249,3,0,3,3,0
2,10,.117198,.0419982,.0405425,.0020701,-11.97429,2.40e-07,.5195662,.0002416,.0329318,.1599074,3,0,3,2,0
3,10,.0208313,.0977317,.0632844,-.000195,-26.62044,.2269895,.0004501,6.88e-12,.7312767,.0914176,0,3,3,0,1
1,20,.0830621,.0210262,.0349095,-.0004779,2.591709,2.25e-11,.3953318,1.61e-14,.0532171,.213309,3,0,3,1,0
2,20,.0592343,.066665,.046892,.0009258,-3.285868,.0001191,.2379916,3.74e-09,.1003222,.3203049,3,0,3,0,0
3,20,.042966,.042651,.052924,.0006884,-26.46722,.0007533,.0527923,3.66e-14,.0214404,.005922,3,1,3,2,3
1,30,.0642631,.0278237,.0354484,-.0003889,1.573477,2.65e-09,.2512188,2.64e-17,.0739568,.4450555,3,0,3,1,0
2,30,.0453844,.1125803,.042134,.000401,-5.395696,.0001726,.0643141,9.42e-10,.3758642,.0462449,3,1,3,0,2
3,30,.0629456,.0367938,.0387713,.000513,-19.62363,3.88e-08,.1062793,7.06e-11,.042715,.0106146,3,0,3,2,2
1,60,.036538,.0435732,.0342143,-.0002605,1.001127,1.39e-07,.0518956,2.31e-24,.0564426,.314123,3,1,3,1,0
2,60,.06816,.0063337,.0309235,.0005166,-3.526495,1.52e-14,.9140362,5.35e-07,.0468531,.0172389,3,0,3,2,2
3,60,.1113801,.038767,.009855,.0003481,-9.511596,6.92e-26,.0538,.0214483,.0217279,.052897,3,1,2,2,1
1,90,.0279105,.0354796,.0310837,-.0002311,.8785482,4.75e-09,.0048981,1.55e-34,.0142204,.25605,3,3,3,2,0
2,90,.0768928,.080469,.0085882,.0001852,2.737186,4.76e-26,.1448263,.1094933,.3492718,.0460632,3,0,0,0,2
3,90,.1093903,.0913322,-.0014067,.0001487,-2.987109,2.61e-31,1.25e-06,.7119077,.2317111,.3255914,3,3,0,0,0
1,120,.0165882,.0444913,.0299886,-.0001112,.4057155,1.20e-06,.0068976,5.62e-35,.0929342,.475889,3,3,3,1,0
2,120,.0921651,.0234933,.0010164,-.0000222,2.479366,2.92e-30,.6692854,.8252805,.8959821,.0178801,3,0,0,0,2
3,120,.1095408,.1367892,-.0089047,.0000238,-3.698392,3.79e-34,2.92e-10,.0168234,.8293772,.1798028,3,3,2,0,0
1,150,.0126496,.059355,.0274126,-9.69e-07,.0061992,9.34e-06,1.35e-06,0,.9844542,.9889218,3,3,3,0,0
2,150,.1049265,.0553764,-.0130304,-.0002431,1.72135,2.78e-37,.2560968,.0017845,.0786076,.019862,3,0,3,1,2
3,150,.1193765,.1900493,-.0204578,.0000353,-1.873266,1.63e-36,5.06e-14,8.72e-07,.7019753,.4320476,3,3,3,0,0
1,180,.01301,.0510529,.0257296,.0000738,-.2245477,5.77e-06,.0000309,9.81e-37,.112684,.5913115,3,3,3,0,0
2,180,.1063946,.142103,-.0237137,.0000986,.6189077,0,.0064073,4.86e-08,.3546436,.4641362,3,3,3,0,0
3,180,.1294115,.2382289,-.0302123,.0000608,-1.416196,1.39e-38,1.35e-16,2.77e-11,.4246414,.4440185,3,3,3,0,0
