gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,.0445684,.1768512,.000217,-.0018013,-.0680599,.0001177,2.08e-08,.9697731,.0015149,.6163335,3,3,0,3,0
2,10,.3390875,.1741383,-.0865732,-.0009038,-2.317036,3.13e-11,.016901,3.47e-07,.623942,1.05e-09,3,2,3,0,3
3,10,.0287218,.0521281,.020517,-.0073637,.3253884,.3038709,.0232348,.0464387,3.38e-13,.1418817,0,2,2,3,0
1,20,.047547,.1951448,-.0034441,-.0012822,-.1377546,2.78e-07,8.20e-13,.4245338,.000189,.1384457,3,3,0,3,0
2,20,.2841024,.0982848,-.0883041,.0011709,-1.333461,1.67e-20,.2241488,5.42e-14,.3128015,4.13e-08,3,0,3,0,3
3,20,.0599894,.0234684,.0060993,-.0069468,.2117473,.0079294,.3359856,.3436186,4.45e-21,.2525037,3,0,0,3,0
1,30,.055722,.1729456,-.0087615,-.0009081,-.1467962,4.43e-08,.000069,.0702935,.0023467,.072599,3,3,1,3,1
2,30,.2734966,.0908149,-.0897586,-.0002691,-.995552,3.31e-18,.2151899,6.35e-13,.7997947,1.16e-06,3,0,3,0,3
3,30,.1000418,-.0029917,-.0060616,-.0059105,-.0023362,1.12e-07,.9066237,.2241184,3.84e-22,.9870049,3,0,0,3,0
1,60,.05493,.296288,-.0185154,-.001043,-.1538138,3.62e-11,6.32e-24,4.45e-07,.0000682,.0025517,3,3,3,3,3
2,60,.1995597,.1157638,-.0730403,-.0010588,-.5175684,1.75e-26,.1816368,1.71e-16,.0307657,4.78e-08,3,0,3,2,3
3,60,.1619206,-.1415191,-.0229365,-.0033651,-.1402785,1.52e-20,1.71e-08,2.51e-06,8.95e-15,.0931844,3,3,3,3,1
1,90,.0523644,.196845,-.016843,-.0006874,-.1316935,7.94e-13,.0191127,.0008698,.0019286,.0038632,3,2,3,3,3
2,90,.1779916,.2865497,-.0895309,-.0004121,-.2799294,1.51e-33,.0038748,1.38e-19,.2211105,.000021,3,3,3,0,3
3,90,.2022575,-.2672429,-.0323252,-.0018347,-.2149085,6.08e-36,3.59e-27,5.21e-13,4.21e-13,.0000296,3,3,3,3,3
1,120,.0469743,.2752191,-.0221451,-.0005772,-.0985933,1.36e-14,.0007532,.001189,.0028475,.0104909,3,3,3,3,2
2,120,.1776939,.2371524,-.0902674,.0012234,-.172986,7.73e-28,.0253712,9.04e-20,.0007696,.0029714,3,2,3,3,3
3,120,.1808946,-.2698601,-.0272948,-.0010031,-.191358,7.07e-36,3.11e-25,4.30e-11,2.45e-07,.0000129,3,3,3,3,3
1,150,.0483409,.3642052,-.0299197,-.0005046,-.090711,1.59e-18,1.26e-34,1.66e-19,.0039916,.0101424,3,3,3,3,2
2,150,.1586815,.3626323,-.0926586,.0015252,-.2665168,2.61e-14,.0038913,1.32e-18,.0000269,.0003639,3,3,3,3,3
3,150,.1792348,-.2470702,-.031922,-.0005228,-.162313,0,5.81e-26,6.33e-18,.000287,3.48e-07,3,3,3,3,3
1,180,.0473133,.3512641,-.0285461,-.0004189,-.1153679,5.01e-18,4.59e-32,6.99e-17,.0119177,.0005871,3,3,3,2,3
2,180,.1151966,.5004853,-.084943,.001302,-.1824853,4.23e-07,.0000639,3.23e-15,.002526,.014534,3,3,3,3,2
3,180,.159637,-.21355,-.0287502,-.0005934,-.1549427,0,7.02e-21,9.62e-15,1.04e-06,2.69e-06,3,3,3,3,3
