gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,.187908,.1183177,.0136829,-.0007012,-.1249252,9.04e-20,.0002656,.0018352,.2749134,.412086,3,3,3,0,0
2,10,.1998561,.2295733,.007845,.0125727,-4.459287,.0012871,.0004511,.6307152,.000922,3.73e-09,3,3,0,3,3
3,10,.1455633,.0956563,.0408187,.0002149,-.8055509,1.30e-13,.0000481,2.51e-09,.8049219,.000013,3,3,3,0,3
1,20,.1277736,.0801199,.0277092,-.0005643,-.1443995,4.38e-24,.0096992,7.78e-16,.1527643,.0709388,3,3,3,0,1
2,20,.1859136,.1183125,-.0034605,.0110333,-2.569481,.000271,.0260031,.7824882,.0000565,2.00e-06,3,2,0,3,3
3,20,.1409073,.1304642,.0280756,-.0003112,-.442477,4.39e-19,1.75e-06,3.82e-08,.5864916,.0003978,3,3,3,0,3
1,30,.0919259,.0643152,.0330346,-.000641,-.1279987,3.93e-24,.0217541,1.50e-26,.030343,.0190546,3,2,3,2,2
2,30,.1258462,.1154104,-.0021869,.0119692,-1.566337,.001206,.038299,.8259353,3.68e-08,.0003573,3,2,0,3,3
3,30,.1377363,.1581425,.0174155,-.0004435,-.2116119,9.04e-23,5.43e-09,.0000349,.3082742,.0270453,3,3,3,0,2
1,60,.050739,.1267093,.028054,-.0003741,-.128448,8.07e-20,6.84e-06,4.29e-30,.0363832,.0000582,3,3,3,2,3
2,60,.026338,.4300058,-.0208804,.0101132,-1.004278,.333091,1.05e-08,.0196265,1.49e-10,.0026171,0,3,2,3,3
3,60,.1254458,.1993683,.0013027,.000142,.0406143,6.65e-27,2.99e-12,.7135409,.5993947,.5483912,3,3,0,0,0
1,90,.0436568,.0889717,.0242436,-.0002248,-.1298675,1.56e-21,.0218097,1.92e-15,.1296078,1.65e-07,3,2,3,0,3
2,90,-.0328297,.4794581,-.0170481,.0081463,-.4147285,.2031633,8.83e-08,.0338195,3.55e-10,.0897849,0,3,2,3,1
3,90,.1192123,.1668944,-.0023511,.0000584,.0683915,1.08e-31,1.93e-10,.4683666,.7539178,.1743736,3,3,0,0,0
1,120,.0394848,.1263794,.0173847,.0000396,-.1252179,3.13e-20,2.38e-06,1.67e-12,.7406057,1.46e-09,3,3,3,0,3
2,120,-.1237418,.499507,.0043931,.0055435,-.0177803,.0001331,1.29e-08,.42886,1.74e-08,.9285401,3,3,0,3,0
3,120,.109312,.1594963,-.0035567,.0000188,.0526683,9.67e-33,8.89e-11,.2310853,.9037119,.2120577,3,3,0,0,0
1,150,.0446247,.1258478,.0135432,.0001992,-.1503085,4.12e-25,9.13e-12,6.11e-15,.0451403,1.15e-14,3,3,3,2,3
2,150,-.2209687,.5639274,.0259439,.0030683,.2296413,8.24e-17,2.00e-14,.0000405,.0001004,.1138364,3,3,3,3,0
3,150,.1149317,.1878075,-.0101682,.0001602,.0535916,4.84e-36,1.89e-10,.0042155,.1881729,.2259782,3,3,3,0,0
1,180,.0552818,.1373489,.0085981,.0002511,-.1754228,4.39e-32,3.51e-16,2.39e-09,.0028519,1.26e-20,3,3,3,3,3
2,180,-.2381567,.5233542,.038176,.0019132,.0933301,2.05e-16,4.46e-17,2.15e-06,.0020188,.3631403,3,3,3,3,0
3,180,.1178681,.2172884,-.0155465,.0002002,.0101307,0,2.95e-15,6.59e-07,.0702066,.7509651,3,3,3,1,0
