gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,.1051618,.1323058,.0419006,-.001623,-.6298993,.0000513,.0002283,7.53e-13,.0202899,.1333582,3,3,3,2,0
2,10,.1590817,.3676454,-.0733476,-.0046809,-1.486658,2.38e-17,.0043593,1.12e-06,.0124172,9.64e-08,3,3,3,2,3
3,10,.1755544,.0759559,.0262011,.000191,-2.898903,8.34e-21,8.97e-06,.0000874,.7244171,.0000295,3,3,3,0,3
1,20,.114872,.0646829,.0300712,-.0011146,-.2847512,1.25e-07,.1012567,9.33e-10,.0300232,.242305,3,0,3,2,0
2,20,.1377797,.3583532,-.0683869,-.0037109,-1.071144,1.62e-18,.0027784,8.33e-08,.0034975,2.49e-09,3,3,3,3,3
3,20,.1473142,.0464801,.028761,-.0000845,-2.633265,2.85e-25,.0059575,2.93e-08,.8355641,2.87e-06,3,3,3,0,3
1,30,.1403982,-.0008078,.0222458,-.0010433,-.2168688,2.91e-13,.9812342,7.96e-08,.0157318,.2256947,3,0,3,2,0
2,30,.1205584,.3102235,-.0587839,-.0043451,-.8061066,1.59e-16,.0087081,3.26e-07,.000021,8.76e-09,3,3,3,3,3
3,30,.136311,.0445619,.0260177,-.0003926,-2.348312,4.78e-26,.0145009,2.25e-08,.2471181,6.84e-07,3,2,3,0,3
1,60,.0559788,.0860389,.0285036,-.0006964,-.1735805,1.69e-06,.0127077,4.08e-18,.0126658,.1000068,3,2,3,2,0
2,60,.0721342,.5556805,-.068795,-.0027211,-.4470387,9.72e-09,.000092,6.91e-07,.0043105,1.15e-07,3,3,3,3,3
3,60,.1093839,.0354698,.023537,-.0006183,-2.111952,3.56e-24,.0319575,1.56e-09,.0240972,5.59e-08,3,2,3,2,3
1,90,.0066315,.1306115,.0286587,-.000501,-.1611897,.4599548,.0026049,1.69e-19,.025774,.0287824,0,3,3,2,2
2,90,.0623647,.4935717,-.0546473,-.0026452,-.4111916,3.05e-07,.0015883,.0002929,.005407,7.62e-06,3,3,3,3,3
3,90,.0964259,.0181764,.0195557,-.0005289,-1.829452,2.81e-25,.2881151,2.07e-08,.0164077,2.56e-07,3,0,3,2,3
1,120,-.0116211,.2005075,.0227944,-.0003717,-.1310236,.0973004,1.05e-07,1.42e-14,.0463939,.0486561,1,3,3,2,2
2,120,.0367998,.371309,-.0291673,-.0042447,-.2748468,.0164884,.0333115,.0446143,5.59e-06,.0181916,2,2,2,3,2
3,120,.0919042,.0269821,.0136357,-.0004699,-1.444893,2.37e-24,.1224966,.000087,.0079313,2.14e-07,3,0,3,3,3
1,150,-.0229236,.233732,.0196524,-.0003268,-.1359107,.0002491,7.79e-19,1.37e-18,.0202863,.0464647,3,3,3,2,2
2,150,-.0025714,.3602499,-.0114259,-.0047352,.040763,.8280454,.0250699,.3955132,1.29e-07,.6511278,0,2,0,3,0
3,150,.1066671,.0947131,-.000294,-.0004241,-1.324837,9.46e-32,1.43e-07,.9269241,.0039046,5.18e-08,3,3,0,3,3
1,180,-.0363808,.2361667,.0200733,-.0003636,-.1174366,2.36e-10,1.07e-19,3.80e-21,.0008633,.0505591,3,3,3,3,1
2,180,-.0179777,.1787926,.0125088,-.0046634,.1639224,.0263209,.2395632,.3340365,1.92e-08,.0188096,2,0,0,3,2
3,180,.0963295,.1127578,-.0012387,-.0004058,-1.247678,6.61e-24,1.07e-07,.7311597,.0034722,1.43e-07,3,3,0,3,3
