gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,.1983474,.1338282,.018302,-.0028967,-1.331318,1.92e-18,9.76e-06,.0004514,4.48e-07,5.27e-08,3,3,3,3,3
2,10,.3332368,.2315127,-.0619998,-.0057644,-.8776937,.0000104,.0034559,.0007905,.0012871,.1717679,3,3,3,3,0
3,10,-.0376126,.2555922,.0361858,-.0031303,1.171627,.031474,2.41e-14,2.11e-07,.0000168,.0380053,2,3,3,3,2
1,20,.167618,.0997707,.0155958,-.0018263,-1.019031,3.73e-24,.0002288,.0000353,1.24e-06,6.47e-10,3,3,3,3,3
2,20,.2636003,.2622304,-.0615732,-.0037715,-.1673375,7.72e-08,.0005685,4.14e-06,.0007607,.6082467,3,3,3,3,0
3,20,-.0134867,.2750112,.0241856,-.0021987,.9075606,.296175,2.85e-19,.0000173,.0000104,.0231053,0,3,3,3,2
1,30,.1581352,.0665497,.0146106,-.0014398,-1.059021,8.44e-29,.0240401,7.67e-06,2.08e-07,1.33e-14,3,2,3,3,3
2,30,.2453548,.3055063,-.0656999,-.0023704,.0925343,3.33e-07,8.22e-06,2.48e-08,.0077619,.539712,3,3,3,3,0
3,30,-.0064811,.3048836,.017192,-.0017316,.7110775,.5307205,1.92e-21,.0002976,2.30e-06,.0195795,0,3,3,3,2
1,60,.1257781,.1128933,.0070557,-.0003224,-.8532606,5.10e-30,.0000153,.0027004,.0476088,6.47e-17,3,3,3,2,3
2,60,.2947655,.4276732,-.0978178,-.0007944,.0597465,1.01e-08,3.19e-06,1.71e-18,.1861549,.4814464,3,3,3,0,0
3,60,-.0191192,.3339974,.0152553,-.0013458,.5696986,.0127586,3.22e-24,.0000677,9.47e-09,.0059068,2,3,3,3,3
1,90,.1093059,.0925248,.0061936,.0001204,-.860204,1.23e-29,.0042656,.0226247,.3266159,1.49e-16,3,3,2,0,3
2,90,.1781376,.562113,-.08033,.0000153,.0678118,.0002311,5.35e-08,3.30e-10,.9767842,.2184623,3,3,3,0,0
3,90,-.0141829,.3399222,.0101631,-.0011056,.4573907,.02323,1.88e-27,.0032912,9.38e-10,.0019323,2,3,3,3,3
1,120,.1095412,.1449332,-.0021253,.0004786,-.7855015,3.75e-30,.0003449,.5904543,.0000178,1.72e-16,3,3,0,3,3
2,120,-.057885,.5684217,-.0114791,-.0003061,.0438552,.3022445,7.28e-09,.4207536,.4416672,.3832946,0,3,0,0,0
3,120,-.0161175,.304786,.0124823,-.0009129,.3729411,.0024106,3.09e-26,.000088,1.33e-09,.0013104,3,3,3,3,3
1,150,.1194171,.1709962,-.0095793,.0006245,-.7166895,8.03e-35,4.46e-17,.0001115,6.51e-10,1.14e-17,3,3,3,3,3
2,150,-.3196951,.572014,.0642982,-.0003488,.0030407,1.43e-10,1.07e-10,1.96e-06,.2338549,.9412231,3,3,3,0,0
3,150,-.009747,.2983648,.0101528,-.0007325,.289691,.0460481,2.02e-25,.0011834,1.33e-08,.0023671,2,3,3,3,3
1,180,.1146679,.156673,-.0092935,.0005936,-.67839,7.65e-35,9.31e-16,.0001198,3.27e-09,3.44e-17,3,3,3,3,3
2,180,-.4397695,.5245239,.1037766,1.36e-06,.012831,7.24e-17,1.69e-09,5.15e-11,.995241,.6905654,3,3,3,0,0
3,180,-.0060499,.3080452,.00782,-.0005996,.2279031,.1875256,4.16e-25,.0118625,4.05e-08,.0054221,0,3,2,3,3
