gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,.271473,.1744789,-.0001286,-.0011745,-.8456979,6.08e-07,7.20e-06,.9898167,.0007341,.1916443,3,3,0,3,0
2,10,.3280033,.2700711,-.0497157,.0022635,-6.69579,9.16e-16,.0003353,.0004119,.0036151,.020334,3,3,3,3,2
3,10,.4146941,.0905724,-.0201749,.000946,-2.115533,1.80e-16,.0012251,.0458824,.0552589,.2576927,3,3,2,1,0
1,20,.2208971,.1890275,-.0045981,-.0003906,-.2505616,1.69e-08,.0001779,.5911825,.1183188,.6309966,3,3,0,0,0
2,20,.2341051,.2741169,-.0406883,.0014808,-4.284965,2.28e-14,.0001811,.0003901,.0070085,.018565,3,3,3,3,2
3,20,.3836982,.0776684,-.0235381,.0010294,-.0384963,4.78e-24,.0035504,.0022613,.001816,.9703422,3,3,3,3,0
1,30,.2001552,.1875442,-.0021076,-.0003473,-.4330286,1.62e-11,.0060974,.7459019,.0829622,.2329025,3,3,0,1,0
2,30,.2248279,.3144662,-.047729,.000347,-3.231649,3.28e-21,.0000186,3.13e-06,.4806139,.0463638,3,3,3,0,2
3,30,.3406519,.0818708,-.024121,.0006358,1.742048,2.14e-19,.0065181,.0033506,.0363561,.0814611,3,3,3,2,1
1,60,.0951895,.2575199,.0151438,.0000813,-.7639084,2.51e-09,.0000122,.0002614,.4613931,.000015,3,3,3,0,3
2,60,.1335943,.4282717,-.0567706,-.0005928,2.661862,8.44e-16,4.26e-06,3.02e-08,.0197957,.0213185,3,3,3,2,2
3,60,.3727362,.0532205,-.0285509,.0001663,-.5702164,1.70e-35,.0937105,.0000205,.4019109,.5043266,3,1,3,0,0
1,90,.1053902,.1925553,.0088494,.0000277,-.6479967,2.69e-14,.0134618,.0545963,.6906017,9.72e-07,3,2,1,0,3
2,90,.107767,.634993,-.0745727,-.0003019,2.66976,5.17e-14,1.68e-09,1.11e-11,.1193905,.0143558,3,3,3,0,2
3,90,.3917586,-.0032249,-.0407981,.0003027,-.237828,1.29e-37,.915132,2.45e-08,.0397428,.7184213,3,0,3,2,0
1,120,.0875137,.3010997,.0010547,.0000774,-.6253657,8.15e-13,.0023693,.9029497,.2878499,1.24e-06,3,3,0,0,3
2,120,.0599396,.5800487,-.0637311,-.0000686,5.808334,.0000903,1.47e-08,8.46e-11,.7099079,7.45e-09,3,3,3,0,3
3,120,.3105722,-.0103625,-.0259146,.0003418,-.3811495,5.80e-30,.7523253,.0004188,.0107509,.4517266,3,0,3,2,0
1,150,.1081074,.4242182,-.0163877,.0000822,-.3187021,8.16e-26,1.83e-38,1.14e-09,.072481,.0000865,3,3,3,1,3
2,150,.0387383,.5678427,-.0561093,.0002662,6.378242,.0047025,4.12e-09,1.18e-10,.1570857,1.87e-12,3,3,3,0,3
3,150,.3513566,.0665708,-.0456374,.0003231,-.4459997,2.28e-29,.0639356,1.12e-07,.0055413,.3365288,3,1,3,3,0
1,180,.1142122,.4229864,-.0203188,.0001319,-.1784771,1.22e-26,0,2.89e-12,.0025994,.0185851,3,3,3,3,2
2,180,.0220347,.6949565,-.0632752,.0002582,7.098117,.081087,4.42e-10,3.85e-11,.1495205,2.85e-13,1,3,3,0,3
3,180,.3790267,.1422033,-.0600978,.0004174,-.9737307,9.18e-25,.0011283,1.67e-08,.0000586,.013692,3,3,3,3,2
