gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,.2871934,-.0266072,.0289392,-.0002914,-66.00585,.0065348,.3169456,.0105412,.3094987,.0369643,3,0,2,0,2
2,10,.3339802,-.0353505,.0153633,-.0016302,115.2704,.0000318,.4736141,.368603,.0000631,.1370469,3,0,0,3,0
3,10,.2600061,-.0483132,.053842,-.0011008,-73.21982,.0001399,.2677697,2.91e-06,.0001208,.1948092,3,0,3,3,0
1,20,.3242224,-.0212632,.0234663,-.0003705,-64.96969,.0000387,.5454558,.0052379,.1788316,.027528,3,0,3,0,2
2,20,.2434839,-.1472965,.0363203,-.0010714,123.743,4.94e-11,.002627,.0002812,.0012668,.0364971,3,3,3,3,2
3,20,.2360237,-.1161495,.0614844,-.001011,-69.71579,.0007556,.0280321,9.67e-07,.0001806,.1909382,3,2,3,3,0
1,30,.3218527,.0062843,.0204379,-.0003685,-57.27612,2.29e-07,.8621023,.0016471,.1613769,.0396481,3,0,3,0,2
2,30,.1438046,-.1936616,.0539082,-.0008564,139.2191,2.72e-12,3.81e-06,1.51e-11,.0007757,.0036295,3,3,3,3,3
3,30,.1766607,-.1336778,.069722,-.0008303,-72.53912,.0148122,.0436009,1.83e-08,.000576,.129596,2,2,3,3,0
1,60,.2328169,.0083222,.0192199,-.0001607,-19.09046,.0000558,.8526261,.0014815,.5054158,.4293865,3,0,3,0,0
2,60,.1214067,-.1798486,.0533605,-.0005763,73.53788,2.37e-14,.0001981,8.72e-09,.0296608,.1245933,3,3,3,2,0
3,60,.1674875,-.036805,.0478252,-.000364,-8.418738,.0004669,.6107665,6.55e-08,.0107528,.7939008,3,0,3,2,0
1,90,.1578252,.0084801,.0161817,-.0000897,9.534253,.0007586,.7961221,.0006483,.6398283,.6168782,3,0,3,0,0
2,90,.1200775,-.0898339,.0397777,-.0004779,41.57047,9.60e-12,.1156066,.0000102,.0131708,.2817737,3,0,3,2,0
3,90,.1484775,-.1560407,.0499262,-.0001457,28.24882,3.79e-07,.0025603,2.31e-10,.1316248,.2353509,3,3,3,0,0
1,120,.0789348,.0660616,.0131969,-.0001114,28.37843,.0111214,.1346419,.0010359,.4459941,.0564925,2,0,3,0,1
2,120,.1125975,-.0163758,.0273283,-.0003179,51.94061,9.35e-13,.6606905,9.43e-06,.0299384,.0731613,3,0,3,2,1
3,120,.151984,-.0098818,.0219254,-.0000102,70.2225,9.71e-07,.8660351,.004196,.9094258,.0018865,3,0,3,0,3
1,150,.0578268,.0525953,.0115576,-.0001441,35.49824,.0240294,.207999,.0044485,.2106857,.0073604,2,0,3,0,3
2,150,.0765859,-.1699172,.0447328,-.0002612,48.02758,.0009796,.1481616,.0048115,.0706075,.1001196,3,0,3,1,0
3,150,.1490891,-.0426599,.0190664,.0000327,75.99059,2.75e-06,.5390069,.0215469,.7101492,.0003858,3,0,2,0,3
1,180,.0539309,.0153631,.0121426,-.0000163,36.24333,.0551931,.766629,.0147737,.9205806,.012133,1,0,2,0,2
2,180,.0718101,-.244942,.0477991,-.0002368,36.52578,.0024847,.03769,.002377,.1005262,.2408782,3,2,3,0,0
3,180,.1274949,-.0608047,.0190492,.0000523,74.63961,.0000542,.4771868,.0284859,.5555796,.000489,3,0,2,0,3
