gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,.2597398,.0483482,.0235458,-.0002387,-7.558126,.0031412,.112959,.011049,.1300082,.8668913,3,0,2,0,0
2,10,.08478,-.1181679,.0885859,-.0012136,-193.9891,.023295,.0904217,2.70e-07,.0108214,.0907723,2,1,3,2,1
3,10,.1833432,.0011613,.0511122,-.0009148,-147.5881,.0028916,.9729204,.0000187,.0017864,.0268268,3,0,3,3,2
1,20,.2473106,.094569,.0226748,-.0001885,-9.285926,.0001742,.0146502,.0032993,.2138083,.818273,3,2,3,0,0
2,20,.1189566,-.0756104,.0672132,-.0007748,-167.9109,.0012656,.3748725,7.70e-06,.0661012,.1148064,3,0,3,1,0
3,20,.1722453,-.0184354,.0519437,-.0008591,-132.4242,.0067476,.6524227,.0000335,.0018031,.0403624,3,0,3,3,2
1,30,.2102579,.0795946,.0266441,-.0001858,-2.790018,.000058,.0681065,.0000853,.2009449,.9410836,3,1,3,0,0
2,30,.1504466,-.100475,.0507853,-.0002473,-150.089,3.08e-08,.2499227,.0000665,.4923325,.115744,3,0,3,0,0
3,30,.1172793,-.0285226,.0546764,-.0007997,-81.99374,.054684,.5116683,.0000114,.0021112,.1278436,1,0,3,3,0
1,60,.0910269,.1780472,.030258,-.0000398,.2698133,.0219918,.0010694,2.37e-07,.7363424,.9932181,2,3,3,0,0
2,60,.2008406,-.1268764,.0262674,.0003681,-131.7405,2.22e-15,.182661,.0122591,.1628555,.0485623,3,0,2,0,2
3,60,.1470209,.1263558,.0139197,-.0004425,44.91085,.0026216,.0063175,.1643072,.0171981,.1302308,3,3,0,2,0
1,90,.0455233,.1317612,.029078,-3.68e-06,4.566766,.1502585,.107355,3.12e-07,.9713013,.8599432,0,0,3,0,0
2,90,.1901297,-.8841432,.0679071,.0001192,-63.10891,1.46e-10,.0010323,5.14e-06,.589581,.2610021,3,3,3,0,0
3,90,.1044945,.2382575,.0012156,-.0004929,76.01997,.0253842,.0056005,.9294394,.0004961,.0018108,2,3,0,3,3
1,120,.0040695,.2859603,.018385,.0000604,-4.535799,.8732181,2.20e-06,.0001036,.5020586,.8346934,0,3,3,0,0
2,120,.1754354,-1.234549,.0836796,-.0001987,.6883773,5.54e-16,.0163007,.0098104,.3463493,.9909281,3,2,3,0,0
3,120,.1190416,.1988466,-.0064296,-.0004455,95.48295,.0082202,.0794034,.6932693,.0003489,.0000627,3,1,0,3,3
1,150,.0062023,.2763804,.0126527,.0001561,3.333149,.7939082,.0000475,.013562,.0683983,.8711005,0,3,2,1,0
2,150,.1607339,-1.217922,.0766621,-.000338,32.24928,1.62e-16,.0208211,.0193107,.1228881,.5216301,3,2,2,0,0
3,150,.2305852,.559042,-.0677859,-.0002774,119.9742,1.69e-07,5.27e-10,1.48e-07,.0162398,2.17e-06,3,3,3,2,3
1,180,-.0103322,.2942867,.0106265,.0001352,14.08766,.6760169,.0002605,.0948402,.1268214,.5542783,0,3,1,0,0
2,180,.1597622,-1.194576,.0680651,-.0003124,32.06089,1.21e-13,.0252798,.0367557,.1568298,.5082645,3,2,2,0,0
3,180,.2047594,.5023994,-.0628394,-.0002576,137.0172,5.36e-06,1.05e-06,3.85e-06,.0249382,1.45e-07,3,3,3,2,3
