gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,.23096,.2313657,.042288,-.0013654,-7.969945,1.96e-06,2.34e-09,3.62e-06,.0007907,.0003844,3,3,3,3,3
2,10,.1706377,.143301,-.024878,-.0044915,2.307663,.0000447,.0962921,.0522204,.0007897,.6308463,3,1,1,3,0
3,10,.1419242,.1335446,.0196065,-.0029597,3.681983,.0074244,.0007676,.1369122,1.20e-07,.292183,3,3,0,3,0
1,20,.2098909,.2568133,.0239055,-.0010708,-5.027408,2.12e-08,3.08e-08,.0022268,.0004324,.0004958,3,3,3,3,3
2,20,.1983041,.0264666,-.0295842,-.0045653,2.767276,5.83e-15,.7296096,.0020014,4.54e-06,.3443632,3,0,3,3,0
3,20,.1222668,.1381892,.0289592,-.0031446,-.8287948,.0073041,.0005365,.0112539,9.42e-12,.7647829,3,3,2,3,0
1,30,.1640654,.1808484,.0329653,-.0005279,-6.27287,9.36e-08,.0003765,8.62e-07,.0353723,3.27e-08,3,3,3,2,3
2,30,.1480331,.0028478,-.0123352,-.0034122,2.774788,4.73e-10,.9713677,.1509202,.0000295,.1958375,3,0,0,3,0
3,30,.1119229,.1224805,.0321273,-.0025906,-2.375407,.0062305,.0017845,.0018416,8.95e-11,.2053114,3,3,3,3,0
1,60,.1387973,.2054632,.0169104,-.0001675,-3.010206,6.79e-14,5.13e-06,.0000471,.1861133,2.53e-06,3,3,3,0,3
2,60,.1297078,.1615049,-.0285018,-.0016643,.8557753,5.84e-16,.1462244,.0067077,.0008764,.6276357,3,0,3,3,0
3,60,.2843884,.1209246,-.0162456,-.0007542,-5.667732,2.20e-20,.0000547,.0215445,.0008392,.0000343,3,3,2,3,3
1,90,.103697,.2221105,.0092497,4.67e-06,-1.261409,2.24e-10,.0050049,.0523595,.9631014,.0154134,3,3,1,0,2
2,90,.1182996,.4782713,-.0579899,-.0015528,-1.054927,2.40e-16,.0001759,1.95e-06,.0094887,.4962406,3,3,3,3,0
3,90,.3018302,.1431502,-.0377472,-.0002,-3.728508,9.47e-30,.000021,1.49e-08,.2103329,.0003864,3,3,3,0,3
1,120,.0871524,.33876,-.0036841,.0000454,-.2118684,4.50e-11,.0002381,.6147694,.6093393,.6620803,3,3,0,0,0
2,120,.0626472,.4703205,-.049091,-.0008195,3.086722,.0000979,.000179,6.65e-06,.0449801,.0265448,3,3,3,2,2
3,120,.305499,.2224468,-.0530205,-.000326,-2.677344,3.58e-29,3.20e-08,2.05e-12,.0317658,.0013444,3,3,3,2,3
1,150,.1101571,.4201865,-.0191677,.0000557,.5638795,2.16e-15,2.49e-33,5.06e-09,.5032972,.1534711,3,3,3,0,0
2,150,.0347187,.5672051,-.0527356,-.0006335,4.922766,.0032278,.0000346,2.22e-06,.0687141,.0001795,3,3,3,1,3
3,150,.2945346,.2599473,-.0566722,-.0002344,-2.696611,3.04e-20,1.44e-07,6.95e-09,.1045038,.0030371,3,3,3,0,3
1,180,.1417595,.4174376,-.0286309,.0002395,.9211316,4.61e-22,1.66e-31,1.24e-15,.0025638,.0177895,3,3,3,3,2
2,180,.0336061,.6085632,-.0551806,-.0004184,4.903812,.0004474,.0001673,7.00e-06,.2101076,.000088,3,3,3,0,3
3,180,.235708,.216204,-.041731,-.0000718,-2.652817,4.45e-10,.0004043,.0008053,.5938056,.003556,3,3,3,0,3
