gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,.1459872,.1653879,.0308329,-.0003793,-6.278896,.0006393,.0002034,.0011445,.4566274,.031249,3,3,3,0,2
2,10,.1901654,.4079715,-.0891089,-.0022654,-4.575849,.0003927,.0002186,2.61e-07,.1735292,.0325899,3,3,3,0,2
3,10,.2100014,.0458305,.0191513,-.0012957,-8.189744,2.61e-20,.0072651,.0029311,.0001529,.0026854,3,3,3,3,3
1,20,.1845856,.1301145,.0099914,-.0002021,-3.70792,.0002512,.0015765,.3834359,.651078,.0668897,3,3,0,0,1
2,20,.127825,.417293,-.0708478,-.0005823,-2.111398,1.45e-09,6.88e-06,1.77e-10,.5797755,.0528936,3,3,3,0,1
3,20,.1698054,.005335,.0220184,-.0010163,-5.628002,1.08e-21,.7397977,.0000124,.0000137,.003204,3,0,3,3,3
1,30,.1147956,.1318779,.0191156,-.0007401,-2.357854,.0020224,.0000234,.0328056,.0365681,.1641187,3,3,2,2,0
2,30,.1233664,.3361326,-.0577411,-.0000254,-3.499041,3.92e-06,.0028255,1.86e-06,.9823325,.0010532,3,3,3,0,3
3,30,.1486134,-.0052521,.0217189,-.0008778,-5.202927,1.20e-16,.8129764,.0000251,.000281,.0056027,3,0,3,3,3
1,60,.1534674,.1751944,-.0016901,-.0007893,-1.922246,2.13e-07,6.35e-08,.8144502,2.85e-07,.0199022,3,3,0,3,2
2,60,.0431802,.6862869,-.0648906,-.0002116,-1.265576,.0026183,.0000456,3.01e-06,.7333439,.0350588,3,3,3,0,2
3,60,.1249273,-.0883918,.023704,-.0010065,-4.270251,1.98e-16,.0000439,2.79e-07,1.12e-08,.0003012,3,3,3,3,3
1,90,.141999,.1551869,-.0078329,-.0006872,-.8084857,4.53e-13,.0040191,.0995868,4.34e-11,.1227075,3,3,1,3,0
2,90,.0257836,.7881346,-.0697129,.0004913,.2193879,.0519465,1.37e-06,1.68e-07,.2151916,.7330455,1,3,3,0,0
3,90,.1306781,-.1443742,.0163939,-.0007561,-2.463036,4.03e-20,1.64e-12,.0000904,1.99e-08,.0031777,3,3,3,3,3
1,120,.1228667,.2303142,-.0157229,-.000352,.3142146,7.51e-17,.0021355,.0065933,1.26e-06,.5203617,3,3,3,3,0
2,120,-.0122663,.9375936,-.0693201,.000794,2.449126,.2816595,1.53e-08,6.65e-08,.0096782,.0002944,0,3,3,3,3
3,120,.1222969,-.1566525,.0132967,-.0006137,-1.632331,4.88e-24,3.37e-16,.000171,9.58e-08,.0268849,3,3,3,3,2
1,150,.1293768,.3060394,-.0265954,-.0001782,1.088918,3.77e-20,3.14e-18,7.97e-11,.0061346,.0626685,3,3,3,3,1
2,150,-.0133178,.9833444,-.0673176,.0007919,2.372608,.0953929,1.47e-07,1.77e-06,.0060151,5.54e-06,1,3,3,3,3
3,150,.1177172,-.1447318,.0099315,-.000628,-2.095743,2.26e-26,1.27e-14,.0027857,3.82e-10,.0029488,3,3,3,3,3
1,180,.1264978,.3064429,-.0284622,-.0000952,1.376891,3.27e-24,1.96e-17,5.32e-13,.1124235,.0215489,3,3,3,0,2
2,180,-.0066232,.9824805,-.0650848,.0007204,2.276692,.3783275,.0000239,.0001079,.0075827,2.81e-06,0,3,3,3,3
3,180,.0967891,-.1471187,.0127318,-.000577,-1.750311,3.93e-22,1.06e-15,.000124,6.65e-10,.0112234,3,3,3,3,2
