gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,.0199328,-.2679642,-.0325498,-.0035723,147.0969,.2921588,.3256707,.3109209,.0722748,.0306391,0,0,0,1,2
2,10,.0256426,.1961506,.0038874,.0001489,-412.3144,.39564,.1838682,.8942744,.8794999,.0392517,0,0,0,0,2
3,10,.0681688,.0097263,.0033802,.0004805,852.8577,.0120879,.9241803,.8759392,.5256659,4.21e-12,2,0,0,0,3
1,20,.0264519,-.1724692,-.0529006,-.0040046,73.00011,.2522358,.6156641,.0762313,.0090498,.2262455,0,0,1,3,0
2,20,.0366548,.2431784,-.0079386,.0002593,-239.1593,.3719783,.1734832,.8332139,.7695107,.1222984,0,0,0,0,0
3,20,.0576633,.0312958,.0094775,.0003418,649.8822,.0715039,.8113677,.6940437,.6451802,7.25e-06,1,0,0,0,3
1,30,.0733959,-.7407742,-.0721104,-.0039113,8.654052,.0038215,.0361781,.0098979,.0003988,.8664906,3,2,3,3,0
2,30,.0422272,.2979852,-.0174933,.0004283,-50.15089,.2497812,.1426473,.612044,.5955229,.7320844,0,0,0,0,0
3,30,.0291274,.0251417,.0295897,.0002622,207.4494,.4438832,.661331,.2463464,.7005237,.2101672,0,0,0,0,0
1,60,.0702707,-1.051507,-.059338,-.0042023,93.07108,.0068107,.0259532,.175278,.000073,.1276094,3,2,0,3,0
2,60,.038949,.2611946,-.0235185,.0000962,70.62623,.2464973,.247453,.5227359,.8845395,.5933264,0,0,0,0,0
3,60,.0557223,.0692834,.0004064,-.0008724,-257.206,.1983882,.6739198,.9876102,.1408823,.3886582,0,0,0,0,0
1,90,-.0245062,-.6215133,.0536202,-.0033234,101.5773,.5384649,.3479077,.2088012,.0003358,.1579317,0,0,0,3,0
2,90,.047181,.2111997,-.0360218,.0004359,-29.15518,.1340124,.3130477,.2799932,.4270643,.7691628,0,0,0,0,0
3,90,.0600996,.0125002,-.0080713,-.0002486,-112.9216,.1159846,.7720779,.7435135,.6279008,.8401951,0,0,0,0,0
1,120,-.4857509,-1.233315,.7191615,-.0022133,72.8056,.4275766,.1400468,.3776458,.0050956,.1731286,0,0,0,3,0
2,120,.0158807,.1265282,-.0073731,.000243,-81.83478,.4234117,.5885814,.8055488,.6177336,.4561389,0,0,0,0,0
3,120,.0654653,-.0072498,-.0122336,.0001764,-444.1992,.0287511,.9809322,.6370829,.7137599,.1795952,2,0,0,0,0
1,150,-.0170083,-1.497881,.125707,-.0013233,69.85165,.9579959,.1165707,.7505767,.0307374,.0437569,0,0,0,2,2
2,150,.0157035,-.0770044,.007014,-.0001508,-89.06301,.379998,.7804636,.8392888,.7011188,.31881,0,0,0,0,0
3,150,.0481357,.3902283,-.0308746,.0000177,-254.8651,.0407457,.3156914,.2975211,.9606496,.084879,2,0,0,0,1
1,180,-.4042856,-1.895168,.6091408,-.0008496,59.4114,.3675367,.1287525,.2897787,.1235008,.0121748,0,0,0,0,2
2,180,.0142966,-.1816953,.0164086,-.0002999,-115.2717,.3700356,.5024201,.6116536,.4230077,.2056261,0,0,0,0,0
3,180,.0149654,.2464884,-.0051463,.0001424,-91.15796,.5545634,.6258567,.8915043,.6742911,.0174831,0,0,0,0,2
