gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,.1798703,.1370977,.0265382,-.0001615,-.1890685,1.32e-12,4.42e-06,4.82e-08,.6859357,.1860063,3,3,3,0,0
2,10,.2771865,.2333362,-.0175887,-.0064922,-2.427791,3.63e-13,.0000753,.0931474,.0007143,3.69e-06,3,3,1,3,3
3,10,.1156706,.1000173,.0486303,-.0043915,-.8085284,7.52e-06,.0019753,3.33e-07,.0006855,.0013223,3,3,3,3,3
1,20,.1427283,.1158424,.0278482,.000489,-.1018687,1.90e-17,.0065316,2.32e-11,.03028,.2768681,3,3,3,2,0
2,20,.2846099,.2242766,-.0440944,-.0052099,-.9964166,1.14e-20,2.56e-06,1.08e-07,.0002554,.0040744,3,3,3,3,3
3,20,.089916,.1234241,.0390804,-.0031347,-.421856,.0000758,.0002603,1.29e-07,.0027234,.0222016,3,3,3,3,2
1,30,.1204242,.0727453,.0304412,.0006493,-.1023602,1.11e-23,.1585912,3.19e-17,.0003106,.1831501,3,0,3,3,0
2,30,.2455965,.2687062,-.04785,-.0056433,-.4912039,5.63e-19,1.10e-06,1.34e-10,3.88e-06,.0336639,3,3,3,3,2
3,30,.0593231,.1669096,.0363211,-.0027807,-.3285681,.0010198,.0000364,1.48e-08,.0010257,.0116933,3,3,3,3,2
1,60,.0768706,.0949683,.026686,.0009785,-.0594662,9.87e-24,.047195,6.19e-22,1.18e-14,.1613475,3,2,3,3,0
2,60,.2320348,.3348143,-.0610341,-.0030968,-.3454857,7.32e-23,1.20e-08,7.44e-20,9.53e-08,.0028713,3,3,3,3,3
3,60,.0533804,.2607528,.0139504,-.0013333,-.1301304,.0001782,1.14e-07,.0059215,.0232509,.1271311,3,3,3,2,0
1,90,.0698974,.0878004,.0197342,.0011835,-.0192052,1.66e-26,.0070821,8.72e-19,1.43e-26,.5535855,3,3,3,3,0
2,90,.2603984,.4156189,-.0821956,-.0014059,-.5453434,8.53e-29,7.11e-14,1.08e-27,.0008518,3.13e-06,3,3,3,3,3
3,90,.0683815,.250693,.0018464,-.0003096,-.0362166,1.07e-06,1.19e-06,.7278376,.5300995,.5644349,3,3,0,0,0
1,120,.0570789,.136028,.0137472,.0011822,.0114132,7.51e-24,.0002293,2.50e-06,6.16e-31,.6698158,3,3,3,3,0
2,120,.2073053,.3576787,-.0616657,-.0011417,-.413152,8.75e-14,2.75e-07,3.35e-14,.0134763,.0000682,3,3,3,2,3
3,120,.0659654,.2764924,-.0041673,-.0003036,.0046942,2.95e-07,1.76e-07,.4483972,.4470781,.9285197,3,3,0,0,0
1,150,.0508958,.1428629,.0111338,.0011492,.0209999,4.97e-21,6.70e-16,6.55e-11,1.60e-32,.3938723,3,3,3,3,0
2,150,.0750599,.5086919,-.0365074,-.0015378,-.1438022,.001674,9.40e-16,5.83e-07,.0001359,.0589796,3,3,3,3,1
3,150,.0725757,.3003845,-.0098883,-.0002392,.0215975,4.90e-09,9.82e-09,.0769338,.4738573,.6058971,3,3,1,0,0
1,180,.0489672,.1291382,.0099495,.0010781,.0220724,6.64e-21,2.01e-16,1.18e-10,1.11e-32,.3436102,3,3,3,3,0
2,180,.028626,.5511833,-.0264112,-.0015513,-.0076191,.1035267,3.86e-18,.0001013,.0000119,.9104985,0,3,3,3,0
3,180,.0774376,.3407029,-.0161501,-.0002422,.0274306,1.30e-09,1.05e-10,.0050326,.4046936,.4788654,3,3,3,0,0
