gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,.14597,.1120995,.0350624,-.0004784,-2.524909,.0054508,.0023487,.0002289,.3150843,.1091071,3,3,3,0,0
2,10,.2756785,.2735536,-.0574138,-.0020854,-9.238599,1.84e-17,9.77e-06,8.01e-08,.1925878,4.48e-06,3,3,3,0,3
3,10,.2769645,.1182859,-.0103431,-.001709,-1.759587,2.11e-14,.0000844,.2345885,.0089966,.3920081,3,3,0,3,0
1,20,.1285377,.1492899,.0257992,-.000577,-1.502514,.0000944,.0007309,.0002404,.092904,.0835182,3,3,3,1,1
2,20,.2466309,.2839707,-.056532,-.002699,-4.571513,1.86e-25,3.22e-09,6.41e-14,.0023245,7.43e-06,3,3,3,3,3
3,20,.2712954,.0920644,-.0081134,-.0007536,-.5809652,4.28e-24,.0001756,.145966,.0722614,.6849422,3,3,0,1,0
1,30,.0733571,.1298045,.0325346,-.0002913,-.8605835,.0049764,.0193085,1.85e-08,.2269886,.1891832,3,2,3,0,0
2,30,.1961684,.3005953,-.0461137,-.0036965,-1.455307,3.40e-20,5.66e-07,6.29e-10,.0001434,.0420851,3,3,3,3,2
3,30,.2503379,.1315297,-.0102047,-.0006958,-.2957166,6.50e-30,2.80e-08,.0236452,.0184675,.7631951,3,3,2,2,0
1,60,-.0180475,.1845959,.0396471,-.0005709,-.1037155,.2573334,.0001646,1.61e-17,.0002028,.7862689,0,3,3,3,0
2,60,.1240864,.3836712,-.039106,-.0018029,-1.383205,4.25e-11,.0001265,.00002,.0145163,.0213687,3,3,3,2,2
3,60,.2026539,.1133233,-.0084638,-.0001553,.4086619,2.17e-28,4.59e-06,.0606061,.3965221,.5058416,3,3,1,0,0
1,90,-.029621,.1469448,.0383142,-.0007045,-.6519213,.0431113,.0094412,9.92e-22,3.28e-09,.0733157,2,3,3,3,1
2,90,.0989216,.3902233,-.0351464,-.0015433,-1.216097,4.51e-13,.0011565,.0009748,.0125082,.0023725,3,3,3,2,3
3,90,.1814348,.1254802,-.0111904,-.0000142,-.1157694,1.03e-26,.0000216,.0270264,.9181633,.7806337,3,3,2,0,0
1,120,-.0563531,.197994,.0361376,-.0006351,-1.126531,3.76e-08,.0007191,1.12e-17,7.06e-10,.0042125,3,3,3,3,3
2,120,.0804026,.3648963,-.0271655,-.0011852,-1.841227,2.35e-08,.0127601,.0150195,.0242357,7.92e-12,3,2,2,2,3
3,120,.1509825,.1088411,-.0059827,.0000474,-.6673467,7.62e-22,.0011569,.2722326,.680225,.1445962,3,3,0,0,0
1,150,-.0735272,.2340896,.0338244,-.0005408,-1.014129,3.32e-16,8.26e-20,1.38e-30,2.05e-11,.0028473,3,3,3,3,3
2,150,.0555424,.4978432,-.0314963,-.0006983,-1.833754,.0003749,.0025455,.0061687,.1546632,4.68e-07,3,3,3,0,3
3,150,.1299754,.1046648,-.003332,.0000411,-.6327207,2.68e-16,.0056805,.5782477,.7022748,.1005567,3,3,0,0,0
1,180,-.072594,.2109606,.033227,-.0005088,-1.087507,5.23e-16,1.65e-17,7.15e-30,1.21e-11,.0010953,3,3,3,3,3
2,180,.0409314,.5169865,-.0275613,-.0006748,-1.644893,.0059781,.0029468,.0193895,.1459972,.0000103,3,3,2,0,3
3,180,.1137271,.0801816,-.0006027,.0001167,-.3952007,2.43e-10,.0640566,.9313999,.2191596,.2357177,3,1,0,0,0
