gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,.0319833,.0038534,-.0017177,-.0001672,.4874015,.7700665,.8882872,.8035577,.773663,.7675266,0,0,0,0,0
2,10,.0560758,.0533165,.0094318,-.0012238,-6.581786,.6643178,.2695275,.3143636,.4618157,.0791349,0,0,0,0,1
3,10,-.0206004,.0678642,-.0069363,.0002145,.4917487,.855471,.0464479,.2814284,.821401,.6869231,0,2,0,0,0
1,20,.0844488,-.0134341,.0011576,-.0000316,-.0438195,.5509582,.6618172,.7783606,.9299954,.9646258,0,0,0,0,0
2,20,.1765062,.091641,-.0009436,.0003746,-4.80433,.1344705,.0553176,.8834758,.671632,.059384,0,1,0,0,1
3,20,.1694539,.043013,-.0033099,.0001319,-.0383672,.1097366,.0835911,.3896563,.8355026,.9462675,0,1,0,0,0
1,30,.1018328,-.0171862,.0017136,-.0000337,-.1373234,.347386,.6300527,.5343238,.887863,.834797,0,0,0,0,0
2,30,.1997302,.0704836,-.0010032,-.0001064,-3.392187,.1234207,.1144558,.8446478,.8305243,.0366817,0,0,0,0,2
3,30,.1656257,.0385679,-.00255,-.0000612,-.0840608,.2896446,.1394229,.47352,.8902258,.8753107,0,0,0,0,0
1,60,-.1047773,-.0091558,-.0003339,-.0000309,.2349245,.4649046,.8032582,.8381612,.8218105,.3898583,0,0,0,0,0
2,60,-.0142571,.0736319,-.0051797,-.000218,-1.458116,.9044688,.0912696,.2935414,.4081756,.1035884,0,1,0,0,0
3,60,.1981205,.0279501,-.0024073,-.0000124,.0310852,.0536938,.1377261,.3476108,.9506787,.9244475,1,0,0,0,0
1,90,-.1287076,.0124155,-.00114,-.0000116,.0998487,.5232546,.1286607,.1324283,.894722,.629384,0,0,0,0,0
2,90,-.0122756,.0829975,-.0064336,-.0001442,-1.105146,.9300955,.1199657,.2462182,.4803972,.1260018,0,0,0,0,0
3,90,.1055364,.0312191,-.0030301,-.0000573,.1613989,.4011416,.0369869,.0779208,.627616,.3175454,0,2,1,0,0
1,120,-.2386876,.0268278,-.0018602,6.80e-06,.0362829,.3141648,.1448733,.2345029,.9282582,.8376123,0,0,0,0,0
2,120,-.0713187,.0565458,-.0042691,-.0000939,-.6402214,.6615472,.2388491,.3708456,.5904409,.2046438,0,0,0,0,0
3,120,-.0668125,.0281457,-.0026518,2.08e-06,.1160066,.7515702,.1607313,.3051191,.9847707,.6910663,0,0,0,0,0
1,150,-.1575127,.0297767,-.0019606,-2.45e-06,.0176772,.4806021,.0863776,.1781152,.9716316,.914968,0,1,0,0,0
2,150,-.1046789,.0581864,-.005042,-.0000598,-.2341414,.4916531,.2412797,.2945124,.6695004,.5555181,0,0,0,0,0
3,150,-.0175847,.0148684,-.001225,4.55e-06,.0286743,.8594047,.3018317,.4656043,.9566621,.8769106,0,0,0,0,0
1,180,-.1743521,.0253574,-.001554,5.94e-06,-.0036182,.4250227,.0873464,.1650682,.9302005,.9806375,0,1,0,0,0
2,180,.0646256,.0479834,-.0039547,-.0000268,-.168212,.6866267,.3447832,.3879274,.8326048,.6256306,0,0,0,0,0
3,180,-.1507716,.0158079,-.001378,8.54e-06,.0652267,.2572412,.2497427,.3181478,.9267175,.6634157,0,0,0,0,0
