gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,.1176323,.111899,.0521635,.0000299,-41.02339,.1668193,.0665545,.0114152,.9254205,.0001821,0,1,2,0,3
2,10,.0489084,.4006259,-.036716,-.0051302,78.08096,.7513676,.0231585,.5125195,.0821788,.511393,0,2,0,1,0
3,10,-.1652023,.0690003,.0909069,-.0005303,-10.36528,.004369,.0472356,6.90e-07,.5517004,.242938,3,2,3,0,0
1,20,.0374779,.1327327,.0583105,-.0000972,-31.32534,.3038134,.0105933,2.58e-07,.7498762,.0001457,0,2,3,0,3
2,20,.1020938,.3529844,-.0509253,-.0029213,106.3038,.5046467,.1009808,.3681656,.1915725,.2740905,0,0,0,0,0
3,20,-.1163162,.1034388,.0800955,-.0010678,-10.61828,.073561,.0252926,.0001303,.1786719,.2002292,1,2,3,0,0
1,30,.0271629,.0677853,.056785,-.0000821,-25.23104,.3261124,.1526655,9.33e-10,.7679608,.0000661,0,0,3,0,3
2,30,.1713698,.5152499,-.0776211,-.0040995,78.48421,.1011754,.0144575,.0699445,.0062364,.3399508,0,2,1,3,0
3,30,-.0301892,.1158074,.0606492,-.0012697,-12.39547,.64826,.0123325,.0027606,.0613495,.0764038,0,2,3,1,1
1,60,.0300631,.1164508,.0338681,-.0001602,-5.699857,.0957246,.0056934,6.97e-09,.2874557,.0166157,1,3,3,0,2
2,60,.1605666,.1638308,-.0320701,-.0015067,-2.868489,.0008961,.56544,.2485293,.150667,.8936183,3,0,0,0,0
3,60,.1832973,.0210713,-.0010972,-.0002052,-2.673379,1.85e-07,.5298039,.9085094,.477064,.476338,3,0,0,0,0
1,90,.0022811,.0915023,.0328932,-.0001727,-.2669925,.849872,.0074098,2.47e-15,.0482494,.8437147,0,3,3,2,0
2,90,.1422561,.3292991,-.0487818,-.0001406,-6.39962,1.92e-08,.0353066,.000338,.6859044,.5918139,3,2,3,0,0
3,90,.1406277,-.0013981,.0039046,-.0004004,-1.290239,4.65e-09,.9587991,.5547282,.0107801,.584222,3,0,0,2,0
1,120,.006991,.1031438,.0241018,-.0001775,2.594212,.2024678,.0319745,1.00e-08,.0004108,.030924,0,2,3,3,2
2,120,.1290032,.1688896,-.034676,-.0000189,-.5880961,6.77e-15,.2220402,.0049555,.9350538,.9430221,3,0,3,0,0
3,120,.1382602,-.0374698,.0002546,-.00026,-1.203436,4.69e-09,.1583126,.9703766,.0415453,.5089768,3,0,0,2,0
1,150,.0001945,.1498045,.0186273,-.0001764,4.2323,.9571693,8.33e-07,5.78e-14,3.94e-06,.0001016,0,3,3,3,3
2,150,.1076901,.0416667,-.0179168,.0002694,-6.27488,2.86e-07,.8487113,.2763269,.2834097,.5523652,3,0,0,0,0
3,150,.1201566,-.0412203,-.0001348,-.0001895,-1.079285,1.66e-06,.1658996,.9867189,.0708861,.5505529,3,0,0,1,0
1,180,-.0016387,.1499009,.0166093,-.0001603,4.950893,.5872784,1.03e-06,1.84e-12,.0000202,.00005,0,3,3,3,3
2,180,.1094292,-.0802917,-.0072215,.0000461,-21.38125,2.43e-07,.6831061,.5894102,.8243119,.0662567,3,0,0,0,1
3,180,.0252048,-.0797934,.0253858,-.0002116,-3.692356,.2892674,.0182622,.0035934,.0385338,.0376852,0,2,3,2,2
