gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,-.0524517,-.0236675,.0060979,.000082,-7.885315,.7502315,.6645422,.3080724,.7923353,.4090855,0,0,0,0,0
2,10,1.662629,-.2330816,.0340721,.0002765,-7.237301,.03355,.6265993,.4399199,.8558722,.8846487,2,0,0,0,0
3,10,-.4188672,.0616357,-.0040096,-.0001413,-2.44641,.0437041,.2693166,.5550214,.8535109,.5814354,2,0,0,0,0
1,20,-.1287849,-.0287406,.0045921,.000044,-5.209112,.5775518,.6094988,.3673136,.865268,.4197264,0,0,0,0,0
2,20,1.125518,-.0299696,.0037177,-.0000153,2.466994,.2629578,.9214092,.8981352,.988185,.940702,0,0,0,0,0
3,20,-.3266529,.0382685,.0006021,.000206,-8.692629,.2910054,.4332399,.9049672,.7197999,.0001824,0,0,0,0,3
1,30,-.2311395,-.0022804,.004425,.0001101,-6.905663,.5104775,.9620492,.3092708,.5597724,.3442302,0,0,0,0,0
2,30,.5453121,.0035147,-.00665,.0000363,20.30029,.6410288,.989508,.7979754,.9482796,.4523492,0,0,0,0,0
3,30,-.1937968,.0208767,-.0007332,.0001302,-1.508368,.6087998,.6936156,.8798505,.7588103,.5165695,0,0,0,0,0
1,60,.7852593,-.0319281,.0050345,.0000617,-4.905206,.3549201,.5250424,.165752,.5710366,.3411328,0,0,0,0,0
2,60,-.5289149,-.0656098,.0060009,.0000394,.6718946,.4964303,.7339247,.7829099,.9034978,.9355327,0,0,0,0,0
3,60,-.3304783,.0012496,-.0005955,-.0000932,1.053729,.0537292,.9581282,.8128756,.6119952,.395206,1,0,0,0,0
1,90,.7684644,.0087808,.0015587,.0000633,-2.886292,.3882071,.63709,.4878724,.4012802,.3990774,0,0,0,0,0
2,90,-.854879,-.0619893,.0057298,-6.30e-06,.2487023,.2170012,.7766804,.7972096,.9719479,.9677653,0,0,0,0,0
3,90,-.7751724,.0226838,-.001804,-.0000622,-.4987946,.333778,.3411004,.3741308,.7444981,.675325,0,0,0,0,0
1,120,.6480989,.0137927,.0000999,.0000146,-1.390117,.3832957,.5915661,.9549733,.7825395,.5032257,0,0,0,0,0
2,120,-.4527247,.0052997,-.002511,5.82e-06,5.00105,.3850459,.9771728,.8879939,.966846,.3071459,0,0,0,0,0
3,120,-.0251161,.0045462,.0000851,.0000457,-.756641,.9027123,.8166566,.9534914,.6178008,.3930045,0,0,0,0,0
1,150,-.1101138,.0157663,-.0007582,.0000245,-.120951,.6487817,.59975,.6461279,.5351525,.8914554,0,0,0,0,0
2,150,.1165156,.023293,-.0044497,-.0000544,7.201252,.7763768,.9139973,.819655,.6726922,.2594018,0,0,0,0,0
3,150,.0886893,.007133,-.0000658,.0000296,-.9961777,.7247236,.7215153,.964927,.7826611,.1028408,0,0,0,0,0
1,180,-.4253643,.0104581,-.0004745,.0000347,.0251819,.0064499,.7175831,.7467839,.3368053,.9704801,3,0,0,0,0
2,180,-.0171627,.091454,-.0100043,-.0000551,6.377457,.9588264,.7157302,.6400621,.6622853,.3964609,0,0,0,0,0
3,180,-.3889183,.0134347,-.0007166,.0000221,-.4935203,.3163821,.6032978,.6804118,.8242514,.1926888,0,0,0,0,0
