gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,.0474613,.07101,.0565664,-.0009162,-5.665154,.3535541,.082544,1.60e-10,.2261637,.0013932,0,1,3,0,3
2,10,.2949089,-.0566495,.0049992,-.0060746,-3.004717,1.11e-08,.4357317,.6572418,.0000576,.2909314,3,0,0,3,0
3,10,.0172072,.0949894,.0451593,-.0023608,-4.06004,.841472,.0751473,.0029231,.0481459,.1407952,0,1,3,2,0
1,20,.080224,.0969292,.0445457,-.0009785,-6.450861,.054406,.0057977,1.41e-09,.0708734,.0000337,1,3,3,1,3
2,20,.2512728,-.123496,.025163,-.0059559,-7.59787,8.68e-18,.0255915,.0009795,7.52e-08,.0036179,3,2,3,3,3
3,20,-.1198843,.1577753,.0690998,-.0017351,-11.10042,.0936687,.0024001,3.68e-08,.0214767,.0010277,1,3,3,2,3
1,30,.1206745,.0811573,.031828,-.0012612,-6.057512,.0001816,.0078488,1.63e-08,.0061945,2.66e-06,3,3,3,3,3
2,30,.1971391,-.1407357,.0356331,-.0066264,-6.166475,1.80e-14,.0160398,3.07e-07,3.86e-11,.005663,3,2,3,3,3
3,30,-.0125043,.0653368,.0558505,-.0009244,-11.87432,.8340438,.169284,2.45e-07,.0779858,.0002153,0,0,3,1,3
1,60,.0672771,.1659009,.0199014,-.0010356,-2.808328,.0044978,8.92e-07,4.65e-06,.0020115,.0008625,3,3,3,3,3
2,60,.2143307,-.0525092,-.0004137,-.0027957,-4.247767,9.58e-20,.381097,.9499484,1.62e-06,.0001871,3,0,0,3,3
3,60,.4141791,-.1135694,-.0219779,-.0000156,-7.91091,3.22e-22,.0037151,.0019956,.9520721,.0000325,3,3,3,0,3
1,90,-.07275,.1984525,.0282253,-.0004251,-1.870994,.0011822,.0026219,2.57e-10,.1371423,.0005321,3,3,3,0,3
2,90,.1672333,.3923309,-.0503458,-.0003399,-2.572138,7.52e-27,1.90e-10,9.62e-15,.378392,2.90e-07,3,3,3,0,3
3,90,.3414864,-.0649484,-.0260436,.0000526,-4.504438,4.47e-20,.0893591,.0000659,.8074616,.0000152,3,1,3,0,3
1,120,-.1173868,.3233747,.020647,-.000315,-1.606379,6.07e-09,.0001827,.0003258,.2643797,.0012405,3,3,3,0,3
2,120,.1502947,.3340343,-.0427858,-.0000559,-2.461596,1.87e-18,.0001631,1.71e-08,.8852591,2.92e-08,3,3,3,0,3
3,120,.3409796,-.0471027,-.0337631,.000041,-4.288774,4.20e-18,.2694276,6.77e-06,.8414621,.000018,3,0,3,0,3
1,150,-.1496267,.4185348,.0153355,-.0003322,-1.353414,1.01e-13,8.92e-17,.0001666,.1703748,.0041518,3,3,3,0,3
2,150,.1734477,.3295412,-.052148,-.0001282,-1.959942,2.90e-17,.0010789,2.53e-09,.7155675,9.95e-07,3,3,3,0,3
3,150,.3523187,-.0497225,-.0420121,.000139,-3.208171,1.68e-18,.2989315,1.74e-06,.4911579,.0000992,3,0,3,0,3
1,180,-.1947108,.4176603,.0199351,-.0001836,-1.316408,1.46e-18,2.35e-16,3.71e-06,.4185169,.0017818,3,3,3,0,3
2,180,.1504504,.6192041,-.0755245,.0001585,-1.298414,3.07e-15,3.55e-08,2.07e-14,.6384746,.000317,3,3,3,0,3
3,180,.3145905,.0120644,-.0445434,-4.39e-06,-2.59497,9.67e-13,.8319289,.0000225,.9826218,.000195,3,0,3,0,3
