gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,.1418359,.1717202,.0468359,-.0003375,-4.693176,.0016653,.0000305,1.82e-07,.4531768,.0070798,3,3,3,0,3
2,10,.264805,.1246285,-.021986,.0009728,-6.303058,3.02e-06,.093067,.237153,.2538558,.0084429,3,1,0,0,3
3,10,.0452166,.1192015,.0670429,-.002894,-10.44767,.2782276,.0003176,2.84e-08,4.66e-06,.0000187,0,3,3,3,3
1,20,.12157,.1371928,.0433296,.0001897,-5.078679,.0001004,.0023422,4.81e-09,.5568047,3.28e-06,3,3,3,0,3
2,20,.1861263,.1187222,-.0101456,.0008109,-4.917579,4.19e-10,.1018398,.3397335,.1586609,.0012019,3,0,0,0,3
3,20,.1055614,.1161019,.0472318,-.0016657,-8.988786,.0003651,.00017,5.48e-07,.0001273,4.25e-09,3,3,3,3,3
1,30,.0825363,.1024486,.0432108,.0002012,-4.102741,.0015108,.0233046,4.21e-11,.4603947,.0001123,3,2,3,0,3
2,30,.1484881,.1627655,-.0069076,.0010158,-3.263859,5.25e-11,.0152143,.4435739,.0593957,.0053483,3,2,0,1,3
3,30,.1385286,.0781557,.0274977,-.0010848,-5.70065,1.11e-06,.0069612,.0010375,.0008385,3.03e-08,3,3,3,3,3
1,60,-.0058046,.2203967,.0382975,-.0000188,-3.061305,.6773273,3.91e-06,1.14e-16,.8926904,1.49e-08,0,3,3,0,3
2,60,.1286707,.3393441,-.033592,.0005158,-1.124266,4.08e-12,.0001186,.0003753,.1792149,.0503689,3,3,3,0,1
3,60,.1385393,.1192995,.0077934,-.0009723,-1.739519,1.41e-11,.000052,.2441311,7.04e-06,.0218752,3,3,0,3,2
1,90,-.0404928,.1683602,.0370985,-.0000206,-2.060278,.0002586,.0140088,1.14e-12,.8393213,2.49e-07,3,2,3,0,3
2,90,.1151029,.52149,-.0572317,-.0000128,-.6515862,1.11e-16,6.57e-10,1.72e-10,.9633098,.0626318,3,3,3,0,1
3,90,.0738721,.0570406,.0166659,-.0012153,-.2984229,9.12e-06,.0698417,.0065575,1.65e-10,.6005031,3,1,3,3,0
1,120,-.062302,.2457025,.0306773,.0001421,-1.631745,1.04e-10,6.15e-06,2.15e-10,.0723839,3.24e-07,3,3,3,1,3
2,120,.1197417,.4299899,-.0503772,.0001257,-.3371602,4.33e-15,.0000905,6.52e-08,.5405972,.1319153,3,3,3,0,0
3,120,.0223898,-.0593407,.0337315,-.0012035,-.0956427,.1673132,.1093796,1.10e-06,3.56e-12,.8606662,0,0,3,3,0
1,150,-.0704831,.2940677,.0257293,.000235,-1.413712,4.67e-15,2.94e-23,3.00e-20,.0012959,5.15e-07,3,3,3,3,3
2,150,.1274798,.387666,-.0497329,-.000087,-.5222878,1.87e-15,.0032302,1.55e-06,.6471528,.0098434,3,3,3,0,3
3,150,-.0103189,-.1512416,.0448772,-.0010739,.0904431,.5387611,.0001534,2.33e-09,1.96e-11,.858166,0,3,3,3,0
1,180,-.0774959,.2803293,.0258021,.0002738,-1.258273,2.95e-18,8.71e-23,1.12e-20,.0000329,1.12e-06,3,3,3,3,3
2,180,.1106548,.4682944,-.0522958,-.000092,-.3701633,7.39e-11,.0015075,8.20e-07,.6379989,.0622656,3,3,3,0,1
3,180,-.0350627,-.2197268,.051387,-.0009388,.2970903,.0570291,5.68e-07,2.40e-10,7.61e-10,.5451828,1,3,3,3,0
