gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,.3050317,.062757,.0391279,.0011154,35.39796,.1296204,.6223875,.0175801,.0636906,.3785736,0,0,2,1,0
2,10,.3031318,-.0187968,.0677516,-.0000608,145.6795,.0000148,.7065522,1.10e-08,.8069338,.034757,3,0,3,0,2
3,10,.1205627,.0733325,.0718082,.0002862,22.28187,.0020142,.0274642,8.02e-18,.0700521,.642836,3,2,3,1,0
1,20,.2548841,.0861627,.0461674,.0012143,24.43709,.0956663,.5893046,.0016566,.0881556,.6018962,1,0,3,1,0
2,20,.2507834,-.0622465,.0732165,-.0002174,155.2969,.0001337,.3115367,7.95e-10,.3745775,.0297186,3,0,3,0,2
3,20,.0651139,.0645909,.0792135,.0002478,27.57538,.0961498,.1631288,3.60e-18,.1021421,.5672768,1,0,3,0,0
1,30,.1763398,.1006023,.0561276,.0011032,18.77662,.1464863,.5555083,.0001912,.1082788,.6975596,0,0,3,0,0
2,30,.2406803,-.108148,.0761144,-.0002028,118.7695,1.25e-07,.151394,1.32e-13,.3674422,.0639843,3,0,3,0,1
3,30,-.0070273,.0158065,.0901179,.0001852,27.49594,.8502205,.6327666,6.24e-24,.1997005,.5586022,0,0,3,0,0
1,60,.0860566,.137298,.0632218,.0011118,19.34511,.305631,.6218142,.0144365,.068663,.6598956,0,0,2,1,0
2,60,.171402,.1210472,.0651633,-.0002009,82.13361,2.53e-20,.0813121,6.78e-16,.1993845,.0364324,3,1,3,0,2
3,60,-.0671399,-.1558009,.1023406,.0000962,16.99999,.0180793,.0018344,8.70e-35,.3858066,.6344327,2,3,3,0,0
1,90,.0449235,.1803084,.0619404,.0010898,24.82736,.6068474,.6049702,.0565604,.0595548,.5550226,0,0,1,1,0
2,90,.1250333,.1362243,.0659924,.0000704,54.24635,6.45e-14,.0216724,6.24e-21,.5790724,.0828312,3,2,3,0,1
3,90,-.1325866,-.0374237,.1007177,.000057,32.79679,9.94e-08,.4153032,0,.5451047,.246622,3,0,3,0,0
1,120,.0577997,.4407443,.0408851,.0011218,24.82063,.642971,.371898,.3974452,.043371,.5423321,0,0,0,2,0
2,120,.123576,.0878206,.0651767,-.0000147,27.18974,4.90e-14,.1587155,3.80e-18,.9070817,.2645911,3,0,3,0,0
3,120,-.2069659,-.0800642,.1096073,-.0000574,36.75953,6.83e-18,.2332898,1.35e-38,.4691566,.0968865,3,0,3,0,1
1,150,.1482451,.1891934,.048205,.0014385,19.85393,.2850159,.7926022,.4266822,.0161986,.6327746,0,0,0,2,0
2,150,.1355387,.1369022,.0567834,.0000105,12.51993,3.35e-14,.0187968,4.76e-16,.9315729,.5548127,3,2,3,0,0
3,150,-.2673326,-.0648936,.1145007,-.0000957,31.63685,2.41e-27,.3644924,0,.1384083,.0684254,3,0,3,0,1
1,180,.181196,.0366153,.0509263,.0016085,24.83496,.0359946,.9618055,.3725422,.0102241,.5249934,2,0,0,2,0
2,180,.1187719,.1521076,.0550272,.0000531,18.90042,7.40e-10,.0092581,6.27e-16,.6792582,.4621356,3,3,3,0,0
3,180,-.3159835,-.0272628,.1164461,-.0001536,26.22826,2.08e-38,.7048755,0,.004857,.0673944,3,0,3,3,1
