gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,.3169581,.1473731,.0315316,-.0018847,-3.902738,2.13e-06,.0023187,.0035542,.0024238,.0155327,3,3,3,3,2
2,10,.1760666,.2050947,-.0125832,-.0040486,-.9422843,2.10e-08,.0063491,.2677927,.0033467,.6833237,3,3,0,3,0
3,10,.3829603,-.0093253,.0056498,.0011387,-3.982053,2.57e-12,.7798856,.5711416,.0466896,.0670406,3,0,0,2,1
1,20,.284461,.2130236,.0162332,-.0019539,-2.245075,2.17e-09,.0000417,.0557741,.0000631,.0499976,3,3,1,3,2
2,20,.1459623,.3127941,-.0225562,-.0025664,-1.077493,4.39e-10,.0000198,.0085788,.0061179,.5015854,3,3,3,3,0
3,20,.3197657,.0500268,.0010312,-.0000456,-.6800766,1.55e-14,.1204053,.8918699,.9069794,.5784551,3,0,0,0,0
1,30,.2389551,.2032359,.0130992,-.0015555,-1.954973,7.29e-11,.001253,.0548344,.0000939,.0119139,3,3,1,3,2
2,30,.1338139,.4612236,-.0324848,-.0028584,-1.7538,5.80e-11,3.70e-10,.00003,.0002839,.23421,3,3,3,3,0
3,30,.3116191,.1819065,-.0109209,-.0002337,-.6255041,7.90e-17,6.58e-08,.1073028,.4684657,.4400835,3,3,0,0,0
1,60,.1065375,.3295988,.0099006,-.0008449,.1385037,1.87e-06,4.20e-07,.0565251,.0000516,.6996031,3,3,1,3,0
2,60,.1349116,.5691481,-.0543965,-.0013263,-.6444502,2.05e-15,3.50e-10,8.61e-10,.0091286,.4376596,3,3,3,3,0
3,60,.337522,.3264839,-.0420944,-.0008738,1.464986,9.09e-30,8.93e-19,2.15e-13,.0000303,.00021,3,3,3,3,3
1,90,.0681872,.2445371,.0144514,-.0004512,.0132362,.0001279,.0110743,.0123091,.0020382,.9599059,3,2,2,3,0
2,90,.11513,.6664761,-.0597712,-.0008166,-.949627,7.58e-14,1.85e-10,1.00e-09,.0790773,.1800989,3,3,3,1,0
3,90,.3615938,.2615158,-.0527426,-.000269,1.165003,3.47e-37,3.29e-13,1.03e-20,.1013784,.0041196,3,3,3,0,3
1,120,.0478544,.335812,.006934,-.0003171,-.0331163,.0020033,.0000854,.3410098,.0064118,.8894358,3,3,0,3,0
2,120,.0570756,.7374396,-.0580441,-.0001717,1.23732,.0004942,1.62e-09,2.31e-08,.692232,.1681396,3,3,3,0,0
3,120,.3620632,.2579764,-.0574242,-.0000132,.8826957,1.07e-36,4.12e-11,1.31e-19,.9307336,.0550317,3,3,3,0,1
1,150,.0466389,.4409157,-.0038858,-.0001276,.0156139,.0004951,2.00e-26,.1894291,.2329657,.9450147,3,3,0,0,0
2,150,.0021916,.8984279,-.0635889,.0004177,3.019491,.8652714,3.87e-12,1.74e-10,.2750849,.0003735,0,3,3,0,3
3,150,.3913233,.3511313,-.0751161,.0000553,1.017204,1.61e-33,1.14e-13,3.52e-20,.7105079,.0106651,3,3,3,0,2
1,180,.0599257,.4780275,-.0115168,-.0001163,.2388773,2.98e-07,1.93e-28,.000052,.2207852,.2660093,3,3,3,0,0
2,180,-.0202404,.8491028,-.0530221,.0007034,3.762048,.0824063,1.01e-09,1.65e-07,.0611208,.000018,1,3,3,1,3
3,180,.3710606,.3541169,-.0725051,.0001586,.4547857,3.60e-24,3.58e-12,1.22e-14,.2822281,.1720136,3,3,3,0,0
