gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,.2119386,.0760402,.0555593,-.0003825,-21.31525,.0012328,.1208091,8.44e-06,.232191,.0153111,3,0,3,0,2
2,10,.2461405,.1241926,-.0280932,-.0009121,142.7898,.0002558,.1518064,.2423535,.5020972,.1055719,3,0,0,0,0
3,10,.0491712,.0818663,.1188575,-.0031344,-121.8044,.5279239,.0815199,6.14e-08,.0000979,.0279668,0,1,3,3,2
1,20,.114554,.1327738,.0439413,-.0006072,-8.299047,.0046337,.0049576,4.14e-07,.0120838,.1465951,3,3,3,2,0
2,20,.2161281,.0093944,-.0235426,-.0013517,155.1496,.0000259,.8938875,.169236,.1824053,.0102982,3,0,0,0,2
3,20,.000298,.1132392,.088634,-.0022393,-47.40181,.9965163,.0404339,6.65e-07,.0000936,.1991484,0,2,3,3,0
1,30,.1338239,.0839415,.0295391,-.0003105,-5.997421,.0004056,.0306959,.0000765,.1266286,.1754652,3,2,3,0,0
2,30,.1588189,-.0195328,-.0097387,-.0006278,133.1003,2.68e-06,.7955334,.4642581,.3690142,.0014747,3,0,0,0,3
3,30,.1202297,.0514615,.0475039,-.0012265,-8.13624,.0079632,.3111536,.0002339,.0021761,.7353358,3,0,3,3,0
1,60,.1071643,.1428647,.016219,.000173,.7779256,8.46e-06,.0012388,.0012147,.1076491,.6252025,3,3,3,0,0
2,60,.1201664,.1451618,-.0064476,-.0015538,72.84035,1.06e-08,.0623174,.6143975,.0026607,.0050215,3,1,0,3,3
3,60,.2038665,.1148542,.0053034,-.0001744,10.37727,8.59e-12,.0007272,.4509718,.3488959,.3901078,3,3,0,0,0
1,90,.0576518,.1443599,.0154152,.0003851,2.701925,.002542,.0040964,.0002397,2.67e-06,.0508601,3,3,3,3,1
2,90,.0976976,.5297841,-.044629,-.0018222,63.98424,1.49e-06,3.34e-09,.0005798,.000193,.0021507,3,3,3,3,3
3,90,.2521458,.1206033,-.0147122,.0000858,2.111366,6.52e-10,.000382,.0904904,.5836243,.819966,3,3,1,0,0
1,120,.016937,.2512799,.0094864,.0004039,4.283458,.2617095,.0006357,.0961679,8.49e-09,.0028563,0,3,1,3,3
2,120,.1069211,.4058348,-.0413691,-.0017361,77.35655,2.08e-08,.0028158,.0172555,.0005598,.0000813,3,3,2,3,3
3,120,.3051895,.1254909,-.0358181,.000184,7.932283,7.17e-13,.0002159,.0001044,.1695157,.3005297,3,3,3,0,0
1,150,-.0023777,.3548972,.0015922,.0003876,6.260012,.8728767,5.23e-16,.6657614,5.03e-10,.0001353,0,3,0,3,3
2,150,.0987723,.5018663,-.0511676,-.0016304,77.6609,.0000336,.000347,.0027792,.0003905,.0000945,3,3,3,3,3
3,150,.202256,.0789863,-.0154214,.0002581,12.36715,8.24e-07,.0236035,.1069779,.0407276,.091071,3,2,0,2,1
1,180,-.0076998,.3585651,-.0003888,.0003739,7.037775,.5935237,3.24e-18,.9110807,4.80e-11,.0000309,0,3,0,3,3
2,180,.111821,.7234587,-.0740485,-.0017016,70.81283,8.97e-06,2.93e-06,.0000449,.0000916,.0002257,3,3,3,3,3
3,180,.1059516,.027456,.003959,.0003368,17.7661,.0245893,.4494214,.7286435,.0031858,.0114538,2,0,0,3,2
