gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,.1763127,.2136686,.0604012,-.0001831,-26.25927,.0000501,5.15e-07,3.53e-09,.6259929,1.23e-08,3,3,3,0,3
2,10,.188169,.2126046,.0169323,-.0011646,-49.49552,.0000486,.0023619,.2456169,.2322932,.0006867,3,3,0,0,3
3,10,.0801373,.1061569,.0687987,-.0006414,-21.22989,.1982716,.008069,.0000129,.3646125,.0001729,0,3,3,0,3
1,20,.167335,.1986887,.0410628,-2.08e-06,-22.87641,5.13e-06,7.08e-06,3.69e-06,.9937873,1.87e-11,3,3,3,0,3
2,20,.1661273,.1514913,.0209797,-.0016581,-41.48085,4.65e-11,.0416153,.0199724,.0126294,.0000238,3,2,2,2,3
3,20,.1860263,.0935576,.0365428,-.0012322,-18.27308,.0000227,.0082751,.0007341,.0151167,.0000271,3,3,3,2,3
1,30,.156629,.0577296,.0377598,-.0001367,-19.10366,8.95e-08,.2889931,3.47e-08,.5179977,2.57e-08,3,0,3,0,3
2,30,.1275422,.1616221,.0210589,-.0023198,-26.37818,3.10e-06,.0575075,.021089,.0002615,.0000976,3,1,2,3,3
3,30,.1824975,.0130717,.0339364,-.0010974,-12.25418,9.44e-06,.7087947,.0007419,.0044091,.0005829,3,0,3,3,3
1,60,.1438003,.1346457,.0146178,-.0002102,-6.714025,1.33e-15,.0080187,.000085,.0799749,9.72e-09,3,3,3,1,3
2,60,.1446029,.1766212,-.0105231,-.0015948,-5.651042,3.12e-18,.1152715,.3213629,1.47e-07,.0402895,3,0,0,3,2
3,60,.3502548,.0481637,-.0297368,-.0009408,-4.854184,2.73e-26,.0487946,.0000608,5.00e-06,.0599574,3,2,3,3,1
1,90,.1214322,.1339111,.0073289,-.000226,-2.587845,1.14e-18,.0065837,.0213808,.01139,.0011257,3,3,2,2,3
2,90,.1171093,.498194,-.0449227,-.0005396,-1.110879,7.06e-20,.0000207,.0000609,.0334694,.5632704,3,3,3,2,0
3,90,.2623028,.0511383,-.0233509,-.000639,-.3633693,4.72e-25,.0712804,.0000268,.000055,.8575922,3,1,3,3,0
1,120,.1105537,.2404207,-.0035007,-.0001308,-1.407825,6.00e-19,.0004489,.5014051,.1024309,.0300268,3,3,0,0,2
2,120,.0971946,.4607525,-.0357821,-.0007901,-.8872197,2.32e-13,.000478,.0014513,.0046318,.722362,3,3,3,3,0
3,120,.2507792,.0290956,-.0256972,-.0005161,.1438032,1.14e-25,.3238791,1.13e-06,.0009998,.9438997,3,0,3,3,0
1,150,.1283652,.3767998,-.0209123,.0000265,-.4680258,3.16e-24,5.17e-27,8.02e-13,.683134,.4995202,3,3,3,0,0
2,150,.0960013,.4402441,-.036396,-.0008003,.1653749,1.22e-14,.000622,.0006571,.000438,.9489469,3,3,3,3,0
3,150,.2943178,.040977,-.0425908,-.0004077,.7443485,1.63e-26,.1765547,3.69e-10,.0036432,.7016357,3,0,3,3,0
1,180,.1412797,.3844566,-.0271349,.0000656,-.0973861,4.00e-29,7.78e-31,1.37e-18,.2414559,.8857571,3,3,3,0,0
2,180,.0852209,.5327982,-.0449827,-.0006716,3.932137,4.96e-13,.000053,.0000193,.0030659,.1752826,3,3,3,3,0
3,180,.2816425,.0815566,-.0474261,-.0003683,1.544137,4.43e-21,.0163791,1.65e-09,.0019253,.3464136,3,2,3,3,0
