gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,.1637314,.079845,.0482464,-.0021212,-.6945926,.0007977,.0103736,1.17e-06,1.66e-07,.3207543,3,2,3,3,0
2,10,.3742554,.2457112,-.0080398,.0001442,-3.860636,3.78e-14,7.28e-06,.4942196,.9176739,8.34e-06,3,3,0,0,3
3,10,.2066902,.2027056,.0150504,.0025763,.3151794,1.26e-07,4.23e-08,.1037431,.0077851,.6679384,3,3,0,3,0
1,20,.1524141,.0651198,.039319,-.0020892,-.9146222,2.27e-07,.0879439,2.68e-08,2.37e-12,.0334781,3,1,3,3,2
2,20,.2994329,.2105675,.003437,-.0005324,-2.942842,1.86e-16,.0000543,.6722462,.5890805,2.32e-08,3,3,0,0,3
3,20,.1597328,.2386968,.0335208,.0002894,-.2553608,4.08e-08,3.17e-13,1.47e-06,.6362882,.506662,3,3,3,0,0
1,30,.1501731,.0608474,.0289509,-.0018564,-.3709082,3.41e-09,.1643661,1.25e-06,4.56e-14,.243363,3,0,3,3,0
2,30,.2001941,.1919226,.0144395,-.0011082,-1.543993,4.07e-17,.0005383,.0320017,.1599478,.0001137,3,3,2,0,3
3,30,.1451473,.2416221,.0413682,.0003982,-.7303327,4.98e-10,2.66e-15,7.07e-13,.3654728,.0052743,3,3,3,0,3
1,60,.0011293,.2016273,.03611,-.0010818,-.0036014,.6522902,.0000491,3.15e-18,1.98e-14,.9842071,0,3,3,3,0
2,60,.1514658,.3329202,-.0111693,-.0009091,-.7920923,2.72e-16,1.89e-07,.0716276,.0566832,.0012989,3,3,1,1,3
3,60,.1044828,.3195298,.0296464,-.001008,-.2698241,8.93e-19,2.51e-29,4.56e-18,.0000292,.0273434,3,3,3,3,2
1,90,-.0019902,.1867938,.028099,-.0007567,.0989124,.389458,.0127461,3.98e-11,2.63e-13,.643469,0,2,3,3,0
2,90,.142933,.4096233,-.0338427,.0003611,-.2338261,4.72e-27,6.68e-10,8.86e-08,.2876414,.2502104,3,3,3,0,0
3,90,.1032296,.279128,.0200407,-.0009394,-.0346716,5.21e-22,4.24e-25,8.21e-12,1.70e-06,.6870463,3,3,3,3,0
1,120,-.004266,.3118353,.0165951,-.0005656,-.191206,.2095135,.0005368,.0012117,2.34e-10,.3628779,0,3,3,3,0
2,120,.1121857,.3569415,-.0307302,.0007896,.2858078,1.81e-14,.0000878,.0000359,.0109192,.1990554,3,3,3,2,0
3,120,.10103,.2719936,.0130976,-.0007961,.0282714,1.47e-23,5.01e-23,1.72e-06,6.50e-06,.719626,3,3,3,3,0
1,150,-.0023031,.4383166,.0072393,-.0003989,-.4693599,.2340863,4.71e-35,3.59e-07,3.64e-09,.0001854,0,3,3,3,3
2,150,.0575905,.5120868,-.0360866,.0006656,.6167748,.0015461,3.69e-06,4.65e-06,.0302832,.023269,3,3,3,2,2
3,150,.08724,.2838112,.0110841,-.0008251,.069893,3.86e-21,9.97e-25,.0000609,2.00e-09,.2526529,3,3,3,3,0
1,180,-.0012483,.4439645,.0046877,-.0002392,-.4542916,.4995849,0,.0000886,9.23e-06,.0000264,0,3,3,3,3
2,180,.0137721,.6079282,-.0344506,.0004507,.8257256,.4601519,1.86e-07,.0000115,.1539535,.0022145,0,3,3,0,3
3,180,.0864478,.2959776,.0065788,-.0007144,.0944289,2.23e-21,3.94e-25,.0199259,7.73e-10,.0854169,3,3,2,3,1
