gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,-.0265041,-.8810702,.0693111,.00092,0,.9236237,.0364814,.0447456,.5902258,,0,2,2,0,0
2,10,-.151329,-.0232025,.0030828,-.0000771,-1301.464,.4868333,.9049685,.8645476,.9307491,.2596033,0,0,0,0,0
3,10,.129229,.0238167,-.0004608,-.0004078,-2207.542,.3186339,.8196394,.9567088,.3526589,1.44e-25,0,0,0,0,3
1,20,-.336191,-.9064073,.0627702,.0002752,0,.4854226,.0674305,.1061213,.8682731,,0,1,0,0,0
2,20,-.1035628,-.072002,.0045648,-.0002374,-848.412,.7241275,.7519763,.7921226,.7445751,.2628424,0,0,0,0,0
3,20,.2823892,.0349556,-.000685,-.0004372,-2329.859,.1737366,.7497216,.9264886,.2798698,3.38e-20,0,0,0,0,3
1,30,.1563843,-.5905487,.042015,.0004538,0,.7758533,.2091043,.3028958,.7785755,,0,0,0,0,0
2,30,-.5209733,-.2943085,.0140477,-.0005978,-182.094,.2516867,.2767549,.456771,.3664574,.6206814,0,0,0,0,0
3,30,.4707679,.0364654,-.0008915,-.0004116,-2323.802,.1951318,.4274636,.8717211,.2654366,1.14e-14,0,0,0,0,3
1,60,-.3383052,.418549,-.0310938,.0001313,0,.5286469,.5107694,.5527734,.8982779,,0,0,0,0,0
2,60,-.7159413,-.0604184,.0024784,-.0002274,65.818,.4330401,.8205642,.8799277,.6597401,.8181722,0,0,0,0,0
3,60,.9199951,.0731537,-.0032138,-.000274,-2030.798,.1456931,.6371279,.6918719,.2951172,3.46e-14,0,0,0,0,3
1,90,-.3902576,.5545027,-.0395699,.0003495,0,.4797397,.5099558,.5347017,.6288502,,0,0,0,0,0
2,90,-.0973788,-.0029855,.0001559,-.000018,-80.0525,.9210229,.9909431,.9925476,.9635857,.711006,0,0,0,0,0
3,90,.7189516,.073953,-.0034312,-.0000918,-1354.126,.237996,.0039327,.2957601,.5775302,1.12e-13,0,3,0,0,3
1,120,1.046747,.1466436,-.007558,.0005265,0,.6405939,.9139481,.9393362,.5140873,,0,0,0,0,0
2,120,-.8648764,.1100887,-.0081467,.0001063,55.54092,.2685563,.6473476,.6182279,.6939738,.7209141,0,0,0,0,0
3,120,1.26906,.0971932,-.0053058,-.0001282,-980.8984,.0034477,.5412439,.5927311,.3057005,2.20e-18,3,0,0,0,3
1,150,-1.500875,.5160269,-.0303726,.0001756,0,.5210463,.7342848,.7724507,.8337007,,0,0,0,0,0
2,150,.1660725,-.0025601,.0005154,.0001077,-88.89587,.8173221,.9897856,.9683245,.6432901,.4988587,0,0,0,0,0
3,150,1.001269,-.0822291,.0045679,-.0000717,-421.4577,.0019051,.6886874,.7226226,.5106506,8.17e-15,3,0,0,0,3
1,180,-1.96046,1.247871,-.0773297,.0001397,0,.2258678,.3791378,.3991154,.8498361,,0,0,0,0,0
2,180,.3616429,.0506691,-.0028793,.0001216,-122.7448,.6237338,.7655308,.7828264,.5579172,.4575788,0,0,0,0,0
3,180,.6297654,-.1878006,.0100613,-.0000648,22.60087,.037685,.346752,.3926868,.5393222,.4601864,2,0,0,0,0
