gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,.0946265,-.0191695,-.0701601,.0018559,-35.61719,.0000214,.8334137,.0000827,.1596557,.0000335,3,0,3,0,3
2,10,-.0239859,-.1766124,.0153287,-.0102751,-.3482934,.2779457,.1133719,.457517,.0002402,.4540142,0,0,0,3,0
3,10,.0368702,-.1019478,.0572123,-.0003892,-2.334668,.0042847,.0002497,1.75e-08,.5379359,2.23e-07,3,3,3,0,3
1,20,.1759795,.0462509,-.1384453,.0025203,-33.20124,.0022655,.6702076,.0001098,.1291373,.0016952,3,0,3,0,3
2,20,-.0027983,.0098538,-.0002026,-.007519,-.6130952,.9488807,.9529706,.9950598,.0019904,.0900989,0,0,0,3,1
3,20,.0323445,-.0687347,.0452051,-.0003779,-2.28307,.0003481,.0014499,2.50e-09,.3505515,5.69e-14,3,3,3,0,3
1,30,.1419411,.0304601,-.1146749,.0000569,-25.97736,.0006165,.7841541,5.81e-07,.9577711,.0021576,3,0,3,0,3
2,30,.0116913,.1161685,-.0600855,.0014199,.0672604,.7069973,.5226495,.2166587,.7879434,.8521272,0,0,0,0,0
3,30,.0531057,-.046493,.0233155,-.0006886,-2.046815,1.91e-09,.0167743,.000335,.0274529,4.30e-16,3,2,3,2,3
1,60,.0750504,.2522632,-.0883989,.0006942,-13.22123,5.19e-10,.0459055,7.82e-10,.4662828,.0007715,3,2,3,0,3
2,60,.0199246,.0983346,-.0117513,.0045153,-.903632,.8242276,.5115036,.8226321,.2583809,.115163,0,0,0,0,0
3,60,.0678776,.0035428,-.0003937,-.0006612,-1.641636,1.18e-15,.8585303,.9445502,.00994,3.35e-17,3,0,0,3,3
1,90,.037303,.025864,-.046123,.0006174,-8.568464,1.29e-08,.8510909,.000293,.2895187,.0016659,3,0,3,0,3
2,90,.0632539,-.0437629,-.0508893,.0029287,-.4719195,.4505072,.591969,.4454399,.3334228,.1234433,0,0,0,0,0
3,90,.0724494,.0469974,-.0138912,-.0002704,-1.238214,2.45e-23,.0110883,.0024944,.1205399,9.73e-17,3,2,3,0,3
1,120,.02462,.1068526,-.0418332,.0007673,-6.46284,8.14e-09,.3536464,.0000546,.0457085,.002106,3,0,3,2,3
2,120,.0180402,-.3331833,.0015044,-.000222,-.119763,.8655719,.1050961,.9880528,.8244421,.1613282,0,0,0,0,0
3,120,.0652795,.0537282,-.0128471,.000081,-1.191699,2.63e-21,.0450455,.003014,.5734731,2.94e-16,3,2,3,0,3
1,150,.0295135,.255755,-.0522442,.0006948,-5.306846,1.26e-13,.0172067,1.33e-08,.0547998,.0022789,3,2,3,1,3
2,150,.0554588,-.3491055,-.0284835,-.0002531,-.1026585,.6351985,.0000787,.7873008,.6796464,.07664,0,3,0,0,1
3,150,.0650813,.0847806,-.0170154,.0003579,-1.210519,8.39e-21,.0009812,.000065,.0136996,1.76e-17,3,3,3,2,3
1,180,.0371812,.2356501,-.0503109,.0002579,-3.935266,6.34e-20,.0227755,1.29e-09,.4146965,.0005515,3,2,3,0,3
2,180,.0735131,-.4330446,-.037565,-.0000428,-.1515609,.0185336,.0208134,.2484136,.9481424,.0097149,2,2,0,0,3
3,180,.0596206,.1088785,-.0166474,.0004762,-1.216904,4.51e-16,.0002531,.0000476,.0009318,1.54e-15,3,3,3,3,3
