gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,.1243506,.1188956,.0424333,-.0043571,-1.664061,7.43e-09,.0005016,1.63e-10,5.09e-11,5.89e-14,3,3,3,3,3
2,10,.2286033,.2124427,-.0354409,-.0064688,-2.600546,2.88e-21,.0006433,.0008507,.0045553,8.74e-13,3,3,3,3,3
3,10,.1021369,.0902791,.0255251,-.006414,-.2823315,1.47e-06,.0002531,.0010484,1.44e-09,.1349875,3,3,3,3,0
1,20,.0916033,.1041308,.040255,-.0034197,-1.321597,4.98e-13,.0011396,2.06e-17,2.75e-12,1.37e-21,3,3,3,3,3
2,20,.1960606,.1787756,-.0338242,-.0064497,-1.824648,8.70e-36,.0002975,1.68e-06,3.70e-08,1.19e-16,3,3,3,3,3
3,20,.0870753,.1052275,.0150769,-.005497,.0242771,3.13e-08,1.86e-06,.0077561,9.93e-18,.8538081,3,3,3,3,0
1,30,.0688587,.0920645,.038364,-.0022778,-1.0956,2.08e-12,.0096111,9.93e-20,3.90e-12,5.12e-21,3,3,3,3,3
2,30,.1786331,.2023879,-.0417519,-.0049755,-1.22572,0,4.07e-06,3.22e-12,2.72e-08,1.86e-11,3,3,3,3,3
3,30,.0935596,.10496,.0055594,-.0044723,.0506597,2.53e-10,.0000242,.2058334,1.23e-18,.676176,3,3,0,3,0
1,60,.0318841,.1521988,.0311357,-.0009853,-.7891805,7.70e-08,1.29e-07,2.43e-24,4.05e-09,1.21e-23,3,3,3,3,3
2,60,.1639719,.2233567,-.0512179,-.0034672,-.7799646,2.06e-30,.0001237,1.12e-14,.000042,1.52e-11,3,3,3,3,3
3,60,.1116845,-.0040196,.0007322,-.0033798,-.1172246,3.81e-19,.8649836,.8341173,1.39e-18,.1552045,3,0,0,3,0
1,90,.0215728,.0943901,.0289569,-.0005891,-.6317996,.0000471,.0358991,1.90e-15,6.51e-07,1.92e-23,3,2,3,3,3
2,90,.1473213,.3772298,-.066245,-.0021532,-.6621145,3.89e-30,1.01e-07,1.43e-15,.0030956,8.74e-14,3,3,3,3,3
3,90,.1105447,-.102351,.0033644,-.0020385,-.1641945,1.25e-24,8.36e-06,.2515883,6.62e-12,.0063482,3,3,0,3,3
1,120,.0185437,.1486012,.0213479,-.0004233,-.5535594,.0002832,.0011147,8.82e-07,.0000206,6.26e-28,3,3,3,3,3
2,120,.1417221,.3098733,-.0605228,-.0017029,-.401558,1.46e-21,.0009276,4.85e-11,.0400272,4.45e-08,3,3,3,2,3
3,120,.1017067,-.1488301,.0069756,-.0013309,-.2040897,7.27e-28,6.41e-11,.0081209,3.02e-09,.0000257,3,3,3,3,3
1,150,.0175997,.1717562,.0165068,-.0002551,-.4998965,.0001018,1.10e-13,6.37e-10,.0026794,9.34e-27,3,3,3,3,3
2,150,.1259502,.3101136,-.056123,-.0018943,-.2489549,9.44e-13,.0106656,2.64e-09,.0184905,.0002165,3,2,3,2,3
3,150,.1022859,-.1420145,.0033894,-.0008964,-.2215793,3.01e-31,8.23e-10,.1805426,7.32e-07,4.82e-08,3,3,0,3,3
1,180,.0173369,.1643849,.0144118,-.0001226,-.4499632,.000155,2.12e-13,4.85e-08,.1022424,2.70e-25,3,3,3,0,3
2,180,.1261217,.2697529,-.0498713,-.0023156,-.4410875,4.21e-11,.0427758,3.72e-08,.0024476,1.34e-06,3,2,3,3,3
3,180,.0954152,-.1310734,.0012324,-.0006356,-.1878766,8.52e-36,2.18e-11,.5980872,.0000173,2.66e-08,3,3,0,3,3
