gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,.1626699,.6027927,.0392411,-.0002123,-.5829422,.0011472,7.28e-33,2.79e-09,.4180875,.3760585,3,3,3,0,0
2,10,.1020474,.6241509,.0655713,.0011531,-1.660387,.011263,2.73e-25,8.40e-08,.2334737,.1216091,2,3,3,0,0
3,10,.0406025,.8516207,.009347,-.0002045,.2215473,.3611286,0,.2942463,.8190657,.683351,0,3,0,0,0
1,20,.1354851,.5707738,.0392268,-.0000236,-.6938437,3.80e-06,5.02e-26,3.51e-12,.9284602,.1383704,3,3,3,0,0
2,20,.0814203,.5120248,.0659043,.0002194,-.803058,.0000413,5.03e-26,5.74e-15,.6841433,.1609457,3,3,3,0,0
3,20,-.0164571,.7693444,.0175013,.000246,.8305135,.5773195,0,.0031908,.6502942,.0190243,0,3,3,0,2
1,30,.1131234,.4198629,.0392322,-.0002382,.375366,1.26e-07,.0000588,6.02e-13,.2319802,.4029964,3,3,3,0,0
2,30,.0584635,.4846294,.0729515,-.0004841,-.931711,.0003124,6.99e-28,9.66e-25,.2436302,.0194523,3,3,3,0,2
3,30,-.0503834,.7268344,.0273509,.0001099,.831481,.0272922,0,1.10e-08,.7795699,.0026441,2,3,3,0,3
1,60,.0174961,.4283352,.049893,-.0004532,.4500969,.1806397,4.29e-15,5.51e-35,.0000503,.0184832,0,3,3,3,2
2,60,.0418114,.5645093,.0530961,-.0002029,-.9563888,.0000259,2.79e-35,1.20e-26,.3874308,.0000189,3,3,3,0,3
3,60,-.0549827,.7649645,.0325503,-.0001329,.363112,3.22e-06,0,1.09e-24,.4916636,.0060433,3,3,3,0,3
1,90,.0053388,.2265541,.0602898,-.0003117,.3051313,.3652474,.0119463,7.00e-25,.0004554,.2086742,0,2,3,3,0
2,90,.0507521,.5941195,.0333106,.0000616,-.6686295,1.27e-11,7.54e-35,5.62e-15,.7133999,.00005,3,3,3,0,3
3,90,-.0203261,.7514149,.0247413,.0000561,.1325904,.0251319,0,4.51e-20,.6346763,.1283501,2,3,3,0,0
1,120,.0009897,.302148,.053374,-.0002389,-.1259706,.8826336,.000575,4.66e-18,.0000668,.4537096,0,3,3,3,0
2,120,.0568906,.5227057,.0287824,.0004071,-.4865686,2.19e-12,2.30e-27,2.04e-13,.0025622,.0003359,3,3,3,3,3
3,120,-.0060364,.7159338,.020618,-.0000497,.1039587,.4413375,0,2.40e-17,.58729,.1072055,0,3,3,0,0
1,150,.007011,.3857264,.0442001,-.0002341,-.3984818,.1298857,0,0,1.03e-07,1.38e-06,0,3,3,3,3
2,150,.0595815,.5593368,.0170744,.0005949,-.3264027,4.34e-11,3.43e-25,3.87e-06,7.61e-07,.004188,3,3,3,3,3
3,150,.0039925,.69038,.017589,-.0000497,.0653913,.6206701,0,2.83e-13,.5399535,.2391714,0,3,3,0,0
1,180,.0126795,.3791001,.0394297,-.0001756,-.4417346,.001982,0,0,1.20e-06,1.74e-09,3,3,3,3,3
2,180,.0517019,.6103695,.0105778,.000645,-.2971258,1.58e-07,4.09e-23,.0074736,5.86e-08,.0075113,3,3,3,3,3
3,180,.0180831,.6836057,.0138109,-.0000478,-.0098559,.0304374,0,2.86e-08,.4913691,.8344691,2,3,3,0,0
