gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,-3.80e-17,1,1.39e-17,1.14e-20,-2.65e-16,8.70e-11,0,0,.8319677,4.39e-13,3,3,3,0,3
2,10,2.64e-18,1,-2.78e-17,-1.09e-18,1.13e-16,.9148871,0,1.45e-10,.0065537,.6516412,0,3,3,3,0
3,10,2.58e-17,1,-1.39e-17,6.10e-20,-1.24e-16,.3208205,0,1.24e-07,.8765899,.3920859,0,3,3,0,0
1,20,-3.74e-17,1,-6.94e-18,4.79e-20,-3.05e-16,.0015251,0,1.06e-10,.6105704,.0000155,3,3,3,0,3
2,20,0,1,0,0,0,,,,,,0,0,0,0,0
3,20,0,1,0,0,0,,,,,,0,0,0,0,0
1,30,0,1,0,0,0,,,,,,0,0,0,0,0
2,30,-1.24e-17,1,-2.78e-17,-1.83e-19,-4.27e-16,.5496225,0,8.33e-10,.5974073,.0757176,0,3,3,0,1
3,30,3.96e-17,1,0,-5.41e-20,-2.77e-16,1.97e-12,0,1,.4317195,3.53e-14,3,3,0,0,3
1,60,6.18e-17,1,0,2.67e-19,-1.02e-15,7.21e-12,0,1,.0000108,4.74e-27,3,3,0,3,3
2,60,0,1,0,0,0,,,,,,0,0,0,0,0
3,60,0,1,0,0,0,,,,,,0,0,0,0,0
1,90,3.93e-17,1,0,1.19e-19,-3.60e-16,2.19e-16,0,1,5.60e-07,5.32e-18,3,3,0,3,3
2,90,0,1,0,0,0,,,,,,0,0,0,0,0
3,90,2.02e-17,1,-1.39e-17,-3.70e-19,1.06e-16,.3638842,0,.0000792,.0735117,.2307214,0,3,3,1,0
1,120,0,1,0,0,0,,,,,,0,0,0,0,0
2,120,1.02e-18,1,0,7.38e-20,-1.41e-17,.001257,0,1,3.70e-13,.0000135,3,3,0,3,3
3,120,1.04e-16,1,-2.78e-17,-3.28e-19,-1.03e-16,2.03e-11,0,2.10e-14,.0061624,.0127842,3,3,3,3,2
1,150,1.65e-17,1,-1.39e-17,-7.24e-20,-1.46e-16,.0001734,0,1.96e-27,.0404954,4.14e-08,3,3,3,2,3
2,150,-1.87e-17,1,-2.78e-17,-7.55e-20,4.86e-17,.0440831,0,5.46e-06,.7485433,.519523,2,3,3,0,0
3,150,2.05e-16,1,-2.78e-17,-2.11e-19,-4.92e-16,2.32e-15,0,5.88e-09,.1322491,6.92e-15,3,3,3,0,3
1,180,-9.11e-19,1,-1.39e-17,-1.05e-19,7.73e-18,.8182847,0,1.39e-26,.0012537,.6724242,0,3,3,3,0
2,180,-2.98e-17,1,-2.78e-17,9.46e-20,-7.24e-17,.0035827,0,.0000434,.5382029,.1917545,3,3,3,0,0
3,180,-3.32e-16,1,4.16e-17,-4.36e-20,8.41e-16,7.34e-20,0,4.96e-13,.7940791,3.05e-18,3,3,3,0,3
